suite,run_id,rows,cell,backend_actual,algorithm,batch,samples,p50_ms,p95_ms,p99_ms,recall_at_10,upload_bytes,readback_bytes,allocation_bytes,dispatch_count
quick,1788360526431-12061,10000,cpu-exact-all,Cpu,Exact,1,16,1.841,5.767,5.767,1,0,0,,0
quick,1788360526431-12061,10000,gpu-exact-all,Wgpu,Exact,1,16,8.707,12.487,12.487,1,41600,160,16652224,2
quick,1788360526431-12061,10000,gpu-native-batch-8,Wgpu,Exact,8,16,5.886,5.886,5.886,1,52352,1280,20347328,2
quick,1788360526431-12061,10000,gpu-ivf-flat-recall-95,Wgpu,IvfFlat,1,16,3.616,8.056,8.056,1,15352,160,16652224,2
quick,1788360526431-12061,10000,gpu-ivf-sq8-recall-95,Wgpu,IvfSq8,1,16,4.746,7.316,7.316,1,2880,160,16652224,2
quick,1788360526431-12061,10000,automatic-selective-cpu-route,Cpu,Exact,1,16,0.023,0.025,0.025,1,0,0,,0
quick,1788360526431-12061,10000,automatic-selective-batch-8,Wgpu,Exact,8,16,2.310,2.310,2.310,1,52352,1280,20347328,2
full,1788360541413-12061,100000,cpu-exact-all,Cpu,Exact,1,64,18.308,29.436,41.559,1,0,0,,0
full,1788360541413-12061,100000,gpu-exact-all,Wgpu,Exact,1,64,13.806,16.975,48.375,1,401600,160,157052224,2
full,1788360541413-12061,100000,gpu-native-batch-8,Wgpu,Exact,8,64,10.608,11.101,11.101,1,412352,1280,160747328,2
full,1788360541413-12061,100000,gpu-ivf-flat-recall-95,Wgpu,IvfFlat,1,64,8.851,21.617,32.431,1,101024,160,157052224,2
full,1788360541413-12061,100000,gpu-ivf-sq8-recall-95,Wgpu,IvfSq8,1,64,20.394,26.578,29.126,1,2880,160,157052224,2
full,1788360541413-12061,100000,automatic-selective-cpu-route,Cpu,Exact,1,64,0.256,0.311,0.323,1,0,0,,0
full,1788360541413-12061,100000,automatic-selective-batch-8,Wgpu,Exact,8,64,10.039,15.571,15.571,1,412352,1280,160747328,2
soak,1788360620387-12061,100000,cpu-exact-all,Cpu,Exact,1,512,25.799,27.019,27.572,1,0,0,,0
soak,1788360620387-12061,100000,gpu-exact-all,Wgpu,Exact,1,512,14.274,17.678,25.769,1,401600,160,157052224,2
soak,1788360620387-12061,100000,gpu-native-batch-8,Wgpu,Exact,8,512,10.290,11.131,12.388,1,412352,1280,160747328,2
soak,1788360620387-12061,100000,gpu-ivf-flat-recall-95,Wgpu,IvfFlat,1,512,13.977,21.453,24.549,1,101024,160,157052224,2
soak,1788360620387-12061,100000,gpu-ivf-sq8-recall-95,Wgpu,IvfSq8,1,512,27.359,37.090,40.581,1,2880,160,157052224,2
soak,1788360620387-12061,100000,automatic-selective-cpu-route,Cpu,Exact,1,512,0.357,0.544,0.743,1,0,0,,0
soak,1788360620387-12061,100000,automatic-selective-batch-8,Wgpu,Exact,8,512,8.174,9.890,12.441,1,412352,1280,160747328,2
