claim_id,claim,evidence,component
windows_dense_endpoint,"On one Windows RTX 4050 host and 100k x 384 AG News rows, all-row completed-call P95 was 16.6567 ms for Qenlo CPU, 3.2404 ms for WGPU predicate, 4.2428 ms for WGPU compact rows, and 4.4591 ms for WGPU mask.","[""benchmarks/2026-08-28/real/cpu-384-all-v4"", ""benchmarks/2026-08-28/real/gpu-predicate-384-all-v5"", ""benchmarks/2026-08-28/real/gpu-rows-384-all-v4"", ""benchmarks/2026-08-28/real/gpu-mask-384-all-v4"", ""docs/results-2026-08-28.md""]",historical
windows_selective_endpoint,"On the same Windows corpus at E=1000 (1% eligible), CPU P95 was 0.2304 ms, compact-row WGPU 0.6766 ms, and shader-predicate WGPU 2.8832 ms; all had recall 1.0.","[""benchmarks/2026-08-28/real/cpu-384-onepct"", ""benchmarks/2026-08-28/real/gpu-rows-384-onepct"", ""benchmarks/2026-08-28/real/gpu-predicate-384-onepct-v4""]",historical
windows_native_crossover,"The post-hoc RTX 4050 compact-row sweep brackets a CPU/WGPU winner reversal between E=2000 and E=3000: CPU/WGPU P95 ratios are 0.8199, 1.1742, 1.2392, 1.2309, 1.1625, and 1.0792 for E=2k,3k,4k,6k,8k,10k.","[""research/data/processed/native_crossover_summary.csv"", ""research/data/raw/2026-09-02-native-crossover/cpu-e{2000,3000,4000,6000,8000,10000}"", ""research/data/raw/2026-09-02-native-crossover/gpu-rows-e{2000,3000,4000,6000,8000,10000}""]",historical
static_router_regret,"Applying the shipped 4096-row static rule counterfactually to the six crossover cells misroutes E=3000 and E=4000, with relative P95 regret 17.4239% and 23.9173%; it selects the measured fastest route in the other four cells.","[""research/data/processed/static_router_regret.csv"", ""research/scripts/analyze_results.py"", ""paper/figures/routing_regret.pdf""]",historical
eligibility_materialization_ablation,"On a separate RTX 4090/Vulkan cohort, one-pass and cached eligibility preparation reduced median run-level P95 versus legacy two-pass at E=1k,4k,6k,100k; all rows retained oracle recall 1.0 at sparse E and 0.99998 at E=100k.","[""research/data/processed/eligibility_ablation_summary.csv"", ""research/artifacts/qenlo-phase1-eligibility-2026-09-04.tar.gz"", ""research/scripts/analyze_results.py"", ""paper/figures/eligibility_ablation.pdf""]",historical
linux_library_context,"On one Linux RunPod 100k x 384 replay, Qenlo CPU P95 was 12.901 ms, FAISS Flat 10.217 ms, USearch 5.093 ms, FAISS HNSW 1.494 ms, Chroma HNSW 3.777 ms, Milvus Lite 76.229 ms, and LanceDB Flat 242.256 ms; recall ranged 0.9914--1.0.","[""benchmark-results/2026-09-02-runpod-archive/retained-archive/artifacts/*"", ""research/data/processed/linux_library_summary.csv"", ""benchmarks/runpod/2026-09-02-bb51987/README.md""]",historical
android_mali_device_lab,"Author-supplied Android 16/API 36 Mali-G615 results report recall@10=1.0 and no fallback in all 21 cells; at 100k x 384 batch 1 soak, CPU P95 27.019 ms and WGPU exact P95 17.678 ms, while batch-8 WGPU P95 11.131 ms.","[""research/data/processed/android_device_lab.csv"", ""research/data/raw/2026-09-02-android/PROVENANCE.md"", ""docs/device-lab.md"", ""paper/figures/android_matched.pdf""]",historical
intel_arc_device_lab,"On one Intel Arc Vulkan device-lab submission, all 21 cells report recall@10=1.0/no fallback; 100k x 384 soak exact WGPU P95 was 4.444 ms versus CPU 16.486 ms, while IVF-Flat was 2.704 ms.","[""benchmarks/2026-08-31/device-lab/intel-arc/reports.json"", ""benchmarks/2026-08-31/device-lab/intel-arc/README.md""]",historical
a6000_synthetic_cuda_crossover,"On an RTX A6000, a research PyTorch/CUDA buffered prototype was slower than FAISS GPU Flat at E=1k and 10k but faster at E=100k and 1M; P95 pairs were (0.097541,0.085716), (0.155722,0.137350), (0.567277,0.788721), and (4.668280,6.347464) ms (prototype, FAISS).","[""research/data/raw/2026-09-02-a6000-cuda/heldout/manifest.json"", ""research/data/raw/2026-09-02-a6000-cuda/heldout/raw_samples.csv"", ""research/data/processed/a6000_exact_summary.csv"", ""paper/figures/a6000_exact_crossover.png""]",historical
a6000_real_strict_gate,"On the strict 1M x 768 TopK cohort with E=10026, FAISS GPU Flat P95 was 0.132222 ms, NumPy CPU 0.197311 ms, and a research CUDA prototype 0.170722 ms; all three qualified at recall@10=1.0, while cuVS recall 0.9 was disqualified.","[""benchmark-results/2026-09-02-runpod-a6000-strict-research-gate/README.md"", ""benchmark-results/2026-09-02-runpod-a6000-strict-research-gate/strict-gate/summary.json"", ""benchmark-results/2026-09-02-runpod-a6000-strict-research-gate/strict-qenlo-isolated/summary.json"", ""research/data/processed/a6000_strict_summary.csv""]",historical
