split,query_index,ids
tuning,0,13;69;247;761;49;351;811;128;904;365
tuning,1,904;811;247;49;365;69;761;13;128;351
tuning,2,365;811;49;351;904;247;13;69;128;761
tuning,3,128;13;904;247;69;811;761;365;49;351
tuning,4,811;69;128;761;13;365;247;49;351;904
tuning,5,247;69;49;128;351;811;904;13;365;761
tuning,6,13;69;351;761;811;247;365;128;49;904
tuning,7,247;761;904;351;69;128;49;365;13;811
tuning,8,811;13;128;49;761;904;69;351;247;365
tuning,9,49;904;13;811;69;761;365;247;351;128
tuning,10,811;13;247;365;351;761;904;128;49;69
tuning,11,351;49;365;13;904;69;811;128;247;761
tuning,12,365;811;761;128;351;69;13;247;904;49
tuning,13,351;49;69;13;904;811;247;761;128;365
tuning,14,365;247;13;69;128;49;904;761;351;811
tuning,15,761;69;128;49;365;13;904;247;811;351
evaluation,0,904;811;351;761;69;13;365;247;128;49
evaluation,1,365;904;351;247;13;811;761;49;128;69
evaluation,2,128;49;247;69;13;365;904;351;761;811
evaluation,3,13;351;761;247;365;69;128;811;49;904
evaluation,4,365;761;904;128;49;13;247;811;69;351
evaluation,5,13;811;69;365;351;904;247;128;49;761
evaluation,6,247;69;13;811;365;49;351;128;904;761
evaluation,7,69;351;904;761;365;128;49;13;811;247
evaluation,8,761;13;811;128;69;365;904;49;247;351
evaluation,9,13;904;351;811;365;247;49;69;128;761
evaluation,10,351;128;69;49;904;247;13;761;811;365
evaluation,11,761;13;365;128;904;351;49;811;69;247
evaluation,12,811;351;13;904;365;69;49;761;247;128
evaluation,13,365;351;69;761;247;811;13;49;128;904
evaluation,14,128;49;69;761;351;13;247;811;365;904
evaluation,15,128;761;247;365;351;811;49;69;13;904
evaluation,16,247;761;365;904;811;351;128;49;13;69
evaluation,17,247;811;761;49;128;13;69;904;351;365
evaluation,18,351;69;128;365;247;761;811;49;13;904
evaluation,19,49;761;811;69;365;351;247;904;128;13
evaluation,20,904;365;128;69;247;351;761;811;13;49
evaluation,21,761;811;351;247;49;128;69;904;365;13
evaluation,22,13;761;351;128;904;49;811;365;69;247
evaluation,23,904;811;13;351;128;49;69;365;761;247
evaluation,24,13;904;247;69;128;49;811;351;761;365
evaluation,25,128;247;811;49;351;365;904;761;69;13
evaluation,26,365;69;128;351;13;811;49;761;247;904
evaluation,27,13;351;365;69;761;49;811;904;128;247
evaluation,28,811;761;128;13;351;49;69;247;904;365
evaluation,29,351;365;811;128;13;761;904;247;49;69
evaluation,30,811;365;351;49;247;128;69;904;761;13
evaluation,31,904;128;365;13;761;247;811;49;69;351
evaluation,32,247;761;69;13;365;49;351;811;904;128
evaluation,33,69;351;904;811;128;13;365;761;247;49
evaluation,34,13;128;904;365;811;69;49;247;761;351
evaluation,35,365;128;761;13;49;904;69;811;351;247
evaluation,36,365;247;811;49;904;69;13;761;351;128
evaluation,37,49;365;13;69;904;247;128;761;351;811
evaluation,38,13;811;69;365;351;247;128;49;904;761
evaluation,39,69;351;49;13;811;904;365;247;761;128
evaluation,40,351;761;69;128;904;49;247;811;365;13
evaluation,41,247;761;13;128;904;49;365;811;69;351
evaluation,42,69;13;811;49;365;351;904;761;128;247
evaluation,43,69;811;351;13;247;365;49;761;904;128
evaluation,44,811;761;128;247;351;365;69;904;49;13
evaluation,45,904;365;247;49;811;351;128;13;761;69
evaluation,46,365;128;351;811;69;13;761;247;49;904
evaluation,47,128;13;49;811;904;365;761;247;351;69
evaluation,48,761;351;128;69;904;49;365;13;811;247
evaluation,49,69;49;811;904;365;13;128;247;351;761
evaluation,50,904;351;49;247;13;811;69;365;128;761
evaluation,51,811;247;365;49;13;761;904;351;128;69
evaluation,52,128;904;761;69;811;247;351;365;49;13
evaluation,53,811;904;13;49;69;247;761;351;365;128
evaluation,54,247;904;13;811;128;49;351;761;365;69
evaluation,55,365;49;13;904;247;811;128;69;761;351
evaluation,56,904;49;69;365;351;128;13;761;247;811
evaluation,57,69;761;247;811;365;351;49;13;904;128
evaluation,58,761;13;811;365;128;49;247;904;69;351
evaluation,59,351;904;761;13;247;128;69;811;365;49
evaluation,60,365;904;811;128;351;247;49;13;761;69
evaluation,61,49;365;351;69;811;904;247;761;13;128
evaluation,62,49;128;69;351;247;761;365;811;904;13
evaluation,63,761;49;904;128;351;247;69;811;13;365
