run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15;41;50;24;8;17;23;60;49,16,12502053,10,1,1,160,100000,6794240,41472,165519296,473,1206878,34645,11752001,12421453,6852416,4695200,Wgpu,Wgpu:16,2768,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,1,22;25;3;16;34;31;9;12;14;2;29;30;33;53;44;35,16,12227027,10,1,1,160,100000,6794240,41472,165519296,342,1190268,33459,11655921,12134179,6848128,4690176,Wgpu,Wgpu:16,3072,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,2,43;55;21;39;1;56;32;45;54;18;10;51;0;47;5;63,16,12559717,10,1,1,160,100000,6794240,41472,165519296,342,1190268,50508,11762764,12447653,6848288,4701696,Wgpu,Wgpu:16,4064,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,3,38;48;52;20;58;61;6;59;57;62;40;28;42;26;36;4,16,12770525,10,1,1,160,100000,6794240,41472,165519296,342,1190268,60574,11756273,12616241,6848384,4692800,Wgpu,Wgpu:16,6368,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,0,16;14;4;36;26;30;3;32;15;10;38;24;59;54;2;34,16,13044962,10,1,1,160,100000,6794240,41472,165519296,342,1190268,72807,11817887,12865308,6847968,4747232,Wgpu,Wgpu:16,7984,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,1,0;50;29;13;52;55;18;31;12;7;40;35;22;27;6;57,16,13158017,10,1,1,160,100000,6794240,41472,165519296,342,1190268,80477,11772796,12961369,6848096,4691584,Wgpu,Wgpu:16,7520,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,2,8;42;1;61;62;11;20;45;5;46;56;41;44;58;43;51,16,13556811,10,1,1,160,100000,6794240,41472,165519296,342,1190268,97057,11798571,13289253,6848096,4700800,Wgpu,Wgpu:16,10832,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,3,48;9;19;60;23;39;28;33;37;47;25;63;17;53;21;49,16,13768480,10,1,1,160,100000,6794240,41472,165519296,342,1190268,108772,11789792,13474745,6848128,4693184,Wgpu,Wgpu:16,11568,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,0,3;5;37;7;31;45;15;12;57;25;59;19;27;17;46;40,16,13791770,10,1,1,160,100000,6794240,41472,165519296,342,1190268,107672,11808509,13507165,6849216,4712576,Wgpu,Wgpu:16,11872,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,1,41;4;11;23;36;44;35;39;1;2;32;60;42;47;33;63,16,13773894,10,1,1,160,100000,6794240,41472,165519296,342,1190268,108891,11806979,13488892,6847712,4716704,Wgpu,Wgpu:16,11792,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,2,13;28;16;58;29;24;8;62;51;55;21;61;43;0;48;14,16,13773787,10,1,1,160,100000,6794240,41472,165519296,342,1190268,109310,11800782,13488117,6848352,4703744,Wgpu,Wgpu:16,11952,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,3,9;20;49;54;6;52;50;56;38;34;10;26;53;18;22;30,16,13770318,10,1,1,160,100000,6794240,41472,165519296,342,1190268,109433,11774141,13475900,6848256,4695072,Wgpu,Wgpu:16,11968,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
