split,query_index,ids
tuning,0,504;177;810;999;21;313;592;393;13;529
tuning,1,188;820;637;203;513;825;190;402;439;794
tuning,2,673;626;882;130;621;741;827;389;601;771
tuning,3,839;944;641;495;814;875;24;484;368;958
tuning,4,501;131;818;2;205;706;110;140;91;912
tuning,5,350;371;589;323;598;922;83;233;62;89
tuning,6,687;339;264;862;892;742;166;612;886;87
tuning,7,37;15;936;371;6;957;976;77;796;174
tuning,8,574;110;860;916;491;757;332;861;873;991
tuning,9,226;851;193;506;633;272;898;573;38;327
tuning,10,456;889;351;132;202;691;708;855;718;198
tuning,11,990;688;985;620;32;548;455;294;676;876
tuning,12,608;434;944;888;674;991;582;643;411;120
tuning,13,140;875;901;80;675;692;625;220;36;766
tuning,14,229;146;810;567;706;39;696;376;34;479
tuning,15,575;86;506;692;67;696;208;904;440;158
evaluation,0,164;633;144;547;173;917;608;58;438;163
evaluation,1,625;653;689;314;155;683;628;560;680;455
evaluation,2,108;567;935;821;699;500;937;356;329;927
evaluation,3,695;49;52;459;93;805;671;25;168;672
evaluation,4,826;514;181;336;347;362;474;524;156;465
evaluation,5,868;698;645;196;281;133;526;559;741;839
evaluation,6,612;762;856;681;32;415;256;578;139;652
evaluation,7,516;930;745;405;928;828;990;862;946;836
evaluation,8,225;795;753;171;564;995;347;239;298;596
evaluation,9,772;104;678;417;840;658;231;241;906;498
evaluation,10,661;515;941;47;972;559;15;767;357;761
evaluation,11,326;872;115;487;273;372;430;270;988;992
evaluation,12,524;663;487;230;349;324;841;712;925;327
evaluation,13,328;411;104;546;765;809;117;853;783;820
evaluation,14,553;995;994;734;716;846;845;280;459;334
evaluation,15,836;458;566;798;778;421;595;43;324;467
evaluation,16,309;916;187;490;10;935;29;510;619;441
evaluation,17,68;152;343;917;725;583;107;61;532;95
evaluation,18,215;748;826;103;656;592;14;182;169;638
evaluation,19,409;467;187;374;491;961;711;543;670;867
evaluation,20,171;681;230;951;344;875;586;408;158;622
evaluation,21,201;788;895;911;403;772;17;517;342;351
evaluation,22,981;413;776;322;993;368;916;563;911;921
evaluation,23,299;847;184;48;946;436;587;722;63;809
evaluation,24,134;355;860;389;167;809;305;185;358;400
evaluation,25,794;785;229;578;550;466;119;706;584;331
evaluation,26,820;589;467;96;6;205;876;559;605;597
evaluation,27,619;855;863;605;41;129;904;78;157;387
evaluation,28,606;683;722;309;231;748;861;369;585;979
evaluation,29,540;13;242;0;527;517;324;637;713;225
evaluation,30,68;533;344;788;179;634;853;364;25;713
evaluation,31,772;689;427;845;830;342;117;551;887;382
evaluation,32,858;335;402;301;758;765;209;596;946;549
evaluation,33,794;881;703;66;950;783;706;430;653;179
evaluation,34,156;682;952;641;550;343;593;981;416;885
evaluation,35,893;795;504;750;572;240;166;161;555;859
evaluation,36,391;381;86;504;656;469;770;539;562;802
evaluation,37,723;765;986;947;179;971;858;855;672;106
evaluation,38,900;517;7;161;377;579;153;88;232;485
evaluation,39,356;497;330;924;12;441;158;692;323;470
evaluation,40,971;159;887;645;497;723;982;915;359;999
evaluation,41,926;32;16;520;124;280;195;121;471;953
evaluation,42,669;839;417;31;564;380;531;900;300;214
evaluation,43,468;74;961;139;65;599;660;102;830;57
evaluation,44,725;632;509;869;990;882;364;486;375;170
evaluation,45,954;920;126;680;441;151;327;105;878;828
evaluation,46,128;977;239;541;970;216;744;108;120;650
evaluation,47,451;867;383;111;362;108;653;481;127;924
evaluation,48,401;169;534;11;413;349;363;94;320;73
evaluation,49,232;913;502;22;763;478;328;970;536;452
evaluation,50,472;611;479;9;410;657;533;414;702;88
evaluation,51,794;739;711;824;671;890;718;134;620;435
evaluation,52,359;695;254;659;217;944;153;134;911;143
evaluation,53,11;525;439;264;15;877;524;472;80;291
evaluation,54,239;228;936;998;695;793;188;676;112;952
evaluation,55,621;486;10;859;410;625;450;128;411;328
evaluation,56,181;979;105;197;871;416;134;266;107;76
evaluation,57,13;685;947;595;848;310;723;43;688;187
evaluation,58,102;129;971;746;452;660;322;740;197;979
evaluation,59,121;541;69;99;411;293;307;647;38;971
evaluation,60,389;399;334;363;414;35;401;532;193;207
evaluation,61,490;978;302;147;503;87;60;709;501;481
evaluation,62,699;896;944;51;892;875;70;118;558;687
evaluation,63,878;594;782;9;84;761;621;372;94;355
