split,query_index,ids
tuning,0,8326;257;4706;1425;6705;8576;5265;1927;889;6891
tuning,1,3748;889;9849;7;726;1045;4147;91;8215;7490
tuning,2,726;6891;6954;1425;4706;9587;9;9849;5892;1051
tuning,3,3748;7219;8550;8065;6954;2231;255;51;545;6152
tuning,4,6922;7238;9008;729;5892;3787;1222;1927;6954;8254
tuning,5,7238;77;7219;8101;51;9713;1222;3229;4706;2231
tuning,6,3749;7490;3787;6152;3229;77;7238;1712;5694;6353
tuning,7,2765;257;7;2537;51;954;7164;7219;3787;1713
tuning,8,91;5114;9011;1712;1817;1713;591;7;8689;657
tuning,9,9587;2497;1051;4706;3486;7490;885;9984;7238;3363
tuning,10,7219;889;1347;2497;219;1453;3218;9984;5957;6890
tuning,11,7164;1817;8254;1347;6152;3766;8935;257;3229;7
tuning,12,9984;2614;255;591;2442;9;7490;9713;5265;1817
tuning,13,2442;9984;7646;657;7418;1817;885;1712;2019;2537
tuning,14,3218;591;8215;2497;985;705;1662;7164;5892;5957
tuning,15,5774;9008;985;2442;5265;6119;87;1222;1035;257
evaluation,0,9849;8550;3218;591;1035;6119;2019;3748;7219;1662
evaluation,1,1347;1501;7491;6119;3787;1712;4061;8576;3522;7164
evaluation,2,1817;3245;9587;1425;8101;7491;9756;5694;7164;7
evaluation,3,6890;2454;6891;5694;1051;1662;6152;8550;3787;1411
evaluation,4,8215;6119;6922;219;9011;889;99;255;1817;4706
evaluation,5,9977;219;51;6890;1035;7646;9011;6353;2965;954
evaluation,6,3787;5114;591;1411;6152;729;2614;9984;99;657
evaluation,7,1222;9984;3245;2231;2019;3748;729;3766;8935;954
evaluation,8,889;7490;4706;2019;885;3749;6119;1713;7646;6954
evaluation,9,1713;3229;985;6705;3363;3522;1035;8215;729;2231
evaluation,10,3766;7646;2965;2497;9;705;8215;1411;1347;3481
evaluation,11,1927;889;591;99;2454;8254;2019;3229;954;657
evaluation,12,4061;1222;1411;7;6793;9984;8254;4147;1712;8065
evaluation,13,6705;2231;9977;255;9756;8254;3486;5957;2537;3748
evaluation,14,5957;3522;1817;1222;5114;5774;729;9008;4147;2454
evaluation,15,3766;7;1817;8215;7490;889;7238;3787;8065;1035
evaluation,16,8962;9;9593;1712;591;726;1817;7939;51;3481
evaluation,17,9008;8962;6353;1051;77;6152;91;1453;3486;5892
evaluation,18,8101;9494;9011;1817;6891;9008;99;657;7646;9587
evaluation,19,9713;591;6353;1347;3787;2614;7219;3748;7939;9008
evaluation,20,7490;3363;6152;6793;5892;885;51;6922;8962;2442
evaluation,21,729;2497;9713;7491;2537;7238;4706;9756;885;3363
evaluation,22,7646;8550;8065;954;2765;6793;1713;3748;5265;8689
evaluation,23,1222;3766;2537;1347;5892;3749;3481;2765;2454;99
evaluation,24,8065;9756;7219;8576;8326;8101;77;9008;8254;545
evaluation,25,3363;7164;591;985;3522;1222;9593;729;1051;726
evaluation,26,4147;1035;1222;8215;2019;9494;3749;9008;9849;6119
evaluation,27,6705;7238;1035;5957;9849;2454;9984;3522;3787;6119
evaluation,28,2614;3245;8101;9587;3787;657;5265;2765;2231;1927
evaluation,29,51;3245;2497;9593;4061;3748;5892;1501;8550;2454
evaluation,30,9593;9713;2454;5114;2497;1411;2537;8576;3363;1817
evaluation,31,705;51;7;8689;255;1051;2537;6922;657;545
evaluation,32,5892;7939;591;7;5114;1453;7418;1501;9011;6954
evaluation,33,657;6152;9849;5694;2019;2231;5265;9593;885;1712
evaluation,34,7418;6152;2497;8065;889;7238;3245;4061;1411;1222
evaluation,35,3481;7;9977;9984;8326;591;6891;7939;2965;219
evaluation,36,3787;657;6922;9587;2442;9849;6152;2231;7;3218
evaluation,37,3218;6119;9587;8101;7490;1347;257;3481;3522;657
evaluation,38,99;726;4147;8254;1425;91;7238;1347;7491;2965
evaluation,39,657;4706;1425;9011;1817;5265;8065;6922;255;591
evaluation,40,3218;1817;1927;9008;3787;729;6954;3486;6353;705
evaluation,41,6793;3766;3245;5892;6891;7490;545;51;7491;5957
evaluation,42,6119;2765;87;726;8962;7219;9713;3486;2442;3522
evaluation,43,1051;8101;1662;726;7219;3749;5265;3363;3245;219
evaluation,44,51;8065;985;9713;8215;2231;87;1051;9494;5957
evaluation,45,1662;5114;8935;255;3486;6891;5694;1501;9756;8576
evaluation,46,1662;2537;219;9849;5694;2454;3749;1453;2614;6353
evaluation,47,2019;726;4147;3748;1712;7219;7238;77;591;8065
evaluation,48,1045;9849;8550;1035;8689;9756;5694;7238;8101;9
evaluation,49,6152;6890;6793;4706;2442;7;2497;8576;9587;2965
evaluation,50,5957;954;9;8689;255;8550;3229;5694;5265;2965
evaluation,51,8935;2614;3218;2442;1045;9977;5892;87;5114;9756
evaluation,52,9713;1051;3486;9011;7939;1347;8326;6793;77;3229
evaluation,53,726;3749;7491;6954;9494;8550;219;2965;8326;1347
evaluation,54,1713;591;2497;1045;5114;9713;1927;3766;6705;7219
evaluation,55,4061;8962;1035;2497;1662;5114;3787;6890;7418;1501
evaluation,56,91;4061;257;7;3522;5694;1662;3486;1411;7418
evaluation,57,255;9008;4147;2454;1425;51;8326;7219;7490;5114
evaluation,58,5265;954;8935;257;219;3245;3218;2537;8215;4706
evaluation,59,2765;5774;1051;99;3486;77;9011;1045;3481;3787
evaluation,60,591;9587;1411;2019;889;8326;51;8935;3229;9008
evaluation,61,4706;219;8215;2231;6891;9984;9849;8065;77;8326
evaluation,62,1051;4706;8576;7418;1662;87;2614;9593;6353;99
evaluation,63,99;6705;2497;5114;6152;7238;9849;6922;3486;1222
