run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15;41;50;24;8;17;23;60;49,16,12467269,10,1,1,160,100000,6794240,41472,165519296,473,1206878,41377,11354962,12384749,6453920,4693376,Wgpu,Wgpu:16,2672,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,1,22;25;3;16;34;31;9;12;14;2;29;30;33;53;44;35,16,12340717,10,1,1,160,100000,6794240,41472,165519296,342,1190268,36216,11687212,12244494,6848416,4697632,Wgpu,Wgpu:16,3712,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,2,43;55;21;39;1;56;32;45;54;18;10;51;0;47;5;63,16,12510622,10,1,1,160,100000,6794240,41472,165519296,342,1190268,53045,11675733,12400447,6848096,4698912,Wgpu,Wgpu:16,4368,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,3,38;48;52;20;58;61;6;59;57;62;40;28;42;26;36;4,16,12718009,10,1,1,160,100000,6794240,41472,165519296,342,1190268,59762,11734982,12571020,6848576,4688896,Wgpu,Wgpu:16,5792,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,0,16;14;4;36;26;30;3;32;15;10;38;24;59;54;2;34,16,12934697,10,1,1,160,100000,6794240,41472,165519296,342,1190268,69576,11764383,12753419,6850688,4757696,Wgpu,Wgpu:16,5904,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,1,0;50;29;13;52;55;18;31;12;7;40;35;22;27;6;57,16,13079476,10,1,1,160,100000,6794240,41472,165519296,342,1190268,84101,11701696,12876062,6848896,4691392,Wgpu,Wgpu:16,8576,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,2,8;42;1;61;62;11;20;45;5;46;56;41;44;58;43;51,16,13184438,10,1,1,160,100000,6794240,41472,165519296,342,1190268,81613,11696982,12957744,6848064,4706976,Wgpu,Wgpu:16,8944,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,3,48;9;19;60;23;39;28;33;37;47;25;63;17;53;21;49,16,13746546,10,1,1,160,100000,6794240,41472,165519296,342,1190268,117172,11708819,13429964,6847968,4692480,Wgpu,Wgpu:16,11952,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,0,3;5;37;7;31;45;15;12;57;25;59;19;27;17;46;40,16,13875326,10,1,1,160,100000,6794240,41472,165519296,342,1190268,117079,11742731,13570478,6848768,4716800,Wgpu,Wgpu:16,12640,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,1,41;4;11;23;36;44;35;39;1;2;32;60;42;47;33;63,16,13792662,10,1,1,160,100000,6794240,41472,165519296,342,1190268,117611,11711749,13457855,6848192,4711392,Wgpu,Wgpu:16,12736,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,2,13;28;16;58;29;24;8;62;51;55;21;61;43;0;48;14,16,13704336,10,1,1,160,100000,6794240,41472,165519296,342,1190268,96461,11718695,13398651,6848480,4703328,Wgpu,Wgpu:16,9184,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,3,9;20;49;54;6;52;50;56;38;34;10;26;53;18;22;30,16,13773066,10,1,1,160,100000,6794240,41472,165519296,342,1190268,119389,11670854,13467227,6848576,4697248,Wgpu,Wgpu:16,12064,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
