run,batch_index,query_indices,query_count,batch_latency_ns,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15,8,228393,1,80,500,0,0,,234,73653,,,28473,Cpu,Cpu:8,320,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,1,41;50;24;8;17;23;60;49,8,232088,1,80,500,0,0,,234,73653,,,27912,Cpu,Cpu:8,320,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,2,22;25;3;16;34;31;9;12,8,430315,1,80,500,0,0,,234,73653,,,27081,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,3,14;2;29;30;33;53;44;35,8,233881,1,80,500,0,0,,234,73653,,,28653,Cpu,Cpu:8,1448,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,4,43;55;21;39;1;56;32;45,8,233039,1,80,500,0,0,,232,73013,,,26951,Cpu,Cpu:8,400,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,5,54;18;10;51;0;47;5;63,8,224376,1,80,500,0,0,,233,73333,,,26940,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,6,38;48;52;20;58;61;6;59,8,228733,1,80,500,0,0,,233,73333,,,27541,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,7,57;62;40;28;42;26;36;4,8,239039,1,80,500,0,0,,234,73653,,,27752,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,0,16;14;4;36;26;30;3;32,8,234552,1,80,500,0,0,,234,73653,,,27791,Cpu,Cpu:8,480,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,1,15;10;38;24;59;54;2;34,8,228713,1,80,500,0,0,,234,73653,,,28193,Cpu,Cpu:8,800,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,2,0;50;29;13;52;55;18;31,8,414903,1,80,500,0,0,,233,73333,,,27642,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,3,12;7;40;35;22;27;6;57,8,382344,1,80,500,0,0,,234,73653,,,70335,Cpu,Cpu:8,1360,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,4,8;42;1;61;62;11;20;45,8,235794,1,80,500,0,0,,233,73333,,,34411,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,5,5;46;56;41;44;58;43;51,8,230325,1,80,500,0,0,,234,73653,,,28472,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,6,48;9;19;60;23;39;28;33,8,232930,1,80,500,0,0,,233,73333,,,30546,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,7,37;47;25;63;17;53;21;49,8,233340,1,80,500,0,0,,233,73333,,,31126,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,0,3;5;37;7;31;45;15;12,8,230906,1,80,500,0,0,,234,73653,,,27942,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,1,57;25;59;19;27;17;46;40,8,229804,1,80,500,0,0,,234,73653,,,27842,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,2,41;4;11;23;36;44;35;39,8,265208,1,80,500,0,0,,233,73333,,,27501,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,3,1;2;32;60;42;47;33;63,8,237557,1,80,500,0,0,,233,73333,,,29395,Cpu,Cpu:8,560,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,4,13;28;16;58;29;24;8;62,8,237517,1,80,500,0,0,,234,73653,,,30025,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,5,51;55;21;61;43;0;48;14,8,236055,1,80,500,0,0,,233,73333,,,27191,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,6,9;20;49;54;6;52;50;56,8,232218,1,80,500,0,0,,233,73333,,,29053,Cpu,Cpu:8,320,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,7,38;34;10;26;53;18;22;30,8,229054,1,80,500,0,0,,234,73653,,,27822,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
