split,query_index,ids
tuning,0,2389;2420;2265;97;1189;2224;2471;4724;319;4572
tuning,1,25;82;3258;2579;195;3541;1177;4626;35;103
tuning,2,543;1161;61;4492;2493;915;1525;225;2145;1141
tuning,3,563;4157;2557;1445;207;1167;4413;605;3598;3159
tuning,4,2301;95;1167;2571;2235;2084;465;3159;4032;3326
tuning,5,1841;2627;2618;629;2622;1774;4512;3021;2579;3933
tuning,6,143;4937;4132;1636;4512;2938;1189;3326;320;1042
tuning,7,1217;1367;1329;919;101;1525;1167;3504;993;945
tuning,8,1362;3774;141;1702;4157;4492;863;4712;144;919
tuning,9,3396;3246;1636;2723;639;995;1121;4469;1339;401
tuning,10,353;3113;457;1878;1763;4557;1841;1637;997;639
tuning,11,2145;3273;1832;4393;3864;2509;1055;4469;4580;4214
tuning,12,3021;143;1531;3475;3724;2973;3190;874;1525;3324
tuning,13,2582;3213;330;2962;3451;1167;2353;1161;3774;4790
tuning,14,1859;3520;765;857;4426;3994;4157;401;4512;4728
tuning,15,1547;1127;1417;81;2018;3518;945;3164;3065;3724
evaluation,0,1859;113;897;3317;346;293;639;41;3779;263
evaluation,1,293;1319;3266;411;1112;141;2295;1189;949;3182
evaluation,2,1389;1329;4641;605;1141;3045;1047;430;3779;2583
evaluation,3,1217;3851;4404;1585;3077;1387;1229;1992;3598;945
evaluation,4,4557;1878;3164;501;862;4413;1525;2979;2727;2151
evaluation,5,4984;1763;279;3045;757;2823;3988;4719;3113;31
evaluation,6,1229;3065;4492;4880;445;2235;3774;1657;1689;2998
evaluation,7,1585;1992;3857;846;2224;2618;1841;547;1161;293
evaluation,8,2583;3105;2838;95;3933;4937;3988;3190;3317;2382
evaluation,9,1318;4992;1082;2084;3397;1217;1370;2938;2269;3627
evaluation,10,125;1263;629;430;243;2861;889;3779;1609;1391
evaluation,11,563;474;2480;1277;1585;4157;929;3988;1353;1570
evaluation,12,4446;4642;4045;4374;846;3329;1684;4557;4201;3781
evaluation,13,2793;4369;95;403;1832;1445;2493;1870;3134;2215
evaluation,14,1702;2269;353;4880;1841;803;4859;1370;4393;445
evaluation,15,2907;781;3121;2389;833;3134;4880;2579;2221;2453
evaluation,16,1841;1277;3;3213;4446;3724;2962;1141;3857;3994
evaluation,17,3495;317;3164;915;629;2640;3520;1387;4214;3988
evaluation,18,35;4263;67;2301;764;2171;3396;3202;279;1585
evaluation,19,1497;3182;1670;813;529;1694;3627;2574;14;543
evaluation,20,4316;3864;997;4580;463;1097;503;3774;1061;1763
evaluation,21,2145;3182;3164;331;639;1474;1397;1189;3324;370
evaluation,22,541;320;141;501;879;1663;4024;3506;181;1063
evaluation,23,626;103;846;2548;879;1838;4742;3033;2123;1370
evaluation,24,929;3077;470;1609;4426;3779;1570;4393;1810;3857
evaluation,25,4189;2917;4742;221;1055;1713;2301;4313;2353;1161
evaluation,26,3321;624;137;2979;2571;3182;4032;3121;4025;4859
evaluation,27,685;2294;1367;888;1417;1701;998;3273;207;31
evaluation,28,2215;2145;3392;1277;629;1906;63;3115;3866;498
evaluation,29,2618;1358;4634;1721;3988;4712;533;1774;3202;1870
evaluation,30,1694;4704;1329;4404;207;4157;3089;4165;1226;1448
evaluation,31,2473;359;2344;95;2509;2353;81;506;2526;893
evaluation,32,465;3980;411;1082;1637;605;3204;2221;2362;503
evaluation,33,658;2344;4634;3246;1829;4452;4512;1832;4929;346
evaluation,34,4452;883;1802;346;3797;4571;929;3994;4165;3520
evaluation,35,319;261;4032;2723;3324;863;3781;25;2093;4712
evaluation,36,320;3866;4572;498;4379;261;1362;2337;4557;1721
evaluation,37,465;4109;2621;874;1531;1367;2627;1636;875;1141
evaluation,38,2473;1433;3709;4626;629;1353;2801;119;4157;2627
evaluation,39,143;1226;929;17;4580;253;1810;113;503;4320
evaluation,40,4794;3246;3760;3698;1353;317;1417;3273;113;3121
evaluation,41,863;1127;4263;2113;2842;3012;765;781;511;1223
evaluation,42,4345;2045;874;4009;765;702;35;2401;4247;283
evaluation,43,1346;593;2093;2509;1211;1122;463;2001;97;624
evaluation,44,893;498;3527;3475;1470;3164;1229;4992;1585;1870
evaluation,45,2262;82;1713;3933;4992;3204;382;3246;35;4591
evaluation,46,479;561;1731;4427;663;2413;4201;3988;1127;3089
evaluation,47,857;125;2907;4316;597;605;1505;1167;1713;1277
evaluation,48,487;4063;1915;2493;403;1657;4512;4379;2315;4929
evaluation,49,2509;2571;1076;897;1802;629;2111;1205;1082;813
evaluation,50,1417;1763;1318;1076;3202;3164;2548;2262;1329;3933
evaluation,51,37;1076;3988;3598;2618;2471;293;359;1358;275
evaluation,52,2480;3324;3518;1665;2917;4446;4063;4052;4724;4320
evaluation,53,346;546;3141;1122;2557;2613;1362;3077;2224;3627
evaluation,54,659;3541;125;1547;2579;2621;561;31;2574;2548
evaluation,55,401;2622;597;97;789;1185;889;4492;35;3698
evaluation,56,4414;1310;1047;879;2215;1362;1061;702;3698;470
evaluation,57,2494;3;2262;2622;43;3182;2609;4565;185;4045
evaluation,58,2111;3797;2171;3698;4316;701;3392;19;1362;243
evaluation,59,21;2152;2145;225;81;2898;4250;941;3933;2294
evaluation,60,941;4214;353;405;1096;1076;2473;1029;1318;2151
evaluation,61,1401;3033;1217;4591;4390;3164;2111;3627;2084;1205
evaluation,62,4953;4369;251;3918;497;511;639;243;4032;525
evaluation,63,335;430;605;1042;3077;2574;401;2618;2627;789
