run,batch_index,query_indices,query_count,batch_latency_ns,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15,8,144297,1,80,500,114816,10240,12547328,313,95903,6199,66910,125288,Wgpu,Wgpu:8,400,not-applicable,,false,OnePass,1,8212,500,,TimestampRange,SortedRows,5000,5000,2000,451
0,1,41;50;24;8;17;23;60;49,8,116735,1,80,500,114816,10240,12547328,235,87221,4818,63115,96505,Wgpu,Wgpu:8,480,not-applicable,,false,OnePass,1,8193,500,,TimestampRange,SortedRows,5000,5000,2000,451
0,2,22;25;3;16;34;31;9;12,8,112509,1,80,500,114816,10240,12547328,235,87221,4467,62494,93951,Wgpu,Wgpu:8,480,not-applicable,,false,OnePass,1,7711,500,,TimestampRange,SortedRows,5000,5000,2000,451
0,3,14;2;29;30;33;53;44;35,8,109063,1,80,500,114816,10240,12547328,235,87221,4397,61452,91137,Wgpu,Wgpu:8,400,not-applicable,,false,OnePass,1,7592,500,,TimestampRange,SortedRows,5000,5000,2000,451
0,4,43;55;21;39;1;56;32;45,8,115003,1,80,500,114816,10240,12547328,235,87221,4657,62253,97086,Wgpu,Wgpu:8,400,not-applicable,,false,OnePass,1,7531,500,,TimestampRange,SortedRows,5000,5000,2000,451
0,5,54;18;10;51;0;47;5;63,8,110636,1,80,500,114816,10240,12547328,235,87221,4517,62183,92950,Wgpu,Wgpu:8,400,not-applicable,,false,OnePass,1,7571,500,,TimestampRange,SortedRows,5000,5000,2000,451
0,6,38;48;52;20;58;61;6;59,8,109605,1,80,500,114816,10240,12547328,235,87221,4537,62634,92138,Wgpu,Wgpu:8,400,not-applicable,,false,OnePass,1,7271,500,,TimestampRange,SortedRows,5000,5000,2000,451
0,7,57;62;40;28;42;26;36;4,8,108352,1,80,500,114816,10240,12547328,235,87221,4546,61573,91277,Wgpu,Wgpu:8,400,not-applicable,,false,OnePass,1,7271,500,,TimestampRange,SortedRows,5000,5000,2000,451
1,0,16;14;4;36;26;30;3;32,8,117426,1,80,500,114816,10240,12547328,235,87221,5058,64687,99640,Wgpu,Wgpu:8,320,not-applicable,,false,OnePass,1,7772,500,,TimestampRange,SortedRows,5000,5000,2000,451
1,1,15;10;38;24;59;54;2;34,8,110066,1,80,500,114816,10240,12547328,235,87221,4647,62694,93350,Wgpu,Wgpu:8,408,not-applicable,,false,OnePass,1,7230,500,,TimestampRange,SortedRows,5000,5000,2000,451
