run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15,8,241693,10,1,1,80,500,0,0,,242,74093,,,28653,,,Cpu,Cpu:8,400,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,1,41;50;24;8;17;23;60;49,8,233411,10,1,1,80,500,0,0,,242,74093,,,27882,,,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,2,22;25;3;16;34;31;9;12,8,232990,10,1,1,80,500,0,0,,242,74093,,,27260,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,3,14;2;29;30;33;53;44;35,8,237497,10,1,1,80,500,0,0,,242,74093,,,27952,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,4,43;55;21;39;1;56;32;45,8,225618,10,1,1,80,500,0,0,,240,73453,,,26790,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,5,54;18;10;51;0;47;5;63,8,226660,10,1,1,80,500,0,0,,241,73773,,,27361,,,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,6,38;48;52;20;58;61;6;59,8,237977,10,1,1,80,500,0,0,,241,73773,,,27892,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
0,7,57;62;40;28;42;26;36;4,8,233560,10,1,1,80,500,0,0,,242,74093,,,28253,,,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,0,16;14;4;36;26;30;3;32,8,231868,10,1,1,80,500,0,0,,242,74093,,,27822,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,1,15;10;38;24;59;54;2;34,8,237346,10,1,1,80,500,0,0,,242,74093,,,28423,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,2,0;50;29;13;52;55;18;31,8,227722,10,1,1,80,500,0,0,,241,73773,,,26820,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,3,12;7;40;35;22;27;6;57,8,232819,10,1,1,80,500,0,0,,242,74093,,,28563,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,4,8;42;1;61;62;11;20;45,8,233050,10,1,1,80,500,0,0,,241,73773,,,28042,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,5,5;46;56;41;44;58;43;51,8,230686,10,1,1,80,500,0,0,,242,74093,,,28062,,,Cpu,Cpu:8,320,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,6,48;9;19;60;23;39;28;33,8,231007,10,1,1,80,500,0,0,,241,73773,,,28583,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
1,7,37;47;25;63;17;53;21;49,8,229885,10,1,1,80,500,0,0,,241,73773,,,27361,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,0,3;5;37;7;31;45;15;12,8,228923,10,1,1,80,500,0,0,,242,74093,,,27711,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,1,57;25;59;19;27;17;46;40,8,229064,10,1,1,80,500,0,0,,242,74093,,,27471,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,2,41;4;11;23;36;44;35;39,8,226701,10,1,1,80,500,0,0,,241,73773,,,27972,,,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,3,1;2;32;60;42;47;33;63,8,226690,10,1,1,80,500,0,0,,241,73773,,,27041,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,4,13;28;16;58;29;24;8;62,8,229304,10,1,1,80,500,0,0,,242,74093,,,27832,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,5,51;55;21;61;43;0;48;14,8,225909,10,1,1,80,500,0,0,,241,73773,,,26690,,,Cpu,Cpu:8,168,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,6,9;20;49;54;6;52;50;56,8,238958,10,1,1,80,500,0,0,,241,73773,,,38017,,,Cpu,Cpu:8,240,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
2,7,38;34;10;26;53;18;22;30,8,231487,10,1,1,80,500,0,0,,242,74093,,,28012,,,Cpu,Cpu:8,160,Fp32Avx2FmaCertified,,false,,1,,,,,,,,0,
