run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15,8,170666,10,1,1,80,500,114816,10496,13084032,351,98286,5899,87451,159690,6400,18624,Wgpu,Wgpu:8,560,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
0,1,41;50;24;8;17;23;60;49,8,127731,10,1,1,80,500,114816,10496,13084032,220,81676,4647,81352,115684,6112,18688,Wgpu,Wgpu:8,640,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
0,2,22;25;3;16;34;31;9;12,8,123215,10,1,1,80,500,114816,10496,13084032,220,81676,4095,81422,112779,6688,17888,Wgpu,Wgpu:8,488,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
0,3,14;2;29;30;33;53;44;35,8,134012,10,1,1,80,500,114816,10496,13084032,220,81676,5939,82754,123175,6304,18592,Wgpu,Wgpu:8,568,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
0,4,43;55;21;39;1;56;32;45,8,124116,10,1,1,80,500,114816,10496,13084032,220,81676,4185,82233,113881,6784,18784,Wgpu,Wgpu:8,560,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
0,5,54;18;10;51;0;47;5;63,8,123505,10,1,1,80,500,114816,10496,13084032,220,81676,4237,81873,113391,5952,17920,Wgpu,Wgpu:8,400,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
0,6,38;48;52;20;58;61;6;59,8,121603,10,1,1,80,500,114816,10496,13084032,220,81676,4065,81543,111938,7104,18656,Wgpu,Wgpu:8,320,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
0,7,57;62;40;28;42;26;36;4,8,120691,10,1,1,80,500,114816,10496,13084032,220,81676,4087,81392,111348,7136,18688,Wgpu,Wgpu:8,400,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
1,0,16;14;4;36;26;30;3;32,8,126820,10,1,1,80,500,114816,10496,13084032,220,81676,4817,82254,117286,6848,18464,Wgpu,Wgpu:8,640,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
1,1,15;10;38;24;59;54;2;34,8,131688,10,1,1,80,500,114816,10496,13084032,220,81676,4136,82424,122494,6848,18240,Wgpu,Wgpu:8,400,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
1,2,0;50;29;13;52;55;18;31,8,121412,10,1,1,80,500,114816,10496,13084032,220,81676,4087,81492,112189,6944,18656,Wgpu,Wgpu:8,400,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
1,3,12;7;40;35;22;27;6;57,8,120811,10,1,1,80,500,114816,10496,13084032,220,81676,3997,80641,111557,7040,18560,Wgpu,Wgpu:8,320,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
1,4,8;42;1;61;62;11;20;45,8,122414,10,1,1,80,500,114816,10496,13084032,220,81676,4027,81823,113169,6848,18752,Wgpu,Wgpu:8,320,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
1,5,5;46;56;41;44;58;43;51,8,124257,10,1,1,80,500,114816,10496,13084032,220,81676,4127,80211,115173,6496,18816,Wgpu,Wgpu:8,320,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
1,6,48;9;19;60;23;39;28;33,8,125298,10,1,1,80,500,114816,10496,13084032,220,81676,4526,82364,115603,6528,18816,Wgpu,Wgpu:8,560,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
1,7,37;47;25;63;17;53;21;49,8,121121,10,1,1,80,500,114816,10496,13084032,220,81676,4135,81241,111888,6336,18528,Wgpu,Wgpu:8,480,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
2,0,3;5;37;7;31;45;15;12,8,124586,10,1,1,80,500,114816,10496,13084032,220,81676,4447,82194,115313,6112,18336,Wgpu,Wgpu:8,560,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
2,1,57;25;59;19;27;17;46;40,8,121342,10,1,1,80,500,114816,10496,13084032,220,81676,4117,81802,112109,6912,18144,Wgpu,Wgpu:8,480,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
2,2,41;4;11;23;36;44;35;39,8,121502,10,1,1,80,500,114816,10496,13084032,220,81676,3996,81873,112018,6912,18848,Wgpu,Wgpu:8,480,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
2,3,1;2;32;60;42;47;33;63,8,122734,10,1,1,80,500,114816,10496,13084032,220,81676,4155,81512,113591,6112,18496,Wgpu,Wgpu:8,560,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
2,4,13;28;16;58;29;24;8;62,8,120761,10,1,1,80,500,114816,10496,13084032,220,81676,3965,81442,111498,6272,18752,Wgpu,Wgpu:8,640,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
2,5,51;55;21;61;43;0;48;14,8,120411,10,1,1,80,500,114816,10496,13084032,220,81676,4025,81592,111267,6912,18752,Wgpu,Wgpu:8,480,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
2,6,9;20;49;54;6;52;50;56,8,128132,10,1,1,80,500,114816,10496,13084032,220,81676,5077,81302,118458,6048,18368,Wgpu,Wgpu:8,800,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
2,7,38;34;10;26;53;18;22;30,8,132148,10,1,1,80,500,114816,10496,13084032,220,81676,4097,83856,122003,6816,18656,Wgpu,Wgpu:8,560,not-applicable,,false,Cached,0,0,500,true,TimestampRange,SortedRows,5000,5000,2000,451
