run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15,8,4435846,10,1,1,80,500,0,0,,290,217693,,,542103,,20,Usearch,Usearch:8,400,not-applicable,,false,,1,,,,,,,,0,
0,1,41;50;24;8;17;23;60;49,8,4387774,10,1,1,80,500,0,0,,290,217693,,,532189,,20,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
0,2,22;25;3;16;34;31;9;12,8,4414734,10,1,1,80,500,0,0,,290,217693,,,514141,,20,Usearch,Usearch:8,320,not-applicable,,false,,1,,,,,,,,0,
0,3,14;2;29;30;33;53;44;35,8,4555015,10,1,1,80,500,0,0,,290,217693,,,593170,,40,Usearch,Usearch:8,1200,not-applicable,,false,,1,,,,,,,,0,
0,4,43;55;21;39;1;56;32;45,8,4447473,10,1,1,80,500,0,0,,290,217693,,,526150,,30,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
0,5,54;18;10;51;0;47;5;63,8,4454394,10,1,1,80,500,0,0,,290,217693,,,567702,,20,Usearch,Usearch:8,240,not-applicable,,false,,1,,,,,,,,0,
0,6,38;48;52;20;58;61;6;59,8,4415496,10,1,1,80,500,0,0,,290,217693,,,536976,,20,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
0,7,57;62;40;28;42;26;36;4,8,4520333,10,1,1,80,500,0,0,,290,217693,,,531237,,20,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
1,0,16;14;4;36;26;30;3;32,8,4369847,10,1,1,80,500,0,0,,290,217693,,,518337,,30,Usearch,Usearch:8,240,not-applicable,,false,,1,,,,,,,,0,
1,1,15;10;38;24;59;54;2;34,8,4601525,10,1,1,80,500,0,0,,290,217693,,,519870,,30,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
1,2,0;50;29;13;52;55;18;31,8,4374034,10,1,1,80,500,0,0,,290,217693,,,531838,,20,Usearch,Usearch:8,320,not-applicable,,false,,1,,,,,,,,0,
1,3,12;7;40;35;22;27;6;57,8,4461505,10,1,1,80,500,0,0,,290,217693,,,519350,,30,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
1,4,8;42;1;61;62;11;20;45,8,4434334,10,1,1,80,500,0,0,,290,217693,,,573221,,20,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
1,5,5;46;56;41;44;58;43;51,8,4402315,10,1,1,80,500,0,0,,290,217693,,,553460,,20,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
1,6,48;9;19;60;23;39;28;33,8,4483478,10,1,1,80,500,0,0,,290,217693,,,534391,,31,Usearch,Usearch:8,240,not-applicable,,false,,1,,,,,,,,0,
1,7,37;47;25;63;17;53;21;49,8,4407644,10,1,1,80,500,0,0,,290,217693,,,514041,,30,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
2,0,3;5;37;7;31;45;15;12,8,4540974,10,1,1,80,500,0,0,,290,217693,,,548183,,30,Usearch,Usearch:8,728,not-applicable,,false,,1,,,,,,,,0,
2,1,57;25;59;19;27;17;46;40,8,4422035,10,1,1,80,500,0,0,,290,217693,,,518208,,20,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
2,2,41;4;11;23;36;44;35;39,8,4451870,10,1,1,80,500,0,0,,290,217693,,,526280,,20,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
2,3,1;2;32;60;42;47;33;63,8,4471009,10,1,1,80,500,0,0,,290,217693,,,568934,,30,Usearch,Usearch:8,240,not-applicable,,false,,1,,,,,,,,0,
2,4,13;28;16;58;29;24;8;62,8,4482295,10,1,1,80,500,0,0,,290,217693,,,557186,,20,Usearch,Usearch:8,240,not-applicable,,false,,1,,,,,,,,0,
2,5,51;55;21;61;43;0;48;14,8,4458440,10,1,1,80,500,0,0,,290,217693,,,527652,,20,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
2,6,9;20;49;54;6;52;50;56,8,4431370,10,1,1,80,500,0,0,,290,217693,,,524157,,20,Usearch,Usearch:8,160,not-applicable,,false,,1,,,,,,,,0,
2,7,38;34;10;26;53;18;22;30,8,4418701,10,1,1,80,500,0,0,,290,217693,,,550716,,20,Usearch,Usearch:8,1848,not-applicable,,false,,1,,,,,,,,0,
