split,query_index,ids
tuning,0,22983;22254;18910;4545;16047;18290;70;10657;11346;7278
tuning,1,1626;18314;12367;7788;3977;17750;13875;8245;21886;15305
tuning,2,3820;8999;7563;1034;8152;13945;21471;17978;2075;22957
tuning,3,11900;4262;8992;18179;23751;15235;477;21026;10661;3569
tuning,4,20070;7763;4769;3402;16023;23138;8497;7466;15801;17026
tuning,5,24798;18084;6489;12844;13746;19744;17154;23147;12951;24104
tuning,6,849;5477;16138;2297;6327;10377;4091;21477;20478;1181
tuning,7,3388;15896;20527;7080;20790;15150;22059;3091;4411;616
tuning,8,5319;16135;6983;21055;6280;2425;5774;7812;18422;16632
tuning,9,24806;13179;11694;19675;22553;5346;2833;14450;12531;19762
tuning,10,14933;6244;5518;17048;2813;29;13762;22976;13748;8491
tuning,11,14523;12334;1235;14356;8224;12488;16471;20086;19546;23468
tuning,12,16040;17423;8103;20206;9726;9407;13976;5701;2992;24977
tuning,13,1485;7146;8660;2124;15462;7073;24900;1961;1930;12350
tuning,14,9532;5102;18025;21268;18313;19816;9513;18855;20935;12215
tuning,15,8272;14097;6562;20230;3967;10011;18042;7046;16963;11533
evaluation,0,19273;8053;4141;18771;10412;18864;17811;8315;7999;18615
evaluation,1,14303;502;15370;15102;15451;2766;23436;21843;22004;4311
evaluation,2,16029;8131;12225;6622;6288;16977;21853;1759;17937;7149
evaluation,3,22122;5454;13306;17356;2840;16346;9374;7017;20017;835
evaluation,4,5706;469;18711;2480;3047;12001;4671;23973;11119;23644
evaluation,5,10745;9885;4580;1498;6987;23219;23382;7955;1493;2344
evaluation,6,1268;19965;3676;12726;23713;10296;18731;7512;19271;21118
evaluation,7,4399;17358;5938;8885;13359;20125;5521;15603;6284;2676
evaluation,8,15765;13706;11270;20621;22858;21760;8791;23430;12229;15475
evaluation,9,20897;1223;1726;21283;23083;23693;15631;20689;16509;23586
evaluation,10,10860;1909;6547;3211;9760;10109;11891;12221;19871;7234
evaluation,11,19303;20347;4135;745;22714;2698;1748;19065;6493;13102
evaluation,12,15797;17571;3780;7867;11632;18199;18062;17238;1450;8697
evaluation,13,7328;6599;1053;6280;13678;23756;23866;16563;12675;14462
evaluation,14,24376;14143;929;937;15438;11594;19370;1243;274;18999
evaluation,15,20441;9999;11461;5481;4749;7029;24205;12573;19758;16726
evaluation,16,4835;24369;8899;4962;246;13865;9752;14770;12752;16291
evaluation,17,16540;5270;1402;3802;22993;24932;16219;20502;13308;133
evaluation,18,16570;23733;23707;3014;11194;11869;11369;21070;22133;13227
evaluation,19,5329;22949;10956;16679;15865;9463;2380;24243;17846;2915
evaluation,20,16351;12382;24092;7461;7609;2041;3177;22960;4265;4337
evaluation,21,6192;19950;9124;10034;14143;19227;3341;24639;24119;2565
evaluation,22,13661;12096;7404;24875;22317;22619;6458;10870;123;24279
evaluation,23,10412;11407;23982;24313;90;15486;5096;11814;6655;6733
evaluation,24,8079;22639;8211;23581;9176;10048;17730;11427;14698;19186
evaluation,25,5094;1871;4049;22379;24324;21920;273;6617;1199;3422
evaluation,26,13875;14620;18374;6301;20775;3564;3892;8805;15269;10357
evaluation,27,3051;2592;1355;14933;5248;21511;18161;6165;12177;14108
evaluation,28,3853;15825;22011;2700;9065;14983;23004;20134;19102;23995
evaluation,29,15819;652;5800;21691;9268;17815;19816;18932;21881;12164
evaluation,30,21521;12425;14261;21785;19396;20423;8633;11351;18322;5436
evaluation,31,21096;22329;4807;15659;9977;8899;3729;6817;21805;12860
evaluation,32,11311;15770;17889;3080;13862;22439;10634;20252;19745;3010
evaluation,33,3051;8164;10823;16008;9741;1542;14122;18184;17074;22095
