run,batch_index,query_indices,query_count,batch_latency_ns,recall_at_10,result_ids
0,0,13,1,59754203,1.0,"[[""19174"", ""6025"", ""33554"", ""23159"", ""18366"", ""46062"", ""5657"", ""18493"", ""47455"", ""1007""]]"
0,1,11,1,59060433,1.0,"[[""6887"", ""39450"", ""24507"", ""47674"", ""1007"", ""15373"", ""46062"", ""842"", ""16449"", ""32465""]]"
0,2,19,1,59453211,1.0,"[[""47674"", ""10065"", ""13989"", ""31414"", ""41950"", ""19174"", ""34971"", ""5905"", ""18366"", ""842""]]"
0,3,46,1,59829946,1.0,"[[""13989"", ""1137"", ""47674"", ""6019"", ""1007"", ""33554"", ""36329"", ""31414"", ""10065"", ""43814""]]"
0,4,37,1,59877639,1.0,"[[""6025"", ""12192"", ""47455"", ""4407"", ""36488"", ""10065"", ""12794"", ""2489"", ""1007"", ""43202""]]"
0,5,27,1,59380132,1.0,"[[""18366"", ""24136"", ""842"", ""33554"", ""6019"", ""7911"", ""47455"", ""24507"", ""2259"", ""43202""]]"
0,6,7,1,60820603,1.0,"[[""32465"", ""2259"", ""31414"", ""24333"", ""4407"", ""47644"", ""15373"", ""39450"", ""24507"", ""8791""]]"
0,7,15,1,59563807,1.0,"[[""18493"", ""6887"", ""6025"", ""34971"", ""18366"", ""15373"", ""24333"", ""19174"", ""5657"", ""4407""]]"
0,8,41,1,59625330,1.0,"[[""36488"", ""32465"", ""8791"", ""7911"", ""6887"", ""6025"", ""842"", ""47455"", ""1007"", ""33554""]]"
0,9,50,1,60480793,1.0,"[[""7911"", ""4407"", ""36329"", ""5905"", ""48969"", ""19174"", ""43814"", ""39450"", ""47674"", ""12794""]]"
0,10,24,1,61190288,1.0,"[[""48969"", ""34971"", ""23389"", ""43814"", ""47644"", ""842"", ""24507"", ""39450"", ""12794"", ""16449""]]"
0,11,8,1,59058429,1.0,"[[""48969"", ""2489"", ""36329"", ""32558"", ""12192"", ""1007"", ""24136"", ""24507"", ""39450"", ""6025""]]"
0,12,17,1,58357417,1.0,"[[""6887"", ""3983"", ""34971"", ""12794"", ""47455"", ""48969"", ""6313"", ""43202"", ""16761"", ""4407""]]"
0,13,23,1,59606782,1.0,"[[""13989"", ""7911"", ""43814"", ""16761"", ""23159"", ""16449"", ""6313"", ""10065"", ""9281"", ""23389""]]"
0,14,60,1,59146280,1.0,"[[""4407"", ""18366"", ""47455"", ""10065"", ""6887"", ""3983"", ""1137"", ""15373"", ""41950"", ""43202""]]"
0,15,49,1,59758370,1.0,"[[""2259"", ""15373"", ""39450"", ""46062"", ""24136"", ""16761"", ""24333"", ""23389"", ""16449"", ""4407""]]"
0,16,22,1,59178950,1.0,"[[""2259"", ""4407"", ""6887"", ""29753"", ""24136"", ""31414"", ""43202"", ""47644"", ""36488"", ""10065""]]"
0,17,25,1,60165230,1.0,"[[""33554"", ""47674"", ""31414"", ""18493"", ""29753"", ""9281"", ""12794"", ""10065"", ""39450"", ""36329""]]"
0,18,3,1,58835765,1.0,"[[""24333"", ""34971"", ""33554"", ""2489"", ""24507"", ""6025"", ""36329"", ""46062"", ""12794"", ""18366""]]"
0,19,16,1,59930648,1.0,"[[""1007"", ""16761"", ""6019"", ""32465"", ""39450"", ""5657"", ""1137"", ""43814"", ""842"", ""12794""]]"
0,20,34,1,58764508,1.0,"[[""2259"", ""12794"", ""2489"", ""29753"", ""3983"", ""10065"", ""12192"", ""47674"", ""18366"", ""15373""]]"
0,21,31,1,58444888,1.0,"[[""41950"", ""43202"", ""33554"", ""47644"", ""23159"", ""48969"", ""6313"", ""5657"", ""6887"", ""10065""]]"
