run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13,1,176836,10,1,1,10,50,1800,192,79578176,114,20314,11037,110566,173380,5952,17760,Wgpu,Wgpu:1,140,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,1,11,1,143906,10,1,1,10,50,1800,192,79578176,114,20314,9143,87902,140351,5888,17088,Wgpu,Wgpu:1,120,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,2,19,1,146189,10,1,1,10,50,1800,192,79578176,114,20314,9685,88102,142423,5888,17728,Wgpu,Wgpu:1,120,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,3,46,1,148182,10,1,1,10,50,1800,192,79578176,114,20314,9325,85578,144277,5888,17824,Wgpu,Wgpu:1,111,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,4,37,1,168002,10,1,1,10,50,1800,192,79578176,114,20314,9013,103766,157977,6016,17792,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,5,27,1,152729,10,1,1,10,50,1800,192,79578176,114,20314,9614,86570,149074,5888,17056,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,6,7,1,144757,10,1,1,10,50,1800,192,79578176,114,20314,9264,88163,141182,5888,17088,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,7,15,1,149093,10,1,1,10,50,1800,192,79578176,114,20314,9584,92199,145528,5920,17760,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,8,41,1,148783,10,1,1,10,50,1800,192,79578176,114,20314,9535,86640,145128,5888,17216,Wgpu,Wgpu:1,120,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,9,50,1,142955,10,1,1,10,50,1800,192,79578176,114,20314,9374,86991,139299,5888,17184,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,10,24,1,144677,10,1,1,10,50,1800,192,79578176,114,20314,9834,87451,140981,5952,17664,Wgpu,Wgpu:1,121,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,11,8,1,123004,10,1,1,10,50,1800,192,79578176,114,20314,6970,77356,120471,5952,17824,Wgpu,Wgpu:1,90,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,12,17,1,106641,10,1,1,10,50,1800,192,79578176,114,20314,4176,78868,104627,5856,17664,Wgpu,Wgpu:1,80,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,13,23,1,108944,10,1,1,10,50,1800,192,79578176,114,20314,4186,78598,106901,5952,17888,Wgpu,Wgpu:1,70,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,14,60,1,103054,10,1,1,10,50,1800,192,79578176,114,20314,3936,78247,101042,6016,17376,Wgpu,Wgpu:1,70,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,15,49,1,102394,10,1,1,10,50,1800,192,79578176,114,20314,3665,78989,100601,5888,17120,Wgpu,Wgpu:1,70,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
0,16,22,1,100741,10,1,1,10,50,1800,192,79578176,114,20314,3756,77025,98869,5888,17408,Wgpu,Wgpu:1,60,not-applicable,,false,Cached,0,0,50,true,UserAndTimestamp,TinyRows,50000,50000,200,50
