engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
faiss-flat,0,0,13,1,25879,,10,1.0,1.0
faiss-flat,0,1,11,1,30255,,10,1.0,1.0
faiss-flat,0,2,19,1,29775,,10,1.0,1.0
faiss-flat,0,3,46,1,28412,,10,1.0,1.0
faiss-flat,0,4,37,1,28352,,10,1.0,1.0
faiss-flat,0,5,27,1,28723,,10,1.0,1.0
faiss-flat,0,6,7,1,27762,,10,1.0,1.0
faiss-flat,0,7,15,1,31247,,10,1.0,1.0
faiss-flat,0,8,41,1,27151,,10,1.0,1.0
faiss-flat,0,9,50,1,26781,,10,1.0,1.0
faiss-flat,0,10,24,1,24087,,10,1.0,1.0
faiss-flat,0,11,8,1,24176,,10,1.0,1.0
faiss-flat,0,12,17,1,23866,,10,1.0,1.0
faiss-flat,0,13,23,1,37977,,10,1.0,1.0
faiss-flat,0,14,60,1,23015,,10,1.0,1.0
faiss-flat,0,15,49,1,23445,,10,1.0,1.0
faiss-flat,0,16,22,1,23165,,10,1.0,1.0
faiss-flat,0,17,25,1,29224,,10,1.0,1.0
faiss-flat,0,18,3,1,26910,,10,1.0,1.0
faiss-flat,0,19,16,1,23725,,10,1.0,1.0
faiss-flat,0,20,34,1,23054,,10,1.0,1.0
faiss-flat,0,21,31,1,22644,,10,1.0,1.0
faiss-flat,0,22,9,1,22785,,10,1.0,1.0
faiss-flat,0,23,12,1,22835,,10,1.0,1.0
faiss-flat,0,24,14,1,26210,,10,1.0,1.0
faiss-flat,0,25,2,1,23506,,10,1.0,1.0
faiss-flat,0,26,29,1,22994,,10,1.0,1.0
faiss-flat,0,27,30,1,22624,,10,1.0,1.0
faiss-flat,0,28,33,1,23135,,10,1.0,1.0
faiss-flat,0,29,53,1,37947,,10,1.0,1.0
faiss-flat,0,30,44,1,24006,,10,1.0,1.0
faiss-flat,0,31,35,1,23075,,10,1.0,1.0
faiss-flat,0,32,43,1,23325,,10,1.0,1.0
faiss-flat,0,33,55,1,24798,,10,1.0,1.0
faiss-flat,0,34,21,1,23385,,10,1.0,1.0
faiss-flat,0,35,39,1,22764,,10,1.0,1.0
faiss-flat,0,36,1,1,22945,,10,1.0,1.0
faiss-flat,0,37,56,1,26750,,10,1.0,1.0
faiss-flat,0,38,32,1,22484,,10,1.0,1.0
faiss-flat,0,39,45,1,22654,,10,1.0,1.0
faiss-flat,0,40,54,1,22543,,10,1.0,1.0
faiss-flat,0,41,18,1,26359,,10,1.0,1.0
faiss-flat,0,42,10,1,23806,,10,1.0,1.0
faiss-flat,0,43,51,1,22374,,10,1.0,1.0
faiss-flat,0,44,0,1,22914,,10,1.0,1.0
faiss-flat,0,45,47,1,38488,,10,1.0,1.0
faiss-flat,0,46,5,1,27992,,10,1.0,1.0
faiss-flat,0,47,63,1,23876,,10,1.0,1.0
faiss-flat,0,48,38,1,23044,,10,1.0,1.0
faiss-flat,0,49,48,1,22995,,10,1.0,1.0
faiss-flat,0,50,52,1,23085,,10,1.0,1.0
faiss-flat,0,51,20,1,26941,,10,1.0,1.0
faiss-flat,0,52,58,1,23456,,10,1.0,1.0
faiss-flat,0,53,61,1,26780,,10,1.0,1.0
faiss-flat,0,54,6,1,22845,,10,1.0,1.0
faiss-flat,0,55,59,1,22474,,10,1.0,1.0
faiss-flat,0,56,57,1,22464,,10,1.0,1.0
faiss-flat,0,57,62,1,28062,,10,1.0,1.0
faiss-flat,0,58,40,1,23656,,10,1.0,1.0
faiss-flat,0,59,28,1,24117,,10,1.0,1.0
faiss-flat,0,60,42,1,23145,,10,1.0,1.0
faiss-flat,0,61,26,1,32639,,10,1.0,1.0
faiss-flat,0,62,36,1,25158,,10,1.0,1.0
faiss-flat,0,63,4,1,23735,,10,1.0,1.0
faiss-flat,1,0,16,1,25478,,10,1.0,1.0
faiss-flat,1,1,14,1,24016,,10,1.0,1.0
faiss-flat,1,2,4,1,23235,,10,1.0,1.0
faiss-flat,1,3,36,1,22704,,10,1.0,1.0
faiss-flat,1,4,26,1,23135,,10,1.0,1.0
faiss-flat,1,5,30,1,22985,,10,1.0,1.0
faiss-flat,1,6,3,1,22855,,10,1.0,1.0
faiss-flat,1,7,32,1,22874,,10,1.0,1.0
faiss-flat,1,8,15,1,23115,,10,1.0,1.0
faiss-flat,1,9,10,1,22664,,10,1.0,1.0
faiss-flat,1,10,38,1,22925,,10,1.0,1.0
faiss-flat,1,11,24,1,22634,,10,1.0,1.0
faiss-flat,1,12,59,1,22474,,10,1.0,1.0
faiss-flat,1,13,54,1,30515,,10,1.0,1.0
faiss-flat,1,14,2,1,23756,,10,1.0,1.0
faiss-flat,1,15,34,1,22464,,10,1.0,1.0
faiss-flat,1,16,0,1,23776,,10,1.0,1.0
faiss-flat,1,17,50,1,23165,,10,1.0,1.0
faiss-flat,1,18,29,1,27371,,10,1.0,1.0
faiss-flat,1,19,13,1,23425,,10,1.0,1.0
faiss-flat,1,20,52,1,23064,,10,1.0,1.0
faiss-flat,1,21,55,1,23035,,10,1.0,1.0
faiss-flat,1,22,18,1,22985,,10,1.0,1.0
faiss-flat,1,23,31,1,23225,,10,1.0,1.0
faiss-flat,1,24,12,1,22684,,10,1.0,1.0
faiss-flat,1,25,7,1,23806,,10,1.0,1.0
faiss-flat,1,26,40,1,23185,,10,1.0,1.0
faiss-flat,1,27,35,1,22784,,10,1.0,1.0
faiss-flat,1,28,22,1,24116,,10,1.0,1.0
faiss-flat,1,29,27,1,22995,,10,1.0,1.0
faiss-flat,1,30,6,1,24286,,10,1.0,1.0
faiss-flat,1,31,57,1,27160,,10,1.0,1.0
faiss-flat,1,32,8,1,24497,,10,1.0,1.0
faiss-flat,1,33,42,1,23475,,10,1.0,1.0
faiss-flat,1,34,1,1,23866,,10,1.0,1.0
faiss-flat,1,35,61,1,28403,,10,1.0,1.0
faiss-flat,1,36,62,1,25157,,10,1.0,1.0
faiss-flat,1,37,11,1,29294,,10,1.0,1.0
faiss-flat,1,38,20,1,25448,,10,1.0,1.0
faiss-flat,1,39,45,1,25528,,10,1.0,1.0
faiss-flat,1,40,5,1,25248,,10,1.0,1.0
faiss-flat,1,41,46,1,28163,,10,1.0,1.0
faiss-flat,1,42,56,1,25569,,10,1.0,1.0
faiss-flat,1,43,41,1,24807,,10,1.0,1.0
faiss-flat,1,44,44,1,25338,,10,1.0,1.0
faiss-flat,1,45,58,1,26149,,10,1.0,1.0
faiss-flat,1,46,43,1,25518,,10,1.0,1.0
faiss-flat,1,47,51,1,24787,,10,1.0,1.0
faiss-flat,1,48,48,1,25038,,10,1.0,1.0
faiss-flat,1,49,9,1,25097,,10,1.0,1.0
faiss-flat,1,50,19,1,24617,,10,1.0,1.0
faiss-flat,1,51,60,1,24737,,10,1.0,1.0
faiss-flat,1,52,23,1,24877,,10,1.0,1.0
faiss-flat,1,53,39,1,24226,,10,1.0,1.0
faiss-flat,1,54,28,1,24897,,10,1.0,1.0
faiss-flat,1,55,33,1,25609,,10,1.0,1.0
faiss-flat,1,56,37,1,24977,,10,1.0,1.0
faiss-flat,1,57,47,1,24577,,10,1.0,1.0
faiss-flat,1,58,25,1,24947,,10,1.0,1.0
faiss-flat,1,59,63,1,24758,,10,1.0,1.0
faiss-flat,1,60,17,1,31367,,10,1.0,1.0
faiss-flat,1,61,53,1,29845,,10,1.0,1.0
faiss-flat,1,62,21,1,26129,,10,1.0,1.0
faiss-flat,1,63,49,1,25468,,10,1.0,1.0
faiss-flat,2,0,3,1,27181,,10,1.0,1.0
faiss-flat,2,1,5,1,25428,,10,1.0,1.0
faiss-flat,2,2,37,1,25108,,10,1.0,1.0
faiss-flat,2,3,7,1,25017,,10,1.0,1.0
faiss-flat,2,4,31,1,24868,,10,1.0,1.0
faiss-flat,2,5,45,1,24236,,10,1.0,1.0
faiss-flat,2,6,15,1,24777,,10,1.0,1.0
faiss-flat,2,7,12,1,24567,,10,1.0,1.0
faiss-flat,2,8,57,1,24787,,10,1.0,1.0
faiss-flat,2,9,25,1,24567,,10,1.0,1.0
faiss-flat,2,10,59,1,24967,,10,1.0,1.0
faiss-flat,2,11,19,1,26430,,10,1.0,1.0
faiss-flat,2,12,27,1,25187,,10,1.0,1.0
faiss-flat,2,13,17,1,24727,,10,1.0,1.0
faiss-flat,2,14,46,1,24928,,10,1.0,1.0
faiss-flat,2,15,40,1,24848,,10,1.0,1.0
faiss-flat,2,16,41,1,24576,,10,1.0,1.0
faiss-flat,2,17,4,1,24477,,10,1.0,1.0
faiss-flat,2,18,11,1,24617,,10,1.0,1.0
faiss-flat,2,19,23,1,25698,,10,1.0,1.0
faiss-flat,2,20,36,1,25188,,10,1.0,1.0
faiss-flat,2,21,44,1,22473,,10,1.0,1.0
faiss-flat,2,22,35,1,22443,,10,1.0,1.0
faiss-flat,2,23,39,1,22113,,10,1.0,1.0
faiss-flat,2,24,1,1,22113,,10,1.0,1.0
faiss-flat,2,25,2,1,23556,,10,1.0,1.0
faiss-flat,2,26,32,1,27031,,10,1.0,1.0
faiss-flat,2,27,60,1,26520,,10,1.0,1.0
faiss-flat,2,28,42,1,23245,,10,1.0,1.0
faiss-flat,2,29,47,1,22574,,10,1.0,1.0
faiss-flat,2,30,33,1,23074,,10,1.0,1.0
faiss-flat,2,31,63,1,22624,,10,1.0,1.0
faiss-flat,2,32,13,1,23134,,10,1.0,1.0
