engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
numpy,0,0,13,1,22914,,10,1.0,1.0
numpy,0,1,11,1,25158,,10,1.0,1.0
numpy,0,2,19,1,24527,,10,1.0,1.0
numpy,0,3,46,1,23785,,10,1.0,1.0
numpy,0,4,37,1,22594,,10,1.0,1.0
numpy,0,5,27,1,22674,,10,1.0,1.0
numpy,0,6,7,1,22664,,10,1.0,1.0
numpy,0,7,15,1,22133,,10,1.0,1.0
numpy,0,8,41,1,22113,,10,1.0,1.0
numpy,0,9,50,1,22193,,10,1.0,1.0
numpy,0,10,24,1,22925,,10,1.0,1.0
numpy,0,11,8,1,23034,,10,1.0,1.0
numpy,0,12,17,1,22915,,10,1.0,1.0
numpy,0,13,23,1,22233,,10,1.0,1.0
numpy,0,14,60,1,22263,,10,1.0,1.0
numpy,0,15,49,1,24997,,10,1.0,1.0
numpy,0,16,22,1,25699,,10,1.0,1.0
numpy,0,17,25,1,22824,,10,1.0,1.0
numpy,0,18,3,1,24126,,10,1.0,1.0
numpy,0,19,16,1,20210,,10,1.0,1.0
numpy,0,20,34,1,19889,,10,1.0,1.0
numpy,0,21,31,1,19519,,10,1.0,1.0
numpy,0,22,9,1,21512,,10,1.0,1.0
numpy,0,23,12,1,21342,,10,1.0,1.0
numpy,0,24,14,1,21282,,10,1.0,1.0
numpy,0,25,2,1,21533,,10,1.0,1.0
numpy,0,26,29,1,21532,,10,1.0,1.0
numpy,0,27,30,1,21483,,10,1.0,1.0
numpy,0,28,33,1,21232,,10,1.0,1.0
numpy,0,29,53,1,21432,,10,1.0,1.0
numpy,0,30,44,1,21512,,10,1.0,1.0
numpy,0,31,35,1,23405,,10,1.0,1.0
numpy,0,32,43,1,22424,,10,1.0,1.0
numpy,0,33,55,1,23275,,10,1.0,1.0
numpy,0,34,21,1,21733,,10,1.0,1.0
numpy,0,35,39,1,22334,,10,1.0,1.0
numpy,0,36,1,1,21843,,10,1.0,1.0
numpy,0,37,56,1,22463,,10,1.0,1.0
numpy,0,38,32,1,21862,,10,1.0,1.0
numpy,0,39,45,1,21583,,10,1.0,1.0
numpy,0,40,54,1,22073,,10,1.0,1.0
numpy,0,41,18,1,23085,,10,1.0,1.0
numpy,0,42,10,1,22124,,10,1.0,1.0
numpy,0,43,51,1,21782,,10,1.0,1.0
numpy,0,44,0,1,21412,,10,1.0,1.0
numpy,0,45,47,1,22324,,10,1.0,1.0
numpy,0,46,5,1,21552,,10,1.0,1.0
numpy,0,47,63,1,30045,,10,1.0,1.0
numpy,0,48,38,1,21723,,10,1.0,1.0
numpy,0,49,48,1,21782,,10,1.0,1.0
numpy,0,50,52,1,21453,,10,1.0,1.0
numpy,0,51,20,1,21442,,10,1.0,1.0
numpy,0,52,58,1,19369,,10,1.0,1.0
numpy,0,53,61,1,19520,,10,1.0,1.0
numpy,0,54,6,1,20200,,10,1.0,1.0
numpy,0,55,59,1,20100,,10,1.0,1.0
numpy,0,56,57,1,19579,,10,1.0,1.0
numpy,0,57,62,1,19670,,10,1.0,1.0
numpy,0,58,40,1,19429,,10,1.0,1.0
numpy,0,59,28,1,19600,,10,1.0,1.0
numpy,0,60,42,1,19509,,10,1.0,1.0
numpy,0,61,26,1,19639,,10,1.0,1.0
numpy,0,62,36,1,19469,,10,1.0,1.0
numpy,0,63,4,1,19269,,10,1.0,1.0
numpy,1,0,16,1,27982,,10,1.0,1.0
numpy,1,1,14,1,24407,,10,1.0,1.0
numpy,1,2,4,1,19660,,10,1.0,1.0
numpy,1,3,36,1,19319,,10,1.0,1.0
numpy,1,4,26,1,19339,,10,1.0,1.0
numpy,1,5,30,1,19259,,10,1.0,1.0
numpy,1,6,3,1,19229,,10,1.0,1.0
numpy,1,7,32,1,18848,,10,1.0,1.0
numpy,1,8,15,1,18939,,10,1.0,1.0
numpy,1,9,10,1,18938,,10,1.0,1.0
numpy,1,10,38,1,19689,,10,1.0,1.0
numpy,1,11,24,1,19039,,10,1.0,1.0
numpy,1,12,59,1,19129,,10,1.0,1.0
numpy,1,13,54,1,19930,,10,1.0,1.0
numpy,1,14,2,1,19209,,10,1.0,1.0
numpy,1,15,34,1,19139,,10,1.0,1.0
numpy,1,16,0,1,21232,,10,1.0,1.0
numpy,1,17,50,1,21512,,10,1.0,1.0
numpy,1,18,29,1,29334,,10,1.0,1.0
numpy,1,19,13,1,24827,,10,1.0,1.0
numpy,1,20,52,1,22304,,10,1.0,1.0
numpy,1,21,55,1,21322,,10,1.0,1.0
numpy,1,22,18,1,21332,,10,1.0,1.0
numpy,1,23,31,1,21532,,10,1.0,1.0
numpy,1,24,12,1,21322,,10,1.0,1.0
numpy,1,25,7,1,21272,,10,1.0,1.0
numpy,1,26,40,1,21022,,10,1.0,1.0
numpy,1,27,35,1,21433,,10,1.0,1.0
numpy,1,28,22,1,21532,,10,1.0,1.0
numpy,1,29,27,1,22523,,10,1.0,1.0
numpy,1,30,6,1,21782,,10,1.0,1.0
numpy,1,31,57,1,22304,,10,1.0,1.0
numpy,1,32,8,1,23035,,10,1.0,1.0
numpy,1,33,42,1,22184,,10,1.0,1.0
numpy,1,34,1,1,23626,,10,1.0,1.0
numpy,1,35,61,1,22544,,10,1.0,1.0
numpy,1,36,62,1,26610,,10,1.0,1.0
numpy,1,37,11,1,21312,,10,1.0,1.0
numpy,1,38,20,1,21332,,10,1.0,1.0
numpy,1,39,45,1,21682,,10,1.0,1.0
numpy,1,40,5,1,21282,,10,1.0,1.0
numpy,1,41,46,1,21873,,10,1.0,1.0
numpy,1,42,56,1,21452,,10,1.0,1.0
numpy,1,43,41,1,21092,,10,1.0,1.0
numpy,1,44,44,1,21422,,10,1.0,1.0
numpy,1,45,58,1,21502,,10,1.0,1.0
numpy,1,46,43,1,21702,,10,1.0,1.0
numpy,1,47,51,1,20952,,10,1.0,1.0
numpy,1,48,48,1,21422,,10,1.0,1.0
numpy,1,49,9,1,21462,,10,1.0,1.0
numpy,1,50,19,1,21322,,10,1.0,1.0
numpy,1,51,60,1,29675,,10,1.0,1.0
numpy,1,52,23,1,21352,,10,1.0,1.0
numpy,1,53,39,1,21071,,10,1.0,1.0
numpy,1,54,28,1,26509,,10,1.0,1.0
numpy,1,55,33,1,20340,,10,1.0,1.0
numpy,1,56,37,1,19750,,10,1.0,1.0
numpy,1,57,47,1,19389,,10,1.0,1.0
numpy,1,58,25,1,19339,,10,1.0,1.0
numpy,1,59,63,1,18939,,10,1.0,1.0
numpy,1,60,17,1,19179,,10,1.0,1.0
numpy,1,61,53,1,19239,,10,1.0,1.0
numpy,1,62,21,1,19940,,10,1.0,1.0
numpy,1,63,49,1,19670,,10,1.0,1.0
numpy,2,0,3,1,21242,,10,1.0,1.0
numpy,2,1,5,1,19950,,10,1.0,1.0
numpy,2,2,37,1,19139,,10,1.0,1.0
numpy,2,3,7,1,19329,,10,1.0,1.0
numpy,2,4,31,1,19589,,10,1.0,1.0
numpy,2,5,45,1,23586,,10,1.0,1.0
numpy,2,6,15,1,19550,,10,1.0,1.0
numpy,2,7,12,1,19319,,10,1.0,1.0
numpy,2,8,57,1,19329,,10,1.0,1.0
numpy,2,9,25,1,19259,,10,1.0,1.0
numpy,2,10,59,1,19088,,10,1.0,1.0
numpy,2,11,19,1,19069,,10,1.0,1.0
numpy,2,12,27,1,19389,,10,1.0,1.0
numpy,2,13,17,1,19980,,10,1.0,1.0
numpy,2,14,46,1,20250,,10,1.0,1.0
numpy,2,15,40,1,20040,,10,1.0,1.0
numpy,2,16,41,1,22064,,10,1.0,1.0
numpy,2,17,4,1,21312,,10,1.0,1.0
numpy,2,18,11,1,21693,,10,1.0,1.0
numpy,2,19,23,1,21132,,10,1.0,1.0
numpy,2,20,36,1,21663,,10,1.0,1.0
numpy,2,21,44,1,21953,,10,1.0,1.0
numpy,2,22,35,1,23635,,10,1.0,1.0
numpy,2,23,39,1,21663,,10,1.0,1.0
numpy,2,24,1,1,22073,,10,1.0,1.0
