engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
torch-cpu,0,0,13,1,82494,,10,1.0,1.0
torch-cpu,0,1,11,1,108452,,10,1.0,1.0
torch-cpu,0,2,19,1,102945,,10,1.0,1.0
torch-cpu,0,3,46,1,102924,,10,1.0,1.0
torch-cpu,0,4,37,1,100030,,10,1.0,1.0
torch-cpu,0,5,27,1,101012,,10,1.0,1.0
torch-cpu,0,6,7,1,100831,,10,1.0,1.0
torch-cpu,0,7,15,1,103165,,10,1.0,1.0
torch-cpu,0,8,41,1,101553,,10,1.0,1.0
torch-cpu,0,9,50,1,100751,,10,1.0,1.0
torch-cpu,0,10,24,1,99800,,10,1.0,1.0
torch-cpu,0,11,8,1,99940,,10,1.0,1.0
torch-cpu,0,12,17,1,99549,,10,1.0,1.0
torch-cpu,0,13,23,1,101733,,10,1.0,1.0
torch-cpu,0,14,60,1,99379,,10,1.0,1.0
torch-cpu,0,15,49,1,94292,,10,1.0,1.0
torch-cpu,0,16,22,1,97887,,10,1.0,1.0
torch-cpu,0,17,25,1,99960,,10,1.0,1.0
torch-cpu,0,18,3,1,98979,,10,1.0,1.0
torch-cpu,0,19,16,1,108983,,10,1.0,1.0
torch-cpu,0,20,34,1,98879,,10,1.0,1.0
torch-cpu,0,21,31,1,98618,,10,1.0,1.0
torch-cpu,0,22,9,1,99099,,10,1.0,1.0
torch-cpu,0,23,12,1,99439,,10,1.0,1.0
torch-cpu,0,24,14,1,98397,,10,1.0,1.0
torch-cpu,0,25,2,1,101963,,10,1.0,1.0
torch-cpu,0,26,29,1,98869,,10,1.0,1.0
torch-cpu,0,27,30,1,99730,,10,1.0,1.0
torch-cpu,0,28,33,1,99049,,10,1.0,1.0
torch-cpu,0,29,53,1,99669,,10,1.0,1.0
torch-cpu,0,30,44,1,98929,,10,1.0,1.0
torch-cpu,0,31,35,1,102013,,10,1.0,1.0
torch-cpu,0,32,43,1,100450,,10,1.0,1.0
torch-cpu,0,33,55,1,104477,,10,1.0,1.0
torch-cpu,0,34,21,1,99019,,10,1.0,1.0
torch-cpu,0,35,39,1,99590,,10,1.0,1.0
torch-cpu,0,36,1,1,98668,,10,1.0,1.0
torch-cpu,0,37,56,1,102003,,10,1.0,1.0
torch-cpu,0,38,32,1,99038,,10,1.0,1.0
torch-cpu,0,39,45,1,99279,,10,1.0,1.0
torch-cpu,0,40,54,1,99129,,10,1.0,1.0
torch-cpu,0,41,18,1,100571,,10,1.0,1.0
torch-cpu,0,42,10,1,98768,,10,1.0,1.0
torch-cpu,0,43,51,1,100751,,10,1.0,1.0
torch-cpu,0,44,0,1,95203,,10,1.0,1.0
torch-cpu,0,45,47,1,87381,,10,1.0,1.0
torch-cpu,0,46,5,1,87401,,10,1.0,1.0
torch-cpu,0,47,63,1,97506,,10,1.0,1.0
torch-cpu,0,48,38,1,98388,,10,1.0,1.0
torch-cpu,0,49,48,1,99960,,10,1.0,1.0
torch-cpu,0,50,52,1,98558,,10,1.0,1.0
torch-cpu,0,51,20,1,98157,,10,1.0,1.0
torch-cpu,0,52,58,1,99569,,10,1.0,1.0
torch-cpu,0,53,61,1,100591,,10,1.0,1.0
torch-cpu,0,54,6,1,99669,,10,1.0,1.0
torch-cpu,0,55,59,1,100341,,10,1.0,1.0
torch-cpu,0,56,57,1,100340,,10,1.0,1.0
torch-cpu,0,57,62,1,100271,,10,1.0,1.0
torch-cpu,0,58,40,1,99249,,10,1.0,1.0
torch-cpu,0,59,28,1,98618,,10,1.0,1.0
torch-cpu,0,60,42,1,100181,,10,1.0,1.0
torch-cpu,0,61,26,1,101752,,10,1.0,1.0
torch-cpu,0,62,36,1,99759,,10,1.0,1.0
torch-cpu,0,63,4,1,98898,,10,1.0,1.0
torch-cpu,1,0,16,1,101342,,10,1.0,1.0
torch-cpu,1,1,14,1,100050,,10,1.0,1.0
torch-cpu,1,2,4,1,99059,,10,1.0,1.0
torch-cpu,1,3,36,1,102194,,10,1.0,1.0
torch-cpu,1,4,26,1,99349,,10,1.0,1.0
torch-cpu,1,5,30,1,98718,,10,1.0,1.0
torch-cpu,1,6,3,1,98338,,10,1.0,1.0
torch-cpu,1,7,32,1,98308,,10,1.0,1.0
torch-cpu,1,8,15,1,99880,,10,1.0,1.0
torch-cpu,1,9,10,1,101142,,10,1.0,1.0
torch-cpu,1,10,38,1,98648,,10,1.0,1.0
torch-cpu,1,11,24,1,98838,,10,1.0,1.0
torch-cpu,1,12,59,1,98829,,10,1.0,1.0
torch-cpu,1,13,54,1,99069,,10,1.0,1.0
torch-cpu,1,14,2,1,98919,,10,1.0,1.0
torch-cpu,1,15,34,1,101422,,10,1.0,1.0
torch-cpu,1,16,0,1,98037,,10,1.0,1.0
torch-cpu,1,17,50,1,98298,,10,1.0,1.0
torch-cpu,1,18,29,1,97977,,10,1.0,1.0
torch-cpu,1,19,13,1,98087,,10,1.0,1.0
torch-cpu,1,20,52,1,98588,,10,1.0,1.0
torch-cpu,1,21,55,1,113600,,10,1.0,1.0
torch-cpu,1,22,18,1,98759,,10,1.0,1.0
torch-cpu,1,23,31,1,98257,,10,1.0,1.0
torch-cpu,1,24,12,1,98257,,10,1.0,1.0
torch-cpu,1,25,7,1,97616,,10,1.0,1.0
torch-cpu,1,26,40,1,98959,,10,1.0,1.0
torch-cpu,1,27,35,1,107101,,10,1.0,1.0
torch-cpu,1,28,22,1,101152,,10,1.0,1.0
torch-cpu,1,29,27,1,101603,,10,1.0,1.0
torch-cpu,1,30,6,1,99839,,10,1.0,1.0
torch-cpu,1,31,57,1,100470,,10,1.0,1.0
torch-cpu,1,32,8,1,101813,,10,1.0,1.0
torch-cpu,1,33,42,1,109715,,10,1.0,1.0
torch-cpu,1,34,1,1,98928,,10,1.0,1.0
torch-cpu,1,35,61,1,99199,,10,1.0,1.0
torch-cpu,1,36,62,1,98618,,10,1.0,1.0
torch-cpu,1,37,11,1,99289,,10,1.0,1.0
torch-cpu,1,38,20,1,98688,,10,1.0,1.0
torch-cpu,1,39,45,1,105509,,10,1.0,1.0
torch-cpu,1,40,5,1,97265,,10,1.0,1.0
torch-cpu,1,41,46,1,98588,,10,1.0,1.0
torch-cpu,1,42,56,1,98587,,10,1.0,1.0
torch-cpu,1,43,41,1,98308,,10,1.0,1.0
torch-cpu,1,44,44,1,97777,,10,1.0,1.0
torch-cpu,1,45,58,1,104848,,10,1.0,1.0
torch-cpu,1,46,43,1,98408,,10,1.0,1.0
torch-cpu,1,47,51,1,99549,,10,1.0,1.0
torch-cpu,1,48,48,1,97847,,10,1.0,1.0
torch-cpu,1,49,9,1,97386,,10,1.0,1.0
torch-cpu,1,50,19,1,97426,,10,1.0,1.0
torch-cpu,1,51,60,1,104086,,10,1.0,1.0
torch-cpu,1,52,23,1,97827,,10,1.0,1.0
torch-cpu,1,53,39,1,98037,,10,1.0,1.0
torch-cpu,1,54,28,1,97576,,10,1.0,1.0
torch-cpu,1,55,33,1,97897,,10,1.0,1.0
torch-cpu,1,56,37,1,97486,,10,1.0,1.0
torch-cpu,1,57,47,1,106370,,10,1.0,1.0
torch-cpu,1,58,25,1,99369,,10,1.0,1.0
torch-cpu,1,59,63,1,105158,,10,1.0,1.0
torch-cpu,1,60,17,1,100160,,10,1.0,1.0
torch-cpu,1,61,53,1,100030,,10,1.0,1.0
torch-cpu,1,62,21,1,99840,,10,1.0,1.0
torch-cpu,1,63,49,1,109024,,10,1.0,1.0
torch-cpu,2,0,3,1,111718,,10,1.0,1.0
torch-cpu,2,1,5,1,101913,,10,1.0,1.0
torch-cpu,2,2,37,1,99920,,10,1.0,1.0
torch-cpu,2,3,7,1,102003,,10,1.0,1.0
torch-cpu,2,4,31,1,99509,,10,1.0,1.0
torch-cpu,2,5,45,1,109254,,10,1.0,1.0
torch-cpu,2,6,15,1,98708,,10,1.0,1.0
torch-cpu,2,7,12,1,98869,,10,1.0,1.0
torch-cpu,2,8,57,1,98908,,10,1.0,1.0
torch-cpu,2,9,25,1,99099,,10,1.0,1.0
torch-cpu,2,10,59,1,98377,,10,1.0,1.0
torch-cpu,2,11,19,1,107111,,10,1.0,1.0
torch-cpu,2,12,27,1,98789,,10,1.0,1.0
torch-cpu,2,13,17,1,97907,,10,1.0,1.0
torch-cpu,2,14,46,1,99139,,10,1.0,1.0
torch-cpu,2,15,40,1,98327,,10,1.0,1.0
torch-cpu,2,16,41,1,97917,,10,1.0,1.0
torch-cpu,2,17,4,1,107081,,10,1.0,1.0
torch-cpu,2,18,11,1,98378,,10,1.0,1.0
torch-cpu,2,19,23,1,98437,,10,1.0,1.0
torch-cpu,2,20,36,1,98487,,10,1.0,1.0
torch-cpu,2,21,44,1,98187,,10,1.0,1.0
torch-cpu,2,22,35,1,100210,,10,1.0,1.0
torch-cpu,2,23,39,1,107161,,10,1.0,1.0
torch-cpu,2,24,1,1,99430,,10,1.0,1.0
torch-cpu,2,25,2,1,98188,,10,1.0,1.0
torch-cpu,2,26,32,1,101633,,10,1.0,1.0
torch-cpu,2,27,60,1,98958,,10,1.0,1.0
torch-cpu,2,28,42,1,99249,,10,1.0,1.0
torch-cpu,2,29,47,1,108633,,10,1.0,1.0
torch-cpu,2,30,33,1,99489,,10,1.0,1.0
torch-cpu,2,31,63,1,99199,,10,1.0,1.0
torch-cpu,2,32,13,1,98237,,10,1.0,1.0
torch-cpu,2,33,28,1,98919,,10,1.0,1.0
torch-cpu,2,34,16,1,98428,,10,1.0,1.0
torch-cpu,2,35,58,1,108803,,10,1.0,1.0
torch-cpu,2,36,29,1,99309,,10,1.0,1.0
torch-cpu,2,37,24,1,100511,,10,1.0,1.0
torch-cpu,2,38,8,1,98938,,10,1.0,1.0
torch-cpu,2,39,62,1,99339,,10,1.0,1.0
torch-cpu,2,40,51,1,99149,,10,1.0,1.0
torch-cpu,2,41,55,1,108053,,10,1.0,1.0
torch-cpu,2,42,21,1,99128,,10,1.0,1.0
torch-cpu,2,43,61,1,98408,,10,1.0,1.0
torch-cpu,2,44,43,1,97846,,10,1.0,1.0
torch-cpu,2,45,0,1,102744,,10,1.0,1.0
torch-cpu,2,46,48,1,98117,,10,1.0,1.0
torch-cpu,2,47,14,1,105959,,10,1.0,1.0
torch-cpu,2,48,9,1,98148,,10,1.0,1.0
torch-cpu,2,49,20,1,99389,,10,1.0,1.0
torch-cpu,2,50,49,1,99589,,10,1.0,1.0
torch-cpu,2,51,54,1,101622,,10,1.0,1.0
torch-cpu,2,52,6,1,98838,,10,1.0,1.0
torch-cpu,2,53,52,1,106900,,10,1.0,1.0
torch-cpu,2,54,50,1,101563,,10,1.0,1.0
torch-cpu,2,55,56,1,99609,,10,1.0,1.0
torch-cpu,2,56,38,1,95874,,10,1.0,1.0
torch-cpu,2,57,34,1,87071,,10,1.0,1.0
torch-cpu,2,58,10,1,86409,,10,1.0,1.0
torch-cpu,2,59,26,1,87071,,10,1.0,1.0
torch-cpu,2,60,53,1,89254,,10,1.0,1.0
torch-cpu,2,61,18,1,88733,,10,1.0,1.0
torch-cpu,2,62,22,1,86690,,10,1.0,1.0
torch-cpu,2,63,30,1,87020,,10,1.0,1.0
