engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
torch-cuda,0,0,13,1,281773,242144,10,1.0,1.0
torch-cuda,0,1,11,1,297827,251616,10,1.0,1.0
torch-cuda,0,2,19,1,307381,263392,10,1.0,1.0
torch-cuda,0,3,46,1,294732,251168,10,1.0,1.0
torch-cuda,0,4,37,1,293481,250624,10,1.0,1.0
torch-cuda,0,5,27,1,300170,256895,10,1.0,1.0
torch-cuda,0,6,7,1,290946,248383,10,1.0,1.0
torch-cuda,0,7,15,1,289714,247648,10,1.0,1.0
torch-cuda,0,8,41,1,304317,254848,10,1.0,1.0
torch-cuda,0,9,50,1,289285,247776,10,1.0,1.0
torch-cuda,0,10,24,1,302574,252831,10,1.0,1.0
torch-cuda,0,11,8,1,292739,250079,10,1.0,1.0
torch-cuda,0,12,17,1,293020,250079,10,1.0,1.0
torch-cuda,0,13,23,1,301452,259519,10,1.0,1.0
torch-cuda,0,14,60,1,298748,256799,10,1.0,1.0
torch-cuda,0,15,49,1,291988,249760,10,1.0,1.0
torch-cuda,0,16,22,1,299669,257440,10,1.0,1.0
torch-cuda,0,17,25,1,291828,249375,10,1.0,1.0
torch-cuda,0,18,3,1,297166,255360,10,1.0,1.0
torch-cuda,0,19,16,1,302244,259487,10,1.0,1.0
torch-cuda,0,20,34,1,293010,250463,10,1.0,1.0
torch-cuda,0,21,31,1,299880,257216,10,1.0,1.0
torch-cuda,0,22,9,1,291718,249663,10,1.0,1.0
torch-cuda,0,23,12,1,291568,249760,10,1.0,1.0
torch-cuda,0,24,14,1,298047,255807,10,1.0,1.0
torch-cuda,0,25,2,1,290396,248319,10,1.0,1.0
torch-cuda,0,26,29,1,291377,248704,10,1.0,1.0
torch-cuda,0,27,30,1,305709,262975,10,1.0,1.0
torch-cuda,0,28,33,1,291067,249247,10,1.0,1.0
torch-cuda,0,29,53,1,290887,248447,10,1.0,1.0
torch-cuda,0,30,44,1,297076,248704,10,1.0,1.0
torch-cuda,0,31,35,1,289675,248127,10,1.0,1.0
torch-cuda,0,32,43,1,297606,248704,10,1.0,1.0
torch-cuda,0,33,55,1,296625,253984,10,1.0,1.0
torch-cuda,0,34,21,1,292659,250463,10,1.0,1.0
torch-cuda,0,35,39,1,300761,258655,10,1.0,1.0
torch-cuda,0,36,1,1,300852,258623,10,1.0,1.0
torch-cuda,0,37,56,1,295864,252256,10,1.0,1.0
torch-cuda,0,38,32,1,326910,281823,10,1.0,1.0
torch-cuda,0,39,45,1,299920,256031,10,1.0,1.0
torch-cuda,0,40,54,1,294462,252384,10,1.0,1.0
torch-cuda,0,41,18,1,298528,255264,10,1.0,1.0
torch-cuda,0,42,10,1,291087,249247,10,1.0,1.0
