run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13,1,24035455,10,1,1,10,50,0,0,,31,6302,,,24001145,,120,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
0,1,11,1,23936848,10,1,1,10,50,0,0,,31,6302,,,23902877,,110,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,2,19,1,23398440,10,1,1,10,50,0,0,,31,6302,,,23365691,,260,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,3,46,1,23410869,10,1,1,10,50,0,0,,31,6302,,,23377328,,111,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,4,37,1,23240874,10,1,1,10,50,0,0,,31,6302,,,23208104,,241,Usearch,Usearch:1,161,not-applicable,,false,,1,,,,,,,,0,
0,5,27,1,23815626,10,1,1,10,50,0,0,,31,6302,,,23782947,,270,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,6,7,1,23915426,10,1,1,10,50,0,0,,31,6302,,,23882706,,171,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
0,7,15,1,23774224,10,1,1,10,50,0,0,,31,6302,,,23743197,,120,Usearch,Usearch:1,110,not-applicable,,false,,1,,,,,,,,0,
0,8,41,1,23994464,10,1,1,10,50,0,0,,31,6302,,,23962646,,180,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
0,9,50,1,24278501,10,1,1,10,50,0,0,,31,6302,,,24245872,,110,Usearch,Usearch:1,160,not-applicable,,false,,1,,,,,,,,0,
0,10,24,1,23820394,10,1,1,10,50,0,0,,31,6302,,,23788195,,190,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,11,8,1,23725611,10,1,1,10,50,0,0,,31,6302,,,23692081,,110,Usearch,Usearch:1,40,not-applicable,,false,,1,,,,,,,,0,
0,12,17,1,24116909,10,1,1,10,50,0,0,,31,6302,,,24083518,,170,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
0,13,23,1,23956307,10,1,1,10,50,0,0,,31,6302,,,23922186,,260,Usearch,Usearch:1,130,not-applicable,,false,,1,,,,,,,,0,
0,14,60,1,23859111,10,1,1,10,50,0,0,,31,6302,,,23826402,,111,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
0,15,49,1,23824860,10,1,1,10,50,0,0,,31,6302,,,23792110,,161,Usearch,Usearch:1,111,not-applicable,,false,,1,,,,,,,,0,
0,16,22,1,23784860,10,1,1,10,50,0,0,,31,6302,,,23751900,,231,Usearch,Usearch:1,130,not-applicable,,false,,1,,,,,,,,0,
0,17,25,1,23817409,10,1,1,10,50,0,0,,31,6302,,,23784429,,110,Usearch,Usearch:1,261,not-applicable,,false,,1,,,,,,,,0,
0,18,3,1,23513163,10,1,1,10,50,0,0,,31,6302,,,23480964,,120,Usearch,Usearch:1,130,not-applicable,,false,,1,,,,,,,,0,
0,19,16,1,23969377,10,1,1,10,50,0,0,,31,6302,,,23936387,,250,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,20,34,1,24554886,10,1,1,10,50,0,0,,31,6302,,,24522877,,221,Usearch,Usearch:1,110,not-applicable,,false,,1,,,,,,,,0,
0,21,31,1,23283908,10,1,1,10,50,0,0,,31,6302,,,23251399,,111,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,22,9,1,23034143,10,1,1,10,50,0,0,,31,6302,,,23000984,,180,Usearch,Usearch:1,150,not-applicable,,false,,1,,,,,,,,0,
0,23,12,1,23898951,10,1,1,10,50,0,0,,31,6302,,,23868165,,290,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,24,14,1,23712471,10,1,1,10,50,0,0,,31,6302,,,23672962,,90,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,25,2,1,23329297,10,1,1,10,50,0,0,,31,6302,,,23296698,,110,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,26,29,1,24028546,10,1,1,10,50,0,0,,31,6302,,,23997969,,201,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,27,30,1,24046973,10,1,1,10,50,0,0,,31,6302,,,24015576,,120,Usearch,Usearch:1,100,not-applicable,,false,,1,,,,,,,,0,
0,28,33,1,23870658,10,1,1,10,50,0,0,,31,6302,,,23838761,,90,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,29,53,1,24495036,10,1,1,10,50,0,0,,31,6302,,,24463539,,80,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,30,44,1,24333974,10,1,1,10,50,0,0,,31,6302,,,24300503,,80,Usearch,Usearch:1,131,not-applicable,,false,,1,,,,,,,,0,
0,31,35,1,23295396,10,1,1,10,50,0,0,,31,6302,,,23263307,,20,Usearch,Usearch:1,111,not-applicable,,false,,1,,,,,,,,0,
0,32,43,1,23639021,10,1,1,10,50,0,0,,31,6302,,,23606021,,201,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,33,55,1,23468866,10,1,1,10,50,0,0,,31,6302,,,23434924,,251,Usearch,Usearch:1,31,not-applicable,,false,,1,,,,,,,,0,
0,34,21,1,23486593,10,1,1,10,50,0,0,,31,6302,,,23453423,,90,Usearch,Usearch:1,31,not-applicable,,false,,1,,,,,,,,0,
0,35,39,1,23522075,10,1,1,10,50,0,0,,31,6302,,,23490488,,80,Usearch,Usearch:1,120,not-applicable,,false,,1,,,,,,,,0,
0,36,1,1,23742667,10,1,1,10,50,0,0,,31,6302,,,23710849,,180,Usearch,Usearch:1,100,not-applicable,,false,,1,,,,,,,,0,
0,37,56,1,23601425,10,1,1,10,50,0,0,,31,6302,,,23569577,,170,Usearch,Usearch:1,31,not-applicable,,false,,1,,,,,,,,0,
0,38,32,1,25258180,10,1,1,10,50,0,0,,31,6302,,,25218571,,200,Usearch,Usearch:1,80,not-applicable,,false,,1,,,,,,,,0,
0,39,45,1,24499482,10,1,1,10,50,0,0,,31,6302,,,24466653,,90,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
0,40,54,1,23993533,10,1,1,10,50,0,0,,31,6302,,,23960473,,70,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,41,18,1,23153543,10,1,1,10,50,0,0,,31,6302,,,23121595,,170,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,42,10,1,23222786,10,1,1,10,50,0,0,,31,6302,,,23183858,,71,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
0,43,51,1,23726272,10,1,1,10,50,0,0,,31,6302,,,23694184,,91,Usearch,Usearch:1,121,not-applicable,,false,,1,,,,,,,,0,
0,44,0,1,23210959,10,1,1,10,50,0,0,,31,6302,,,23173753,,30,Usearch,Usearch:1,61,not-applicable,,false,,1,,,,,,,,0,
0,45,47,1,23843127,10,1,1,10,50,0,0,,31,6302,,,23806753,,110,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
0,46,5,1,23676698,10,1,1,10,50,0,0,,31,6302,,,23645100,,180,Usearch,Usearch:1,200,not-applicable,,false,,1,,,,,,,,0,
0,47,63,1,23350318,10,1,1,10,50,0,0,,31,6302,,,23316457,,231,Usearch,Usearch:1,190,not-applicable,,false,,1,,,,,,,,0,
0,48,38,1,23392601,10,1,1,10,50,0,0,,31,6302,,,23360884,,90,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
0,49,48,1,23823448,10,1,1,10,50,0,0,,31,6302,,,23790669,,180,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,50,52,1,23637749,10,1,1,10,50,0,0,,31,6302,,,23604219,,130,Usearch,Usearch:1,180,not-applicable,,false,,1,,,,,,,,0,
0,51,20,1,23617198,10,1,1,10,50,0,0,,31,6302,,,23584169,,80,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,52,58,1,24446183,10,1,1,10,50,0,0,,31,6302,,,24413424,,110,Usearch,Usearch:1,191,not-applicable,,false,,1,,,,,,,,0,
0,53,61,1,23045520,10,1,1,10,50,0,0,,31,6302,,,23012911,,121,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,54,6,1,23024570,10,1,1,10,50,0,0,,31,6302,,,22991790,,90,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
0,55,59,1,23533623,10,1,1,10,50,0,0,,31,6302,,,23496267,,120,Usearch,Usearch:1,50,not-applicable,,false,,1,,,,,,,,0,
0,56,57,1,23724139,10,1,1,10,50,0,0,,31,6302,,,23690619,,190,Usearch,Usearch:1,440,not-applicable,,false,,1,,,,,,,,0,
0,57,62,1,23454885,10,1,1,10,50,0,0,,31,6302,,,23423407,,121,Usearch,Usearch:1,100,not-applicable,,false,,1,,,,,,,,0,
0,58,40,1,24092111,10,1,1,10,50,0,0,,31,6302,,,24058340,,340,Usearch,Usearch:1,161,not-applicable,,false,,1,,,,,,,,0,
0,59,28,1,23799682,10,1,1,10,50,0,0,,31,6302,,,23767524,,180,Usearch,Usearch:1,50,not-applicable,,false,,1,,,,,,,,0,
0,60,42,1,23323668,10,1,1,10,50,0,0,,31,6302,,,23292171,,260,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
0,61,26,1,23007954,10,1,1,10,50,0,0,,31,6302,,,22975396,,230,Usearch,Usearch:1,40,not-applicable,,false,,1,,,,,,,,0,
0,62,36,1,23571690,10,1,1,10,50,0,0,,31,6302,,,23539241,,241,Usearch,Usearch:1,280,not-applicable,,false,,1,,,,,,,,0,
0,63,4,1,23312111,10,1,1,10,50,0,0,,31,6302,,,23276677,,270,Usearch,Usearch:1,150,not-applicable,,false,,1,,,,,,,,0,
1,0,16,1,23360463,10,1,1,10,50,0,0,,31,6302,,,23326612,,80,Usearch,Usearch:1,100,not-applicable,,false,,1,,,,,,,,0,
1,1,14,1,23771761,10,1,1,10,50,0,0,,31,6302,,,23737790,,110,Usearch,Usearch:1,250,not-applicable,,false,,1,,,,,,,,0,
1,2,4,1,23512281,10,1,1,10,50,0,0,,31,6302,,,23479852,,80,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,3,36,1,23777418,10,1,1,10,50,0,0,,31,6302,,,23738620,,171,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
1,4,26,1,24639612,10,1,1,10,50,0,0,,31,6302,,,24605261,,121,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
1,5,30,1,23153372,10,1,1,10,50,0,0,,31,6302,,,23119391,,301,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,6,3,1,23045060,10,1,1,10,50,0,0,,31,6302,,,23013553,,90,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
1,7,32,1,22987714,10,1,1,10,50,0,0,,31,6302,,,22955135,,80,Usearch,Usearch:1,100,not-applicable,,false,,1,,,,,,,,0,
1,8,15,1,23662206,10,1,1,10,50,0,0,,31,6302,,,23626442,,321,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,9,10,1,25032081,10,1,1,10,50,0,0,,31,6302,,,24998941,,91,Usearch,Usearch:1,120,not-applicable,,false,,1,,,,,,,,0,
1,10,38,1,24103929,10,1,1,10,50,0,0,,31,6302,,,24072522,,100,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,11,24,1,24332852,10,1,1,10,50,0,0,,31,6302,,,24299392,,80,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,12,59,1,24309187,10,1,1,10,50,0,0,,31,6302,,,24277209,,120,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
1,13,54,1,24163228,10,1,1,10,50,0,0,,31,6302,,,24131671,,170,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,14,2,1,24580013,10,1,1,10,50,0,0,,31,6302,,,24547164,,90,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,15,34,1,23735916,10,1,1,10,50,0,0,,31,6302,,,23702997,,80,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,16,0,1,24227014,10,1,1,10,50,0,0,,31,6302,,,24194796,,90,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,17,50,1,23865190,10,1,1,10,50,0,0,,31,6302,,,23833954,,80,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,18,29,1,23476187,10,1,1,10,50,0,0,,31,6302,,,23443818,,20,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,19,13,1,23556698,10,1,1,10,50,0,0,,31,6302,,,23524098,,181,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
1,20,52,1,23739251,10,1,1,10,50,0,0,,31,6302,,,23706743,,100,Usearch,Usearch:1,170,not-applicable,,false,,1,,,,,,,,0,
1,21,55,1,23377879,10,1,1,10,50,0,0,,31,6302,,,23345750,,90,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
1,22,18,1,23634104,10,1,1,10,50,0,0,,31,6302,,,23599142,,180,Usearch,Usearch:1,231,not-applicable,,false,,1,,,,,,,,0,
1,23,31,1,23474164,10,1,1,10,50,0,0,,31,6302,,,23442577,,100,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,24,12,1,23412140,10,1,1,10,50,0,0,,31,6302,,,23379082,,170,Usearch,Usearch:1,110,not-applicable,,false,,1,,,,,,,,0,
1,25,7,1,23610449,10,1,1,10,50,0,0,,31,6302,,,23576938,,170,Usearch,Usearch:1,110,not-applicable,,false,,1,,,,,,,,0,
1,26,40,1,23797599,10,1,1,10,50,0,0,,31,6302,,,23764169,,170,Usearch,Usearch:1,171,not-applicable,,false,,1,,,,,,,,0,
1,27,35,1,23903868,10,1,1,10,50,0,0,,31,6302,,,23870388,,171,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,28,22,1,23632802,10,1,1,10,50,0,0,,31,6302,,,23600814,,170,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,29,27,1,24353263,10,1,1,10,50,0,0,,31,6302,,,24320904,,121,Usearch,Usearch:1,130,not-applicable,,false,,1,,,,,,,,0,
1,30,6,1,23307183,10,1,1,10,50,0,0,,31,6302,,,23275836,,251,Usearch,Usearch:1,240,not-applicable,,false,,1,,,,,,,,0,
1,31,57,1,23259201,10,1,1,10,50,0,0,,31,6302,,,23226292,,90,Usearch,Usearch:1,130,not-applicable,,false,,1,,,,,,,,0,
1,32,8,1,23894324,10,1,1,10,50,0,0,,31,6302,,,23862066,,230,Usearch,Usearch:1,130,not-applicable,,false,,1,,,,,,,,0,
1,33,42,1,25235096,10,1,1,10,50,0,0,,31,6302,,,25200414,,200,Usearch,Usearch:1,190,not-applicable,,false,,1,,,,,,,,0,
1,34,1,1,23620342,10,1,1,10,50,0,0,,31,6302,,,23586372,,270,Usearch,Usearch:1,60,not-applicable,,false,,1,,,,,,,,0,
1,35,61,1,23365821,10,1,1,10,50,0,0,,31,6302,,,23331810,,220,Usearch,Usearch:1,120,not-applicable,,false,,1,,,,,,,,0,
1,36,62,1,24013423,10,1,1,10,50,0,0,,31,6302,,,23980453,,191,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,37,11,1,23953613,10,1,1,10,50,0,0,,31,6302,,,23923167,,341,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
1,38,20,1,23788956,10,1,1,10,50,0,0,,31,6302,,,23755325,,181,Usearch,Usearch:1,160,not-applicable,,false,,1,,,,,,,,0,
1,39,45,1,24560173,10,1,1,10,50,0,0,,31,6302,,,24528806,,190,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
1,40,5,1,24054946,10,1,1,10,50,0,0,,31,6302,,,24023418,,180,Usearch,Usearch:1,90,not-applicable,,false,,1,,,,,,,,0,
1,41,46,1,23513223,10,1,1,10,50,0,0,,31,6302,,,23482055,,170,Usearch,Usearch:1,221,not-applicable,,false,,1,,,,,,,,0,
1,42,56,1,23852101,10,1,1,10,50,0,0,,31,6302,,,23817699,,191,Usearch,Usearch:1,120,not-applicable,,false,,1,,,,,,,,0,
1,43,41,1,24283928,10,1,1,10,50,0,0,,31,6302,,,24250329,,130,Usearch,Usearch:1,140,not-applicable,,false,,1,,,,,,,,0,
1,44,44,1,23867784,10,1,1,10,50,0,0,,31,6302,,,23836437,,200,Usearch,Usearch:1,120,not-applicable,,false,,1,,,,,,,,0,
1,45,58,1,23321304,10,1,1,10,50,0,0,,31,6302,,,23287033,,80,Usearch,Usearch:1,110,not-applicable,,false,,1,,,,,,,,0,
1,46,43,1,23881344,10,1,1,10,50,0,0,,31,6302,,,23849346,,170,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
1,47,51,1,23641755,10,1,1,10,50,0,0,,31,6302,,,23609247,,230,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,48,48,1,23962496,10,1,1,10,50,0,0,,31,6302,,,23930118,,250,Usearch,Usearch:1,70,not-applicable,,false,,1,,,,,,,,0,
1,49,9,1,23588996,10,1,1,10,50,0,0,,31,6302,,,23555385,,91,Usearch,Usearch:1,150,not-applicable,,false,,1,,,,,,,,0,
1,50,19,1,23478050,10,1,1,10,50,0,0,,31,6302,,,23447894,,90,Usearch,Usearch:1,61,not-applicable,,false,,1,,,,,,,,0,
1,51,60,1,24015816,10,1,1,10,50,0,0,,31,6302,,,23984530,,181,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,52,23,1,24284640,10,1,1,10,50,0,0,,31,6302,,,24252582,,90,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
1,53,39,1,23501154,10,1,1,10,50,0,0,,31,6302,,,23462576,,170,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,54,28,1,23111249,10,1,1,10,50,0,0,,31,6302,,,23080934,,80,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,55,33,1,23829678,10,1,1,10,50,0,0,,31,6302,,,23797489,,80,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,56,37,1,23218891,10,1,1,10,50,0,0,,31,6302,,,23186632,,90,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,57,47,1,23831580,10,1,1,10,50,0,0,,31,6302,,,23798611,,250,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
1,58,25,1,24527264,10,1,1,10,50,0,0,,31,6302,,,24496297,,120,Usearch,Usearch:1,60,not-applicable,,false,,1,,,,,,,,0,
1,59,63,1,23606282,10,1,1,10,50,0,0,,31,6302,,,23572781,,191,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,60,17,1,23837209,10,1,1,10,50,0,0,,31,6302,,,23804349,,330,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,61,53,1,23654905,10,1,1,10,50,0,0,,31,6302,,,23623328,,270,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,62,21,1,24273303,10,1,1,10,50,0,0,,31,6302,,,24241024,,170,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
1,63,49,1,23330328,10,1,1,10,50,0,0,,31,6302,,,23298240,,270,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
2,0,3,1,23508364,10,1,1,10,50,0,0,,31,6302,,,23475546,,280,Usearch,Usearch:1,120,not-applicable,,false,,1,,,,,,,,0,
2,1,5,1,24037149,10,1,1,10,50,0,0,,31,6302,,,24005811,,160,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
2,2,37,1,23552261,10,1,1,10,50,0,0,,31,6302,,,23519372,,190,Usearch,Usearch:1,31,not-applicable,,false,,1,,,,,,,,0,
2,3,7,1,23912571,10,1,1,10,50,0,0,,31,6302,,,23879382,,170,Usearch,Usearch:1,60,not-applicable,,false,,1,,,,,,,,0,
2,4,31,1,23641605,10,1,1,10,50,0,0,,31,6302,,,23609066,,21,Usearch,Usearch:1,111,not-applicable,,false,,1,,,,,,,,0,
2,5,45,1,23473253,10,1,1,10,50,0,0,,31,6302,,,23441274,,181,Usearch,Usearch:1,180,not-applicable,,false,,1,,,,,,,,0,
2,6,15,1,24422126,10,1,1,10,50,0,0,,31,6302,,,24388986,,90,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
2,7,12,1,24554735,10,1,1,10,50,0,0,,31,6302,,,24521035,,160,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
2,8,57,1,23437659,10,1,1,10,50,0,0,,31,6302,,,23403568,,200,Usearch,Usearch:1,200,not-applicable,,false,,1,,,,,,,,0,
2,9,25,1,23811760,10,1,1,10,50,0,0,,31,6302,,,23778841,,160,Usearch,Usearch:1,161,not-applicable,,false,,1,,,,,,,,0,
2,10,59,1,23488866,10,1,1,10,50,0,0,,31,6302,,,23455315,,180,Usearch,Usearch:1,110,not-applicable,,false,,1,,,,,,,,0,
2,11,19,1,24217499,10,1,1,10,50,0,0,,31,6302,,,24183898,,191,Usearch,Usearch:1,200,not-applicable,,false,,1,,,,,,,,0,
2,12,27,1,24275006,10,1,1,10,50,0,0,,31,6302,,,24241004,,181,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
2,13,17,1,24321655,10,1,1,10,50,0,0,,31,6302,,,24286212,,120,Usearch,Usearch:1,110,not-applicable,,false,,1,,,,,,,,0,
2,14,46,1,23989007,10,1,1,10,50,0,0,,31,6302,,,23955977,,90,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
2,15,40,1,24623659,10,1,1,10,50,0,0,,31,6302,,,24591140,,120,Usearch,Usearch:1,211,not-applicable,,false,,1,,,,,,,,0,
2,16,41,1,24674555,10,1,1,10,50,0,0,,31,6302,,,24640914,,160,Usearch,Usearch:1,441,not-applicable,,false,,1,,,,,,,,0,
2,17,4,1,24181114,10,1,1,10,50,0,0,,31,6302,,,24146022,,280,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
2,18,11,1,23518911,10,1,1,10,50,0,0,,31,6302,,,23486823,,90,Usearch,Usearch:1,180,not-applicable,,false,,1,,,,,,,,0,
2,19,23,1,24019883,10,1,1,10,50,0,0,,31,6302,,,23986983,,311,Usearch,Usearch:1,210,not-applicable,,false,,1,,,,,,,,0,
2,20,36,1,23695146,10,1,1,10,50,0,0,,31,6302,,,23661675,,110,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
2,21,44,1,23330889,10,1,1,10,50,0,0,,31,6302,,,23292912,,80,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
2,22,35,1,23774895,10,1,1,10,50,0,0,,31,6302,,,23742977,,90,Usearch,Usearch:1,150,not-applicable,,false,,1,,,,,,,,0,
2,23,39,1,23925211,10,1,1,10,50,0,0,,31,6302,,,23892181,,80,Usearch,Usearch:1,201,not-applicable,,false,,1,,,,,,,,0,
2,24,1,1,24443298,10,1,1,10,50,0,0,,31,6302,,,24409077,,90,Usearch,Usearch:1,30,not-applicable,,false,,1,,,,,,,,0,
2,25,2,1,24670308,10,1,1,10,50,0,0,,31,6302,,,24638341,,220,Usearch,Usearch:1,110,not-applicable,,false,,1,,,,,,,,0,
2,26,32,1,25057089,10,1,1,10,50,0,0,,31,6302,,,25025892,,80,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
2,27,60,1,23731900,10,1,1,10,50,0,0,,31,6302,,,23699411,,80,Usearch,Usearch:1,20,not-applicable,,false,,1,,,,,,,,0,
