split,query_index,ids
tuning,0,32465;6887;12192;5657;6025;10065;47455;46062;47644;47674
tuning,1,34971;36329;24333;1137;48969;32558;2489;36488;5905;32465
tuning,2,24333;1137;12192;41950;16761;36488;47674;6887;19174;43202
tuning,3,19174;24136;48969;23389;7911;47674;32465;41950;5905;2259
tuning,4,18366;41950;5657;15373;16449;2489;12794;47455;13989;7911
tuning,5,48969;18366;3983;2489;24333;47674;16449;24136;6019;47644
tuning,6,18366;39450;1137;29753;23389;6025;8791;3983;43202;20401
tuning,7,3983;32558;842;33554;9281;47674;13989;29753;20401;12794
tuning,8,16449;31414;6887;32558;4465;9281;12794;48969;6025;1007
tuning,9,36329;4465;47455;9281;3983;24507;2259;7911;34971;12794
tuning,10,16449;6887;23389;2489;43814;48969;5657;10065;23159;24333
tuning,11,1007;32558;23159;46062;8791;2489;6313;1137;842;20401
tuning,12,1137;24136;43202;36329;16761;47674;36488;13989;39450;18493
tuning,13,8791;16761;2259;47644;18366;41950;32465;2489;3983;23389
tuning,14,43814;24136;6025;4407;47455;16761;8791;32558;15373;34971
tuning,15,29753;39450;34971;47674;4465;36329;5905;2259;16761;47644
evaluation,0,48969;4407;1137;32558;4465;43814;7911;34971;16761;43202
evaluation,1,6019;1007;10065;20401;34971;18366;47644;31414;842;4465
evaluation,2,32558;6025;12192;43814;6313;19174;24136;1137;10065;31414
evaluation,3,24333;34971;33554;2489;24507;6025;36329;46062;12794;18366
evaluation,4,12794;13989;33554;6025;34971;5905;29753;4465;9281;32465
evaluation,5,1137;2259;24136;3983;31414;43814;29753;2489;20401;47644
evaluation,6,5657;48969;6025;31414;32558;33554;7911;5905;18493;47674
evaluation,7,32465;2259;31414;24333;4407;47644;15373;39450;24507;8791
evaluation,8,48969;2489;36329;32558;12192;1007;24136;24507;39450;6025
evaluation,9,7911;43202;1137;31414;6887;12794;19174;6313;4465;2259
evaluation,10,41950;24333;48969;2489;8791;36329;18366;5905;46062;19174
evaluation,11,6887;39450;24507;47674;1007;15373;46062;842;16449;32465
evaluation,12,3983;5905;2259;20401;4407;8791;2489;15373;9281;5657
evaluation,13,19174;6025;33554;23159;18366;46062;5657;18493;47455;1007
evaluation,14,5657;8791;47455;18366;36488;19174;47674;4407;46062;43202
evaluation,15,18493;6887;6025;34971;18366;15373;24333;19174;5657;4407
evaluation,16,1007;16761;6019;32465;39450;5657;1137;43814;842;12794
evaluation,17,6887;3983;34971;12794;47455;48969;6313;43202;16761;4407
evaluation,18,9281;7911;32465;4465;18366;8791;47455;43202;31414;36488
evaluation,19,47674;10065;13989;31414;41950;19174;34971;5905;18366;842
evaluation,20,6887;4465;47455;23389;12794;2259;15373;7911;24333;41950
evaluation,21,31414;36329;24136;15373;34971;1007;16449;20401;43202;43814
evaluation,22,2259;4407;6887;29753;24136;31414;43202;47644;36488;10065
evaluation,23,13989;7911;43814;16761;23159;16449;6313;10065;9281;23389
evaluation,24,48969;34971;23389;43814;47644;842;24507;39450;12794;16449
evaluation,25,33554;47674;31414;18493;29753;9281;12794;10065;39450;36329
evaluation,26,41950;6887;12192;9281;19174;842;2489;12794;36329;18366
evaluation,27,18366;24136;842;33554;6019;7911;47455;24507;2259;43202
evaluation,28,842;15373;31414;12794;1007;39450;13989;5905;47674;29753
evaluation,29,46062;47674;2489;6313;36329;12192;16761;39450;10065;20401
evaluation,30,32558;41950;12192;31414;10065;13989;47674;23159;5657;6019
evaluation,31,41950;43202;33554;47644;23159;48969;6313;5657;6887;10065
evaluation,32,36488;10065;20401;6019;32558;9281;3983;2259;6313;32465
evaluation,33,24507;2489;5657;32465;47674;2259;31414;5905;1007;6025
evaluation,34,2259;12794;2489;29753;3983;10065;12192;47674;18366;15373
evaluation,35,13989;1007;41950;3983;6887;12192;2489;23389;29753;6025
evaluation,36,24333;18366;36329;8791;4465;33554;48969;15373;4407;24136
evaluation,37,6025;12192;47455;4407;36488;10065;12794;2489;1007;43202
evaluation,38,9281;5657;18493;41950;12794;4465;34971;46062;16761;5905
evaluation,39,9281;6887;6025;10065;16449;13989;46062;19174;8791;15373
evaluation,40,43814;24136;6025;33554;18493;32558;12192;2489;1007;3983
evaluation,41,36488;32465;8791;7911;6887;6025;842;47455;1007;33554
evaluation,42,4407;1137;43202;39450;47644;6019;32558;24333;16449;6887
evaluation,43,36488;6019;23159;29753;5905;6887;39450;33554;41950;43202
evaluation,44,15373;4465;10065;29753;20401;5905;32558;6025;18493;47674
