split,query_index,ids
tuning,0,11636;902;8408;12702;18033;10512;10982;6359;21656;5555;14958;13526;22955;21933;6923;10194;18215;12758;29;865;23445;5721;1077;1950;14577;18125;21436;18489;6030;3602;709;19988;16411;4497;24172;24424;24786;7084;9257;23156;11490;3953;24027;15560;12277;22259;777;4603;1677;1757;19294;157;15693;20458;20252;16592;283;517;4437;2469;2463;10149;323;760
tuning,1,3501;24786;255;13873;4954;20252;955;657;8883;23369;1369;7913;24525;11969;19988;2897;4680;9758;5046;705;6823;1625;10549;13962;9945;6923;777;4027;14264;4787;22531;11670;17494;22426;4339;10194;18540;15489;9161;11297;1103;19179;23306;15766;10713;18489;3661;865;9650;18297;21174;22560;6359;20554;10053;6831;11979;17296;5555;14958;10982;22259;3837;21372
tuning,2,21108;22259;333;15898;19277;16337;21372;10265;377;275;20554;18489;1618;15560;4954;21436;255;10858;5166;1677;19204;12702;11490;405;6359;10053;12308;10148;1569;247;589;1103;20252;11146;13373;20728;2505;4437;7881;11582;165;17929;2599;11101;19164;4407;4027;2463;7549;5857;24189;14848;18338;157;16015;17882;24786;4950;12955;8793;11297;23940;235;3501
tuning,3,6931;16337;29;5989;10930;4131;22446;9650;1877;9683;2997;24761;4339;157;23940;18215;17725;20458;6923;14587;19994;7145;7511;14848;13962;3667;22426;21372;10858;4149;13526;3602;1569;1677;283;14264;9945;20142;21;6785;10053;657;1657;6823;241;21656;15438;16358;243;22560;11422;165;705;517;15489;323;16595;6359;15898;11979;11190;17494;1618;18594
tuning,4,19179;9758;275;8793;24761;21854;1581;902;323;9683;29;20691;157;1877;12702;467;11190;10053;1569;10713;5374;5857;2463;657;16411;517;1657;22052;18389;7913;16595;117;6359;5637;2997;865;23156;20554;14848;20182;18594;4149;16015;4373;19988;10194;23940;1625;19994;6030;12618;12525;10549;243;20202;13873;23154;1677;6830;1618;1477;11974;21656;255
tuning,5,7881;19204;6983;24786;6923;4373;1477;8710;1033;499;14958;11490;7549;323;777;6229;15766;9683;183;445;13763;19277;4497;18297;22955;21483;16358;23940;23156;1950;241;186;1657;20142;5637;29;16298;19988;12758;16595;12955;11146;17774;3602;16337;10149;247;10982;535;6831;4680;4027;2997;9418;11636;4149;7511;14848;902;275;12869;24172;19164;14587
tuning,6,3315;23265;17725;333;10930;157;10194;21372;20296;2266;18297;12308;499;1950;11670;12955;405;24172;14587;14958;10512;18540;16015;15560;5637;3602;6359;6831;1581;11636;15489;731;19204;10265;11297;15898;4954;11490;5857;29;4131;23156;12702;24189;18215;11969;21160;6823;7855;10053;657;14848;19994;235;705;22446;20182;15693;24786;1077;7084;16358;12525;10149
tuning,7,760;10194;4223;4603;16358;902;21436;1950;5721;1677;24172;18540;21372;21174;9650;2897;14958;24525;333;9683;5857;24786;23366;6189;20728;18297;15693;165;3953;2469;445;6983;17725;11422;157;1757;2266;19204;1033;7549;29;18033;4954;16337;14587;117;21854;6923;2599;1077;9257;241;3091;12308;6229;10512;15898;4950;20554;20691;16411;18215;12277;7855
tuning,8,7145;10549;23445;1757;20142;165;15898;6830;4407;9861;22259;23120;22531;12277;15766;11974;4541;8710;117;12758;12308;16411;760;5555;2599;13373;4373;18389;517;4950;445;3837;16592;3227;20554;11297;15489;6359;10194;16595;14958;21656;1477;11582;18858;3667;24424;2897;11190;9945;20296;2266;23118;4131;10053;21108;3091;9650;401;4497;20691;21854;16337;3602
tuning,9,23118;12955;2469;17725;3837;6830;6823;201;10053;1077;9161;7355;7913;23366;10549;9861;275;247;22052;955;235;9734;4603;9683;9758;24761;705;10148;24424;2463;157;18338;14264;22531;18215;499;18540;23120;14577;17882;3091;2266;760;21933;20182;20554;5637;4680;6931;467;20142;23369;4950;19277;7855;18858;131;8837;11146;24172;283;10930;3953;1950
tuning,10,9758;8883;760;23366;865;10148;4497;9861;9650;21933;4131;3227;20458;157;13873;23369;275;20728;165;377;5374;11582;1369;6923;13763;9257;4437;10549;24761;20182;9945;14264;10194;2997;657;16595;19179;3837;14587;3501;18338;20202;23306;1581;4950;11969;1877;12869;18540;4680;12525;5637;24525;11490;7855;535;11190;15489;257;14848;21656;1950;12308;9418
tuning,11,535;4373;10549;10149;15489;4954;1103;247;19294;3661;22560;5166;1033;4437;11670;16411;467;16015;20182;9734;705;8883;5687;10194;201;5046;241;6830;12618;23265;283;1225;3501;21265;5857;22052;6823;18858;401;7549;20202;117;17882;13373;22531;4407;1077;257;7145;21160;20252;16358;7881;16337;3837;8408;2463;11101;4149;3667;9462;20728;6359;15438
tuning,12,24027;401;19164;18125;24525;20458;20691;21160;12525;15693;9945;11297;12277;12869;4131;3667;9861;17296;23156;15560;1757;183;19277;2599;21174;255;13873;709;16337;22259;3661;5374;6830;21265;18489;21656;11974;9257;1369;3315;17882;8710;21436;1581;22052;7084;10549;11636;22955;5046;13962;2469;6229;23445;11670;10512;4223;7913;5166;5555;4787;23120;16015;5857
tuning,13,19294;2463;401;2469;499;6831;3667;3091;11974;20182;12869;1569;11297;16358;3725;8408;15560;18033;7527;23120;16595;20728;18215;11636;24525;11422;5374;18858;9650;24761;22560;257;4027;12702;17725;10512;4787;117;12277;22739;7855;17929;241;9734;23369;1581;6030;10194;11490;131;8793;11582;3953;15438;22052;10053;2266;19179;21160;15898;1625;14958;20296;9257
tuning,14,5857;11636;24027;23120;1077;22259;9861;10713;186;8408;1877;11422;2599;12955;29;8793;23154;9683;445;6983;16595;16298;3501;9161;21372;7855;18389;5637;20252;760;165;323;499;6831;20691;2897;4437;7913;283;8837;13373;11974;24424;4541;9257;243;24189;1477;2463;709;22531;777;23265;21436;24172;10265;19988;6030;3315;4603;405;22052;19994;16337
tuning,15,21160;12758;10265;12702;2463;7855;20728;13763;243;8837;6030;731;22259;22426;9684;2266;21854;10930;3227;29;10149;20458;20554;14848;183;11101;21436;10549;17494;11297;2469;18297;6923;18389;1950;4149;23265;16015;4131;5721;21174;19294;23445;16595;201;760;6831;22531;777;10148;1581;20691;12955;11670;4954;3661;1369;21265;4950;3315;165;21;4541;323
evaluation,0,7881;10930;247;12869;4950;4027;17725;1618;2266;12525;21265;1677;11670;20202;23306;8793;13873;14848;24172;18858;2599;3091;6830;18297;9861;535;405;17494;24786;9758;11490;275;8710;13763;4223;9161;23120;6229;12277;1757;16411;21108;186;15898;255;4603;7145;19294;7855;323;6823;12702;777;13373;11979;16015;21854;5989;9462;24761;5166;241;10194;4954
evaluation,1,1618;18489;183;10713;2897;535;9861;17296;275;333;19994;14958;7881;17929;19179;18594;17882;22739;9462;5637;709;19204;8883;20252;777;760;2997;24172;117;10982;4407;5687;2463;5857;6831;9684;3091;255;401;21933;15438;10265;7145;10512;16337;5374;1657;4339;1033;17774;13763;11490;1625;731;257;1225;7355;8793;3227;22259;23156;18540;7913;16298
evaluation,2,445;10930;323;731;21160;13962;13763;23118;4149;235;22052;17725;22531;902;18033;16411;255;10194;657;12955;13373;7355;467;19277;14848;4950;2469;10265;10149;23120;22955;18594;201;1369;705;24189;11636;11979;10053;20182;18489;4603;15693;15560;2997;10148;24424;4223;21933;14577;6359;4954;2463;9462;21656;16015;11190;1033;333;7855;955;23369;1677;1225
evaluation,3,21372;731;6923;11297;18033;24761;157;24189;7145;5857;15693;23369;9257;15898;19988;5721;24027;1657;1950;10148;323;4680;8883;1581;22446;17929;21265;1618;377;21174;5637;20458;16358;9758;9734;13526;11969;17296;6785;20252;9945;20296;8408;20202;535;11979;1477;17774;9684;16411;2266;5166;15489;23120;23940;6030;1369;11190;22739;333;3227;23265;3667;401
evaluation,4,5721;12525;1033;22426;6830;4680;3953;4131;283;705;9257;22739;23156;11490;1657;20202;2997;24786;9734;15693;9945;1103;4541;7549;18338;12618;10265;23366;5687;23118;13763;1569;7145;3725;17296;5374;16592;8710;24172;7913;18297;333;9683;1369;6823;3661;19277;1077;10149;17494;20691;445;3091;19204;23940;275;23369;257;16595;1618;186;405;18594;19994
evaluation,5,9684;5166;467;6189;1225;657;760;186;20691;4437;18338;21933;16411;21436;14264;10858;22259;3091;6830;23154;23265;18489;13373;3837;24172;902;9418;9650;24189;157;1677;15898;3953;6359;4680;20142;7084;323;7913;23156;18215;15693;18033;22531;377;24786;9683;1077;4339;255;4497;11979;7549;13763;14848;21;14587;18540;16015;4131;1625;2505;22052;2469
evaluation,6,1877;5374;117;15898;13526;1950;21854;731;11146;20142;19179;2599;4223;19988;235;445;183;8883;20728;2469;17296;18297;377;15438;247;6923;15693;401;255;4149;4437;3227;1657;12702;21265;323;11979;1225;18858;4787;22446;1369;23118;5857;4603;902;13763;1103;6830;16592;2505;18540;21656;21372;10713;4541;8710;12955;5166;22955;14848;21;10265;19277
evaluation,7,11297;21160;4223;3953;6931;16595;12525;865;16015;10713;18389;535;11190;10549;405;9683;5857;9257;3667;29;20691;235;11101;4131;2599;10265;7855;5687;3602;6030;7913;7549;12308;401;11670;19277;18297;21483;9650;9861;20142;241;2997;6831;18594;21372;1677;4339;19294;4541;22259;24424;5637;4950;15489;955;23154;22955;10148;10930;21108;705;13763;23940
