engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
faiss-flat,0,0,1339;1774;19;1241;125;4426;3478;3213;137;4880;1489;3933;3864;955;685;1257,16,255534,,10,1.0,1.0
faiss-flat,0,1,1627;4580;4333;3857;846;2301;17;37;4025;3105;31;3775;1167;762;2583;1096,16,218458,,10,1.0,1.0
faiss-flat,0,2,1121;3501;3520;2753;2113;3246;1076;41;4032;2898;3371;2389;3504;4704;919;185,16,261121,,10,1.0,1.0
faiss-flat,0,3,2171;4821;43;1112;1433;2294;4414;893;3881;1122;325;103;2998;1377;2757;67,16,237577,,10,1.0,1.0
faiss-flat,0,4,3202;2493;61;2337;624;1189;4390;2265;3033;3851;1397;2494;1391;4109;993;1906,16,258317,,10,1.0,1.0
faiss-flat,0,5,757;525;2640;3012;2151;1329;2382;2001;3779;263;821;4009;4369;207;3527;3392,16,236004,,10,1.0,1.0
faiss-flat,0,6,2398;143;445;659;1358;4992;95;119;35;3918;2471;2823;101;2792;4794;3451,16,261472,,10,1.0,1.0
faiss-flat,0,7,3326;1063;1689;3783;4452;1870;3797;2973;2548;2193;3273;619;1915;4591;2557;2420,16,212509,,10,1.0,1.0
faiss-flat,0,8,181;1841;1370;3115;4790;2344;4181;1838;2838;1570;4446;1992;4345;533;1829;3113,16,244777,,10,1.0,1.0
faiss-flat,0,9,4157;4742;2571;275;1701;4189;3989;803;3773;4711;2907;1721;3495;888;701;593,16,231127,,10,1.0,1.0
faiss-flat,0,10,3397;243;4724;4796;789;764;830;3321;63;2793;279;195;1907;353;1055;1445,16,242664,,10,1.0,1.0
faiss-flat,0,11,465;597;4984;2413;1319;813;2478;2215;1226;1694;97;761;470;3760;1505;1234,16,219189,,10,1.0,1.0
faiss-flat,0,12,957;2579;225;2269;1665;997;147;2262;3077;4128;4642;3525;1448;1223;405;2051,16,244217,,10,1.0,1.0
faiss-flat,0,13,897;2917;4929;4214;401;824;317;875;2045;622;2618;329;1263;929;1636;253,16,228102,,10,1.0,1.0
faiss-flat,0,14,546;82;1825;2627;331;879;2609;335;1634;2861;1402;2018;1885;3774;1161;3980,16,241973,,10,1.0,1.0
faiss-flat,0,15,2401;857;874;257;3680;862;2309;1277;4201;2979;2353;1547;251;3354;1353;361,16,209654,,10,1.0,1.0
faiss-flat,0,16,382;915;2453;261;4932;3573;3396;4316;1737;4728;21;3258;561;4565;1832;1185,16,220171,,10,1.0,1.0
faiss-flat,0,17,2526;1790;1474;293;2801;1217;4719;663;265;1097;4250;3676;529;2362;3781;3320,16,208943,,10,1.0,1.0
faiss-flat,0,18,2084;3159;3709;3627;3;3314;4052;1367;4063;949;417;2938;2200;4634;1810;833,16,225528,,10,1.0,1.0
faiss-flat,0,19,1713;2574;45;2723;3089;403;4571;945;1670;1657;3190;1389;1042;3329;283;3182,16,228262,,10,1.0,1.0
faiss-flat,0,20,4714;2582;2111;2613;370;781;3698;3164;2621;4626;4247;1045;3994;351;3518;3069,16,245558,,10,1.0,1.0
faiss-flat,0,21,2556;4512;2727;998;2224;487;2509;629;1141;3506;3021;1346;2962;4374;497;1470,16,229915,,10,1.0,1.0
faiss-flat,0,22,1702;3816;1198;144;359;3642;81;3475;3324;3866;4859;3832;3893;1663;221;563,16,252419,,10,1.0,1.0
faiss-flat,0,23,2414;1525;3541;2152;765;391;4391;501;199;605;2842;2315;3724;1878;702;511,16,229615,,10,1.0,1.0
faiss-flat,0,24,1082;4165;1387;2123;319;3141;1609;887;585;889;2295;883;2473;3266;995;4427,16,244658,,10,1.0,1.0
faiss-flat,0,25,1684;4404;1417;443;871;4447;4132;499;1211;1265;25;4413;415;1763;1310;463,16,234081,,10,1.0,1.0
faiss-flat,0,26,626;1731;4320;4024;14;1965;3045;1859;4641;4937;4469;457;658;747;411;2480,16,231477,,10,1.0,1.0
faiss-flat,0,27,1497;1194;4552;3204;941;1205;1585;4572;506;2465;4393;1061;1127;1531;547;479,16,228653,,10,1.0,1.0
faiss-flat,0,28,42;2221;4313;1362;1177;1318;4712;1229;430;3134;113;4666;4045;2235;4953;1029,16,253671,,10,1.0,1.0
faiss-flat,0,29,818;330;901;2937;3317;541;510;3598;346;1637;3065;1047;3988;4263;1401;639,16,230636,,10,1.0,1.0
faiss-flat,0,30,2145;2093;4492;4379;320;454;1802;543;503;2514;141;4844;2622;3121;474;498,16,232219,,10,1.0,1.0
faiss-flat,0,31,4557;513;4563;863;2068;4882;2642;4921;4638;1974;4251;521;202;2630;307;2897,16,209824,,10,1.0,1.0
faiss-flat,0,32,3924;2795;4419;2074;2482;641;3307;523;2325;1034;1409;3457;4584;545;4781;731,16,225368,,10,1.0,1.0
faiss-flat,0,33,4483;977;3355;2034;3637;705;2711;759;3997;4631;4072;2706;1180;3746;3083;4166,16,234672,,10,1.0,1.0
faiss-flat,0,34,601;4544;1922;3342;3582;4041;1095;3275;369;1275;249;2952;3432;3092;4198;3011,16,245248,,10,1.0,1.0
faiss-flat,0,35,3752;4618;211;1365;1123;3745;4341;1313;4739;1107;1995;675;167;4697;2365;1366,16,234352,,10,1.0,1.0
faiss-flat,0,36,1431;1765;158;1951;427;3212;1797;1023;4679;3220;3318;610;4264;873;237;743,16,251046,,10,1.0,1.0
faiss-flat,0,37,4610;1533;191;2131;1746;1717;3289;1511;3458;2703;254;2423;2087;2333;749;1833,16,228563,,10,1.0,1.0
faiss-flat,0,38,4311;4107;2615;3502;4387;647;1919;3312;3636;58;4969;1393;3129;3982;603;1993,16,225709,,10,1.0,1.0
faiss-flat,0,39,1626;909;2242;1683;4640;3306;2124;643;4968;665;421;4474;1617;1618;2610;711,16,224607,,10,1.0,1.0
faiss-flat,0,40,4493;721;681;2779;571;2525;3351;699;1098;2258;1135;1011;1209;1686;1715;2483,16,243526,,10,1.0,1.0
faiss-flat,0,41,73;272;3687;923;4237;2281;825;3445;2240;1581;469;1949;2980;2443;817;2109,16,228503,,10,1.0,1.0
faiss-flat,0,42,1495;4853;1237;987;686;2649;3210;725;245;739;274;1730;4700;2865;1794;2438,16,253230,,10,1.0,1.0
faiss-flat,0,43,1394;4253;4896;1091;1994;697;4370;3691;3614;2542;4234;1176;807;1260;287;799,16,236174,,10,1.0,1.0
faiss-flat,0,44,1113;775;1071;1419;2316;2809;437;921;1129;3854;722;4745;1077;2445;2213;3878,16,254391,,10,1.0,1.0
faiss-flat,0,45,4266;1629;1938;4468;2929;1954;1165;4568;4574;1179;653;2532;4496;478;983;2729,16,231668,,10,1.0,1.0
faiss-flat,0,46,569;4129;773;1691;301;4288;1048;3730;3238;1579;4689;1553;4120;1203;1910;1119,16,245308,,10,1.0,1.0
faiss-flat,0,47,3998;971;1801;2330;4326;4530;1142;1597;3002;3242;226;2707;4035;2857;3297;1375,16,234351,,10,1.0,1.0
faiss-flat,0,48,1800;2893;93;2383;1371;2561;1611;2997;703;2872;4317;4458;2132;1003;2515;2899,16,242023,,10,1.0,1.0
faiss-flat,0,49,2319;4803;1491;4561;715;3809;1438;1687;4502;1641;667;4346;1186;726;246;2464,16,225639,,10,1.0,1.0
faiss-flat,0,50,1347;2222;1546;3379;1653;1551;4912;4037;165;1619;3521;2505;1897;698;4850;2677,16,247612,,10,1.0,1.0
faiss-flat,0,51,1155;881;171;4760;4616;616;1893;1874;1475;4710;2541;1894;1817;2250;289;895,16,231567,,10,1.0,1.0
faiss-flat,0,52,2658;2767;3826;1085;2683;989;2761;3484;2345;1873;2244;688;1667;913;4001;999,16,248002,,10,1.0,1.0
faiss-flat,0,53,4509;3256;169;4649;1081;3406;4902;907;1741;2189;1414;1243;906;1133;693;3563,16,236375,,10,1.0,1.0
faiss-flat,0,54,2636;1291;327;1787;2211;1051;432;4553;313;2606;850;961;341;1997;3566;1911,16,245298,,10,1.0,1.0
faiss-flat,0,55,1193;3310;3726;1467;1879;1101;2212;1837;4809;1173;607;4807;2466;4582;3707;2669,16,229504,,10,1.0,1.0
faiss-flat,0,56,3580;3654;2915;1777;3417;536;845;4354;962;618;471;3079;1013;4678;2954;3550,16,248453,,10,1.0,1.0
faiss-flat,0,57,853;1923;3456;2559;4539;3496;1145;1924;1862;1527;917;1830;1230;1041;1044;1348,16,229114,,10,1.0,1.0
faiss-flat,0,58,2605;1698;4874;4248;1545;3942;2083;348;459;606;1685;3181;1449;814;1865;4818,16,254632,,10,1.0,1.0
faiss-flat,0,59,4385;2851;1541;288;2094;2566;4112;2023;1351;3014;1137;3101;4958;4659;4588;973,16,243685,,10,1.0,1.0
faiss-flat,0,60,49;4551;4875;2234;1514;4500;77;3365;71;1163;2628;2537;4676;1207;1239;1007,16,248813,,10,1.0,1.0
faiss-flat,0,61,4692;2921;4381;2802;115;2981;2617;4936;2520;4319;217;1482;2558;1323;135;1905,16,229825,,10,1.0,1.0
faiss-flat,0,62,4202;1398;151;4116;3328;3414;2021;1899;1289;2920;1015;4872;1017;4819;475;1295,16,242735,,10,1.0,1.0
faiss-flat,0,63,933;1575;2918;2673;1947;1266;1457;1151;2697;2149;1646;1374;4382;2555;4866;1031,16,229204,,10,1.0,1.0
faiss-flat,0,64,4334;4804;2989;1192;3617;1103;4598;1183;1944;238;1361;3388;2590;10;3130;1219,16,242925,,10,1.0,1.0
faiss-flat,0,65,963;232;3888;3472;4164;2017;627;1187;3018;3330;1526;4923;4329;2633;4577;4526,16,229274,,10,1.0,1.0
faiss-flat,0,66,179;3422;3883;1812;2995;3373;2681;2916;1479;3122;2496;3261;3175;1963;3872;1645,16,249264,,10,1.0,1.0
faiss-flat,0,67,1443;718;4199;2506;4062;4243;323;1466;433;466;631;3672;4026;512;2426;2710,16,233521,,10,1.0,1.0
faiss-flat,0,68,1309;4306;3714;2101;3758;2207;3287;2198;4621;494;2951;8;2554;2966;567;1231,16,242844,,10,1.0,1.0
faiss-flat,0,69,553;4585;3352;776;829;1153;4416;3586;4594;3545;2662;1453;1432;3983;502;3274,16,237206,,10,1.0,1.0
faiss-flat,0,70,3386;4542;2417;1699;1961;4956;273;1839;4018;4169;1590;1072;3810;1999;2688;1455,16,249515,,10,1.0,1.0
faiss-flat,0,71,4994;4854;1430;3516;493;1152;4397;2031;3595;1221;2643;2121;4578;1869;3173;4150,16,231988,,10,1.0,1.0
faiss-flat,0,72,3008;3638;1502;2307;201;1175;3666;1395;4873;2256;1225;3813;4430;4431;193;4665,16,335814,,10,1.0,1.0
faiss-flat,0,73,2737;1325;2219;4048;278;4152;4767;3040;3174;4754;891;3235;153;3896;4949;1279,16,264196,,10,1.0,1.0
faiss-flat,0,74,4898;3731;242;4267;1210;4347;1381;1399;1099;3007;1622;1201;1305;1469;617;1278,16,333411,,10,1.0,1.0
faiss-flat,0,75,679;1333;2644;2925;1723;322;3659;1471;1761;640;717;2635;2373;4178;4238;1247,16,279580,,10,1.0,1.0
faiss-flat,0,76,134;3953;490;3986;531;2081;4187;4847;1281;1725;4723;1979;3290;2576;1696;1343,16,271898,,10,1.0,1.0
