stage	cell	engine	status	exit_code
deep	d1-r5000-d384-b8-k10-f01	current-cpu	completed	0
deep	d1-r5000-d384-b8-k10-f01	current-gpu	completed	0
deep	d1-r5000-d384-b8-k10-f01	numpy	completed	0
deep	d1-r5000-d384-b8-k10-f01	faiss-flat	completed	0
deep	d1-r5000-d384-b8-k10-f01	torch-cpu	completed	0
deep	d1-r5000-d384-b8-k10-f01	torch-cuda	completed	0
deep	d1-r5000-d384-b8-k10-f01	chroma-ef512	completed	0
deep	d1-r5000-d384-b8-k10-f01	usearch	completed	0
deep	d1-r5000-d384-b8-k10-f01	baseline-cpu	completed	0
deep	d1-r5000-d384-b8-k10-f01	baseline-gpu	completed	0
deep	d2-r25000-d384-b64-k10-f1	current-cpu	completed	0
deep	d2-r25000-d384-b64-k10-f1	current-gpu	completed	0
deep	d2-r25000-d384-b64-k10-f1	numpy	completed	0
deep	d2-r25000-d384-b64-k10-f1	faiss-flat	completed	0
deep	d2-r25000-d384-b64-k10-f1	torch-cpu	completed	0
deep	d2-r25000-d384-b64-k10-f1	torch-cuda	completed	0
deep	d2-r25000-d384-b64-k10-f1	chroma-ef512	failed	1
deep	d2-r25000-d384-b64-k10-f1	usearch	completed	0
deep	d3-r50000-d384-b1-k10-compound	current-cpu	completed	0
deep	d3-r50000-d384-b1-k10-compound	current-gpu	completed	0
deep	d3-r50000-d384-b1-k10-compound	numpy	completed	0
deep	d3-r50000-d384-b1-k10-compound	faiss-flat	completed	0
deep	d3-r50000-d384-b1-k10-compound	torch-cpu	completed	0
deep	d3-r50000-d384-b1-k10-compound	torch-cuda	completed	0
deep	d3-r50000-d384-b1-k10-compound	chroma-ef512	completed	0
deep	d3-r50000-d384-b1-k10-compound	usearch	completed	0
deep	d3-r50000-d384-b1-k10-compound	baseline-cpu	completed	0
deep	d3-r50000-d384-b1-k10-compound	baseline-gpu	completed	0
deep	d4-r100000-d768-b1-k1-f1	current-cpu	failed	1
deep	d5-r100000-d768-b8-k64-f01	current-cpu	failed	1
deep	d6-r25000-d768-b64-k64-f001	current-cpu	completed	0
deep	d6-r25000-d768-b64-k64-f001	current-gpu	completed	0
deep	d6-r25000-d768-b64-k64-f001	numpy	completed	0
deep	d6-r25000-d768-b64-k64-f001	faiss-flat	completed	0
deep	d6-r25000-d768-b64-k64-f001	torch-cpu	completed	0
deep	d6-r25000-d768-b64-k64-f001	torch-cuda	completed	0
deep	real-r100000-d384-b16-k10-f001	current-cpu	completed	0
deep	real-r100000-d384-b16-k10-f001	current-gpu	completed	0
deep	real-r100000-d384-b16-k10-f001	numpy	completed	0
deep	real-r100000-d384-b16-k10-f001	faiss-flat	completed	0
deep	real-r100000-d384-b16-k10-f001	torch-cpu	completed	0
deep	real-r100000-d384-b16-k10-f001	torch-cuda	completed	0
deep	real-r100000-d384-b16-k10-f001	chroma-ef512	completed	0
deep	real-r100000-d384-b16-k10-f001	usearch	completed	0
