engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
faiss-flat,0,0,13,1,14259056,,1,1.0,
faiss-flat,0,1,11,1,14360568,,1,1.0,
faiss-flat,0,2,19,1,14362271,,1,1.0,
faiss-flat,0,3,46,1,14426757,,1,1.0,
faiss-flat,0,4,37,1,14370162,,1,1.0,
faiss-flat,0,5,27,1,14376502,,1,1.0,
faiss-flat,0,6,7,1,14362552,,1,1.0,
faiss-flat,0,7,15,1,14155290,,1,1.0,
faiss-flat,0,8,41,1,15015841,,1,1.0,
faiss-flat,0,9,50,1,14631124,,1,1.0,
faiss-flat,0,10,24,1,15067399,,1,1.0,
faiss-flat,0,11,8,1,14089282,,1,1.0,
faiss-flat,0,12,17,1,16285556,,1,1.0,
faiss-flat,0,13,23,1,14748761,,1,1.0,
faiss-flat,0,14,60,1,15248621,,1,1.0,
faiss-flat,0,15,49,1,15457924,,1,1.0,
faiss-flat,0,16,22,1,14866658,,1,1.0,
faiss-flat,0,17,25,1,14952066,,1,1.0,
faiss-flat,0,18,3,1,14457364,,1,1.0,
faiss-flat,0,19,16,1,14494469,,1,1.0,
faiss-flat,0,20,34,1,14531785,,1,1.0,
faiss-flat,0,21,31,1,14497343,,1,1.0,
faiss-flat,0,22,9,1,14574399,,1,1.0,
faiss-flat,0,23,12,1,14431875,,1,1.0,
faiss-flat,0,24,14,1,14619878,,1,1.0,
faiss-flat,0,25,2,1,14716893,,1,1.0,
faiss-flat,0,26,29,1,14675050,,1,1.0,
faiss-flat,0,27,30,1,14633829,,1,1.0,
faiss-flat,0,28,33,1,14445545,,1,1.0,
faiss-flat,0,29,53,1,14601090,,1,1.0,
faiss-flat,0,30,44,1,14560999,,1,1.0,
faiss-flat,0,31,35,1,14905717,,1,1.0,
faiss-flat,0,32,43,1,15205266,,1,1.0,
faiss-flat,0,33,55,1,14688310,,1,1.0,
faiss-flat,0,34,21,1,14416152,,1,1.0,
faiss-flat,0,35,39,1,14439938,,1,1.0,
faiss-flat,0,36,1,1,14268820,,1,1.0,
faiss-flat,0,37,56,1,14262942,,1,1.0,
faiss-flat,0,38,32,1,14340568,,1,1.0,
faiss-flat,0,39,45,1,14549212,,1,1.0,
faiss-flat,0,40,54,1,14695811,,1,1.0,
faiss-flat,0,41,18,1,14535250,,1,1.0,
faiss-flat,0,42,10,1,15079006,,1,1.0,
faiss-flat,0,43,51,1,14910845,,1,1.0,
faiss-flat,0,44,0,1,14551014,,1,1.0,
faiss-flat,0,45,47,1,14739697,,1,1.0,
faiss-flat,0,46,5,1,14937464,,1,1.0,
faiss-flat,0,47,63,1,14761320,,1,1.0,
faiss-flat,0,48,38,1,14725286,,1,1.0,
faiss-flat,0,49,48,1,14956673,,1,1.0,
faiss-flat,0,50,52,1,14756352,,1,1.0,
faiss-flat,0,51,20,1,14683243,,1,1.0,
