engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
torch-cpu,0,0,13,1,18726549,,1,1.0,
torch-cpu,0,1,11,1,18519039,,1,1.0,
torch-cpu,0,2,19,1,18511506,,1,1.0,
torch-cpu,0,3,46,1,18252448,,1,1.0,
torch-cpu,0,4,37,1,17772067,,1,1.0,
torch-cpu,0,5,27,1,18019419,,1,1.0,
torch-cpu,0,6,7,1,18209894,,1,1.0,
torch-cpu,0,7,15,1,18398697,,1,1.0,
torch-cpu,0,8,41,1,18046238,,1,1.0,
torch-cpu,0,9,50,1,18531857,,1,1.0,
torch-cpu,0,10,24,1,18380691,,1,1.0,
torch-cpu,0,11,8,1,18216705,,1,1.0,
torch-cpu,0,12,17,1,18452699,,1,1.0,
torch-cpu,0,13,23,1,18006659,,1,1.0,
torch-cpu,0,14,60,1,17979999,,1,1.0,
torch-cpu,0,15,49,1,18286580,,1,1.0,
torch-cpu,0,16,22,1,18335703,,1,1.0,
torch-cpu,0,17,25,1,17775472,,1,1.0,
torch-cpu,0,18,3,1,18349654,,1,1.0,
torch-cpu,0,19,16,1,18060049,,1,1.0,
torch-cpu,0,20,34,1,17994992,,1,1.0,
torch-cpu,0,21,31,1,18550966,,1,1.0,
torch-cpu,0,22,9,1,18506039,,1,1.0,
torch-cpu,0,23,12,1,18293029,,1,1.0,
torch-cpu,0,24,14,1,18358938,,1,1.0,
torch-cpu,0,25,2,1,18359338,,1,1.0,
torch-cpu,0,26,29,1,18296794,,1,1.0,
torch-cpu,0,27,30,1,18324106,,1,1.0,
torch-cpu,0,28,33,1,18494101,,1,1.0,
torch-cpu,0,29,53,1,18229994,,1,1.0,
torch-cpu,0,30,44,1,18352217,,1,1.0,
torch-cpu,0,31,35,1,18401301,,1,1.0,
torch-cpu,0,32,43,1,18626149,,1,1.0,
torch-cpu,0,33,55,1,18679980,,1,1.0,
torch-cpu,0,34,21,1,18480490,,1,1.0,
torch-cpu,0,35,39,1,18446429,,1,1.0,
torch-cpu,0,36,1,1,18610846,,1,1.0,
torch-cpu,0,37,56,1,18271727,,1,1.0,
torch-cpu,0,38,32,1,18175332,,1,1.0,
torch-cpu,0,39,45,1,18395943,,1,1.0,
torch-cpu,0,40,54,1,18101622,,1,1.0,
torch-cpu,0,41,18,1,17862082,,1,1.0,
torch-cpu,0,42,10,1,18272558,,1,1.0,
torch-cpu,0,43,51,1,18134641,,1,1.0,
torch-cpu,0,44,0,1,17996264,,1,1.0,
torch-cpu,0,45,47,1,18454391,,1,1.0,
torch-cpu,0,46,5,1,18520821,,1,1.0,
torch-cpu,0,47,63,1,18326579,,1,1.0,
torch-cpu,0,48,38,1,18267311,,1,1.0,
torch-cpu,0,49,48,1,18331557,,1,1.0,
torch-cpu,0,50,52,1,18273951,,1,1.0,
torch-cpu,0,51,20,1,18252568,,1,1.0,
torch-cpu,0,52,58,1,18186549,,1,1.0,
torch-cpu,0,53,61,1,17965288,,1,1.0,
torch-cpu,0,54,6,1,18455653,,1,1.0,
torch-cpu,0,55,59,1,18562544,,1,1.0,
torch-cpu,0,56,57,1,18381862,,1,1.0,
torch-cpu,0,57,62,1,19713581,,1,1.0,
torch-cpu,0,58,40,1,18694852,,1,1.0,
torch-cpu,0,59,28,1,18748623,,1,1.0,
torch-cpu,0,60,42,1,18146068,,1,1.0,
torch-cpu,0,61,26,1,18313410,,1,1.0,
torch-cpu,0,62,36,1,18182263,,1,1.0,
torch-cpu,0,63,4,1,17885838,,1,1.0,
torch-cpu,1,0,16,1,18502233,,1,1.0,
torch-cpu,1,1,14,1,18527250,,1,1.0,
torch-cpu,1,2,4,1,18005518,,1,1.0,
torch-cpu,1,3,36,1,18376404,,1,1.0,
torch-cpu,1,4,26,1,18363986,,1,1.0,
torch-cpu,1,5,30,1,18481152,,1,1.0,
torch-cpu,1,6,3,1,18612097,,1,1.0,
torch-cpu,1,7,32,1,18528352,,1,1.0,
torch-cpu,1,8,15,1,18208061,,1,1.0,
torch-cpu,1,9,10,1,17956834,,1,1.0,
torch-cpu,1,10,38,1,18315973,,1,1.0,
torch-cpu,1,11,24,1,18216945,,1,1.0,
torch-cpu,1,12,59,1,17984355,,1,1.0,
torch-cpu,1,13,54,1,18454682,,1,1.0,
torch-cpu,1,14,2,1,18273049,,1,1.0,
torch-cpu,1,15,34,1,18344556,,1,1.0,
torch-cpu,1,16,0,1,17946329,,1,1.0,
torch-cpu,1,17,50,1,18111917,,1,1.0,
torch-cpu,1,18,29,1,18316995,,1,1.0,
torch-cpu,1,19,13,1,18197125,,1,1.0,
torch-cpu,1,20,52,1,18543645,,1,1.0,
torch-cpu,1,21,55,1,18220009,,1,1.0,
torch-cpu,1,22,18,1,18458398,,1,1.0,
torch-cpu,1,23,31,1,18266108,,1,1.0,
