engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
torch-cuda,0,0,13,1,644147,600799,1,1.0,
torch-cuda,0,1,11,1,662214,615072,1,1.0,
torch-cuda,0,2,19,1,663656,616159,1,1.0,
torch-cuda,0,3,46,1,696826,645887,1,1.0,
torch-cuda,0,4,37,1,663966,609567,1,1.0,
torch-cuda,0,5,27,1,659059,612864,1,1.0,
torch-cuda,0,6,7,1,657076,610495,1,1.0,
torch-cuda,0,7,15,1,655494,609311,1,1.0,
torch-cuda,0,8,41,1,654452,608192,1,1.0,
torch-cuda,0,9,50,1,654783,608319,1,1.0,
torch-cuda,0,10,24,1,648143,602176,1,1.0,
torch-cuda,0,11,8,1,652429,606464,1,1.0,
torch-cuda,0,12,17,1,654422,608864,1,1.0,
torch-cuda,0,13,23,1,654572,609184,1,1.0,
torch-cuda,0,14,60,1,652970,607456,1,1.0,
torch-cuda,0,15,49,1,653600,608511,1,1.0,
torch-cuda,0,16,22,1,658798,612608,1,1.0,
torch-cuda,0,17,25,1,665138,613600,1,1.0,
torch-cuda,0,18,3,1,657657,611231,1,1.0,
torch-cuda,0,19,16,1,652870,606944,1,1.0,
torch-cuda,0,20,34,1,655844,609632,1,1.0,
torch-cuda,0,21,31,1,646681,601248,1,1.0,
torch-cuda,0,22,9,1,659550,614144,1,1.0,
torch-cuda,0,23,12,1,646681,601504,1,1.0,
torch-cuda,0,24,14,1,654673,607904,1,1.0,
torch-cuda,0,25,2,1,644818,599071,1,1.0,
torch-cuda,0,26,29,1,646820,601408,1,1.0,
torch-cuda,0,27,30,1,648232,603583,1,1.0,
torch-cuda,0,28,33,1,670757,624095,1,1.0,
torch-cuda,0,29,53,1,654422,607519,1,1.0,
torch-cuda,0,30,44,1,658508,612160,1,1.0,
torch-cuda,0,31,35,1,656135,609344,1,1.0,
torch-cuda,0,32,43,1,648553,602880,1,1.0,
torch-cuda,0,33,55,1,663405,617600,1,1.0,
torch-cuda,0,34,21,1,648874,602688,1,1.0,
torch-cuda,0,35,39,1,646941,601440,1,1.0,
torch-cuda,0,36,1,1,651057,603775,1,1.0,
torch-cuda,0,37,56,1,648563,603071,1,1.0,
torch-cuda,0,38,32,1,655614,609791,1,1.0,
torch-cuda,0,39,45,1,649415,603936,1,1.0,
torch-cuda,0,40,54,1,655574,610176,1,1.0,
torch-cuda,0,41,18,1,651617,606144,1,1.0,
torch-cuda,0,42,10,1,653871,603232,1,1.0,
torch-cuda,0,43,51,1,664106,603807,1,1.0,
torch-cuda,0,44,0,1,656886,611136,1,1.0,
torch-cuda,0,45,47,1,648563,603168,1,1.0,
torch-cuda,0,46,5,1,674992,625536,1,1.0,
torch-cuda,0,47,63,1,668533,611199,1,1.0,
torch-cuda,0,48,38,1,653471,607104,1,1.0,
torch-cuda,0,49,48,1,660922,614560,1,1.0,
torch-cuda,0,50,52,1,653090,607231,1,1.0,
torch-cuda,0,51,20,1,656094,610783,1,1.0,
torch-cuda,0,52,58,1,647782,602176,1,1.0,
torch-cuda,0,53,61,1,649144,604031,1,1.0,
torch-cuda,0,54,6,1,650136,604607,1,1.0,
torch-cuda,0,55,59,1,650296,604224,1,1.0,
torch-cuda,0,56,57,1,651718,605696,1,1.0,
torch-cuda,0,57,62,1,648673,603136,1,1.0,
torch-cuda,0,58,40,1,662605,617536,1,1.0,
torch-cuda,0,59,28,1,651598,606047,1,1.0,
torch-cuda,0,60,42,1,648784,602976,1,1.0,
torch-cuda,0,61,26,1,653271,607360,1,1.0,
torch-cuda,0,62,36,1,675123,624831,1,1.0,
torch-cuda,0,63,4,1,654422,608448,1,1.0,
torch-cuda,1,0,16,1,668934,622207,1,1.0,
torch-cuda,1,1,14,1,658919,605343,1,1.0,
torch-cuda,1,2,4,1,653751,607263,1,1.0,
torch-cuda,1,3,36,1,652389,607519,1,1.0,
torch-cuda,1,4,26,1,646890,601472,1,1.0,
torch-cuda,1,5,30,1,658268,612576,1,1.0,
torch-cuda,1,6,3,1,649434,603872,1,1.0,
torch-cuda,1,7,32,1,646741,602015,1,1.0,
torch-cuda,1,8,15,1,655924,604192,1,1.0,
torch-cuda,1,9,10,1,657536,611519,1,1.0,
torch-cuda,1,10,38,1,663836,617887,1,1.0,
torch-cuda,1,11,24,1,651397,605376,1,1.0,
torch-cuda,1,12,59,1,660611,614336,1,1.0,
torch-cuda,1,13,54,1,653010,606848,1,1.0,
torch-cuda,1,14,2,1,650686,605408,1,1.0,
torch-cuda,1,15,34,1,647021,601152,1,1.0,
torch-cuda,1,16,0,1,647551,602079,1,1.0,
torch-cuda,1,17,50,1,657607,612096,1,1.0,
torch-cuda,1,18,29,1,644777,599583,1,1.0,
torch-cuda,1,19,13,1,652709,608223,1,1.0,
torch-cuda,1,20,52,1,652239,606559,1,1.0,
torch-cuda,1,21,55,1,649124,605279,1,1.0,
torch-cuda,1,22,18,1,653811,608384,1,1.0,
torch-cuda,1,23,31,1,680531,621504,1,1.0,
torch-cuda,1,24,12,1,655133,607583,1,1.0,
torch-cuda,1,25,7,1,649535,604255,1,1.0,
torch-cuda,1,26,40,1,664437,618175,1,1.0,
torch-cuda,1,27,35,1,656245,610592,1,1.0,
torch-cuda,1,28,22,1,653841,602688,1,1.0,
torch-cuda,1,29,27,1,649294,603519,1,1.0,
torch-cuda,1,30,6,1,647682,602400,1,1.0,
torch-cuda,1,31,57,1,648162,602208,1,1.0,
torch-cuda,1,32,8,1,651117,604287,1,1.0,
torch-cuda,1,33,42,1,660641,614592,1,1.0,
torch-cuda,1,34,1,1,652699,606527,1,1.0,
torch-cuda,1,35,61,1,661463,615136,1,1.0,
