run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15,8,26623218,64,1,,512,10000,0,0,,250,1115629,,,3322225,,,Cpu,Cpu:8,1600,Avx2Fma,,false,,1,,,,,,,,0,
0,1,41;50;24;8;17;23;60;49,8,27361556,64,1,,512,10000,0,0,,250,1115629,,,3330687,,,Cpu,Cpu:8,240,Avx2Fma,,false,,1,,,,,,,,0,
0,2,22;25;3;16;34;31;9;12,8,27300175,64,1,,512,10000,0,0,,250,1115629,,,3486812,,,Cpu,Cpu:8,1048,Avx2Fma,,false,,1,,,,,,,,0,
0,3,14;2;29;30;33;53;44;35,8,26987095,64,1,,512,10000,0,0,,250,1115629,,,3369826,,,Cpu,Cpu:8,568,Avx2Fma,,false,,1,,,,,,,,0,
0,4,43;55;21;39;1;56;32;45,8,26975036,64,1,,512,10000,0,0,,250,1115629,,,3359641,,,Cpu,Cpu:8,800,Avx2Fma,,false,,1,,,,,,,,0,
0,5,54;18;10;51;0;47;5;63,8,27379604,64,1,,512,10000,0,0,,250,1115629,,,3413082,,,Cpu,Cpu:8,240,Avx2Fma,,false,,1,,,,,,,,0,
0,6,38;48;52;20;58;61;6;59,8,26647505,64,1,,512,10000,0,0,,250,1115629,,,3437578,,,Cpu,Cpu:8,1600,Avx2Fma,,false,,1,,,,,,,,0,
0,7,57;62;40;28;42;26;36;4,8,27056218,64,1,,512,10000,0,0,,250,1115629,,,3455795,,,Cpu,Cpu:8,1440,Avx2Fma,,false,,1,,,,,,,,0,
1,0,16;14;4;36;26;30;3;32,8,28302028,64,1,,512,10000,0,0,,250,1115629,,,3701654,,,Cpu,Cpu:8,728,Avx2Fma,,false,,1,,,,,,,,0,
1,1,15;10;38;24;59;54;2;34,8,27375137,64,1,,512,10000,0,0,,250,1115629,,,3467052,,,Cpu,Cpu:8,960,Avx2Fma,,false,,1,,,,,,,,0,
1,2,0;50;29;13;52;55;18;31,8,27168837,64,1,,512,10000,0,0,,250,1115629,,,3418489,,,Cpu,Cpu:8,240,Avx2Fma,,false,,1,,,,,,,,0,
1,3,12;7;40;35;22;27;6;57,8,27401877,64,1,,512,10000,0,0,,250,1115629,,,3468755,,,Cpu,Cpu:8,240,Avx2Fma,,false,,1,,,,,,,,0,
1,4,8;42;1;61;62;11;20;45,8,27652584,64,1,,512,10000,0,0,,250,1115629,,,3466020,,,Cpu,Cpu:8,2720,Avx2Fma,,false,,1,,,,,,,,0,
1,5,5;46;56;41;44;58;43;51,8,26970549,64,1,,512,10000,0,0,,250,1115629,,,3429186,,,Cpu,Cpu:8,1120,Avx2Fma,,false,,1,,,,,,,,0,
1,6,48;9;19;60;23;39;28;33,8,27451681,64,1,,512,10000,0,0,,250,1115629,,,3444528,,,Cpu,Cpu:8,960,Avx2Fma,,false,,1,,,,,,,,0,
1,7,37;47;25;63;17;53;21;49,8,28598793,64,1,,512,10000,0,0,,250,1115629,,,3487513,,,Cpu,Cpu:8,240,Avx2Fma,,false,,1,,,,,,,,0,
2,0,3;5;37;7;31;45;15;12,8,31321679,64,1,,512,10000,0,0,,250,1115629,,,3509486,,,Cpu,Cpu:8,2488,Avx2Fma,,false,,1,,,,,,,,0,
2,1,57;25;59;19;27;17;46;40,8,33848591,64,1,,512,10000,0,0,,250,1115629,,,4144068,,,Cpu,Cpu:8,1768,Avx2Fma,,false,,1,,,,,,,,0,
2,2,41;4;11;23;36;44;35;39,8,29932053,64,1,,512,10000,0,0,,250,1115629,,,3983908,,,Cpu,Cpu:8,2080,Avx2Fma,,false,,1,,,,,,,,0,
2,3,1;2;32;60;42;47;33;63,8,28053535,64,1,,512,10000,0,0,,250,1115629,,,3591640,,,Cpu,Cpu:8,1760,Avx2Fma,,false,,1,,,,,,,,0,
2,4,13;28;16;58;29;24;8;62,8,27981146,64,1,,512,10000,0,0,,250,1115629,,,3508605,,,Cpu,Cpu:8,2408,Avx2Fma,,false,,1,,,,,,,,0,
2,5,51;55;21;61;43;0;48;14,8,28388137,64,1,,512,10000,0,0,,250,1115629,,,3594294,,,Cpu,Cpu:8,2240,Avx2Fma,,false,,1,,,,,,,,0,
2,6,9;20;49;54;6;52;50;56,8,27763129,64,1,,512,10000,0,0,,250,1115629,,,3606712,,,Cpu,Cpu:8,1920,Avx2Fma,,false,,1,,,,,,,,0,
2,7,38;34;10;26;53;18;22;30,8,26938662,64,1,,512,10000,0,0,,250,1115629,,,3382656,,,Cpu,Cpu:8,968,Avx2Fma,,false,,1,,,,,,,,0,
