engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
numpy,0,0,13,1,14676593,,1,1.0,
numpy,0,1,11,1,15050634,,1,1.0,
numpy,0,2,19,1,15194640,,1,1.0,
numpy,0,3,46,1,15087179,,1,1.0,
numpy,0,4,37,1,14616752,,1,1.0,
numpy,0,5,27,1,15069582,,1,1.0,
numpy,0,6,7,1,15132156,,1,1.0,
numpy,0,7,15,1,15329493,,1,1.0,
numpy,0,8,41,1,15735861,,1,1.0,
numpy,0,9,50,1,14862391,,1,1.0,
numpy,0,10,24,1,14667538,,1,1.0,
numpy,0,11,8,1,14338606,,1,1.0,
numpy,0,12,17,1,14297574,,1,1.0,
numpy,0,13,23,1,14360838,,1,1.0,
numpy,0,14,60,1,14293658,,1,1.0,
numpy,0,15,49,1,14442841,,1,1.0,
numpy,0,16,22,1,14471825,,1,1.0,
numpy,0,17,25,1,14516442,,1,1.0,
numpy,0,18,3,1,14746407,,1,1.0,
numpy,0,19,16,1,15292116,,1,1.0,
numpy,0,20,34,1,14795831,,1,1.0,
numpy,0,21,31,1,15330774,,1,1.0,
numpy,0,22,9,1,14542731,,1,1.0,
numpy,0,23,12,1,15774730,,1,1.0,
numpy,0,24,14,1,15758376,,1,1.0,
numpy,0,25,2,1,16128541,,1,1.0,
numpy,0,26,29,1,14960318,,1,1.0,
numpy,0,27,30,1,14395811,,1,1.0,
numpy,0,28,33,1,14922061,,1,1.0,
numpy,0,29,53,1,15556252,,1,1.0,
numpy,0,30,44,1,15238475,,1,1.0,
numpy,0,31,35,1,14407588,,1,1.0,
numpy,0,32,43,1,14129732,,1,1.0,
numpy,0,33,55,1,14150152,,1,1.0,
numpy,0,34,21,1,14352396,,1,1.0,
numpy,0,35,39,1,14432566,,1,1.0,
numpy,0,36,1,1,14476181,,1,1.0,
numpy,0,37,56,1,14723924,,1,1.0,
numpy,0,38,32,1,14896522,,1,1.0,
numpy,0,39,45,1,15110083,,1,1.0,
numpy,0,40,54,1,15073077,,1,1.0,
numpy,0,41,18,1,15182331,,1,1.0,
numpy,0,42,10,1,15060689,,1,1.0,
numpy,0,43,51,1,14214759,,1,1.0,
numpy,0,44,0,1,14319477,,1,1.0,
numpy,0,45,47,1,15137384,,1,1.0,
numpy,0,46,5,1,14465685,,1,1.0,
numpy,0,47,63,1,14569071,,1,1.0,
numpy,0,48,38,1,14363873,,1,1.0,
numpy,0,49,48,1,14177264,,1,1.0,
numpy,0,50,52,1,14271885,,1,1.0,
numpy,0,51,20,1,14281409,,1,1.0,
numpy,0,52,58,1,14406447,,1,1.0,
numpy,0,53,61,1,16709393,,1,1.0,
numpy,0,54,6,1,14150012,,1,1.0,
numpy,0,55,59,1,13901800,,1,1.0,
numpy,0,56,57,1,14877784,,1,1.0,
numpy,0,57,62,1,14657904,,1,1.0,
numpy,0,58,40,1,15511826,,1,1.0,
numpy,0,59,28,1,15016252,,1,1.0,
numpy,0,60,42,1,14480889,,1,1.0,
numpy,0,61,26,1,14574720,,1,1.0,
numpy,0,62,36,1,14570012,,1,1.0,
numpy,0,63,4,1,14771675,,1,1.0,
numpy,1,0,16,1,14737273,,1,1.0,
numpy,1,1,14,1,14896022,,1,1.0,
numpy,1,2,4,1,14705356,,1,1.0,
numpy,1,3,36,1,15105516,,1,1.0,
numpy,1,4,26,1,14545817,,1,1.0,
numpy,1,5,30,1,14570243,,1,1.0,
numpy,1,6,3,1,14748611,,1,1.0,
numpy,1,7,32,1,14397684,,1,1.0,
numpy,1,8,15,1,14520418,,1,1.0,
numpy,1,9,10,1,14484935,,1,1.0,
numpy,1,10,38,1,15984636,,1,1.0,
numpy,1,11,24,1,14735891,,1,1.0,
numpy,1,12,59,1,15063373,,1,1.0,
numpy,1,13,54,1,15124906,,1,1.0,
numpy,1,14,2,1,14789992,,1,1.0,
numpy,1,15,34,1,14707799,,1,1.0,
numpy,1,16,0,1,14558615,,1,1.0,
numpy,1,17,50,1,14548200,,1,1.0,
numpy,1,18,29,1,15342732,,1,1.0,
numpy,1,19,13,1,14559577,,1,1.0,
numpy,1,20,52,1,14266177,,1,1.0,
numpy,1,21,55,1,14479026,,1,1.0,
numpy,1,22,18,1,14273027,,1,1.0,
numpy,1,23,31,1,14506697,,1,1.0,
numpy,1,24,12,1,14439036,,1,1.0,
numpy,1,25,7,1,14160938,,1,1.0,
numpy,1,26,40,1,14282751,,1,1.0,
numpy,1,27,35,1,14234359,,1,1.0,
numpy,1,28,22,1,14476362,,1,1.0,
numpy,1,29,27,1,14397984,,1,1.0,
numpy,1,30,6,1,14183954,,1,1.0,
numpy,1,31,57,1,14222972,,1,1.0,
