split,query_index,ids
tuning,0,98008;62231;18285;60776;85048;36195;17105;45149;72298;65213;71300;19777;9443;15443;37222;47160;56686;18321;56460;62945;37038;9033;9859;91928;52257;6385;9277;18067;82338;42178;99696;34305;16098;60952;62875;38605;6097;93669;59632;72623;26316;13033;27434;4153;16338;29292;56260;95505;92088;25725;85870;43304;375;9713;2045;29883;77403;21512;6105;31743;6657;96847;54642;13743
tuning,1,25898;2243;76979;30145;6721;55360;92986;21387;79729;2731;2891;44491;12226;68209;15685;26010;29245;27039;14534;68032;21117;4297;75760;229;727;79619;4929;79092;17139;13121;88661;12467;59295;40831;13337;1885;82117;43569;90460;57958;20791;27066;15993;38582;60776;7941;27534;62441;5698;7465;89917;72984;96108;1701;9291;7936;56275;25667;94455;68154;14885;83109;45254;4551
tuning,2,29929;95330;84614;85234;21989;52978;18011;26912;56003;254;36060;95837;57651;80856;90118;81212;1261;87699;27164;15038;90796;9775;24102;65890;69437;82184;16097;931;45622;50229;5831;20819;90292;54637;8385;35459;77481;5881;93898;89478;36318;67357;4721;41642;80562;79029;659;34450;58910;28486;1077;18387;52894;94708;26008;92517;48803;37212;53694;84421;47256;62254;26378;54643
tuning,3,71311;47373;20393;56898;70104;95631;42476;15731;97872;38999;17923;19074;28432;10957;90729;90188;96264;1043;5667;36215;53186;7701;87529;39297;26189;10069;96978;57945;10257;97017;80623;16579;8638;6165;59980;90121;90105;15597;91364;86852;55690;20533;74242;33837;39607;59302;20590;6219;11693;5487;16001;3915;22722;7966;35867;76514;53253;33734;34088;49186;35930;69;65786;39389
tuning,4,14941;43638;29666;11655;69598;18094;4411;25258;13561;18923;54433;44491;45371;71936;99789;19774;5898;9325;78557;58663;91585;16523;56214;89968;29356;8579;84509;57454;79885;573;43767;18727;76715;10399;18685;2611;60762;14147;61301;40517;77777;71352;74378;28321;45960;69814;65256;28445;86625;12339;57019;81594;63057;91654;86781;14587;2796;86488;1923;3200;35298;53479;12769;6491
tuning,5,47054;18953;82677;91862;963;24809;87234;35106;64245;72600;35802;67669;37003;61240;15594;30225;11387;3727;45373;31461;21776;38409;22722;19578;96936;66977;14903;67922;57065;10130;9173;16805;34298;29726;22069;35422;9397;14257;87777;2203;15415;94723;14538;11313;5351;11386;61760;85513;11837;98725;12787;35618;19468;12623;68044;32808;12434;12003;19551;13649;51232;73985;79151;64226
tuning,6,65489;94028;17795;7014;11535;38214;56562;47286;42550;31542;9789;29890;84602;5239;86627;3167;48613;68680;84351;52755;14268;34809;5290;13489;93780;9513;6019;4739;21771;14933;36956;32614;99217;4744;8295;4765;51526;73709;66910;11041;9613;24643;62048;66301;74093;92974;78881;63203;41725;86081;362;82479;44471;89936;65112;2571;45893;91150;84005;38729;11603;88919;28010;32637
tuning,7,99026;16698;74515;16047;18621;2445;14065;23715;61278;41699;33391;25370;58760;82246;43595;19401;63334;86677;81259;88597;6027;14715;26211;31810;1899;28010;27979;13187;90328;27218;82502;9441;419;2541;28430;78821;60569;46218;83931;89015;60274;77803;78994;50584;45872;33183;88268;87913;83379;1595;65854;4721;29935;8882;10967;9210;98777;1329;85184;37769;7856;51911;29785;67161
tuning,8,833;4133;7357;79028;1401;69013;21425;92990;29467;24929;16629;33654;18079;97543;73754;38270;28523;52786;26912;19777;49426;96794;1989;96750;91852;1917;6699;2571;45043;25944;62360;46117;7739;30334;87312;78353;83512;13747;18049;18689;53288;56400;41642;15270;24893;6893;89920;34378;91268;22061;19133;11513;4883;12541;54534;78230;613;12419;76908;29023;87051;98298;27338;317
tuning,9,50584;96120;60952;41235;39965;279;96109;73829;98142;9689;20933;23349;20961;27203;29510;3063;41787;76225;2749;30134;82592;24979;3121;14315;14203;24189;13423;3961;22650;44032;74765;99319;4787;93160;44742;11947;98390;79249;6565;67429;49727;21513;10387;43187;41917;25370;72718;79254;88713;2247;57802;76805;54796;89761;9925;52280;16765;35493;92369;99073;69960;26665;49142;1399
