stage	cell	engine	status	exit_code
supplement	d4-r100000-d768-b1-k1-f1	current-cpu	completed	0
supplement	d4-r100000-d768-b1-k1-f1	current-gpu	completed	0
supplement	d4-r100000-d768-b1-k1-f1	numpy	completed	0
supplement	d4-r100000-d768-b1-k1-f1	faiss-flat	completed	0
supplement	d4-r100000-d768-b1-k1-f1	torch-cpu	completed	0
supplement	d4-r100000-d768-b1-k1-f1	torch-cuda	completed	0
supplement	d5-r100000-d768-b8-k64-f01	current-cpu	completed	0
supplement	d5-r100000-d768-b8-k64-f01	current-gpu	completed	0
supplement	d5-r100000-d768-b8-k64-f01	numpy	completed	0
supplement	d5-r100000-d768-b8-k64-f01	faiss-flat	completed	0
supplement	d5-r100000-d768-b8-k64-f01	torch-cpu	completed	0
supplement	d5-r100000-d768-b8-k64-f01	torch-cuda	completed	0
