run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13,1,207147,10,1,1,10,1000,4576,192,2112128,118,25946,11140,132995,204027,7616,23136,Wgpu,Wgpu:1,130,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,1,11,1,195986,10,1,1,10,1000,4576,192,2112128,118,25946,8570,132604,193366,7584,23328,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,2,19,1,194726,10,1,1,10,1000,4576,192,2112128,118,25946,8990,130694,192096,6336,23200,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,3,46,1,193317,10,1,1,10,1000,4576,192,2112128,118,25946,8221,131644,190706,7840,23168,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,4,37,1,194986,10,1,1,10,1000,4576,192,2112128,118,25946,8290,132564,192376,7680,23200,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,5,27,1,193827,10,1,1,10,1000,4576,192,2112128,118,25946,8100,131355,191296,7616,23776,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,6,7,1,194416,10,1,1,10,1000,4576,192,2112128,118,25946,8280,131874,191746,7552,23168,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,7,15,1,195636,10,1,1,10,1000,4576,192,2112128,118,25946,8560,132525,192706,7872,23488,Wgpu,Wgpu:1,120,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,8,41,1,166045,10,1,1,10,1000,4576,192,2112128,118,25946,9180,102153,163245,7968,23328,Wgpu,Wgpu:1,130,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,9,50,1,164165,10,1,1,10,1000,4576,192,2112128,118,25946,8200,102653,161565,7648,23136,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,10,24,1,163766,10,1,1,10,1000,4576,192,2112128,118,25946,8551,100203,161255,7552,23328,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,11,8,1,164005,10,1,1,10,1000,4576,192,2112128,118,25946,8220,100903,161505,7776,23168,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,12,17,1,163036,10,1,1,10,1000,4576,192,2112128,118,25946,8320,100294,160525,7616,23520,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,13,23,1,161485,10,1,1,10,1000,4576,192,2112128,118,25946,8050,99713,158865,7808,23168,Wgpu,Wgpu:1,80,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,14,60,1,161265,10,1,1,10,1000,4576,192,2112128,118,25946,8510,99164,158645,6336,23328,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,15,49,1,162665,10,1,1,10,1000,4576,192,2112128,118,25946,8300,100933,160095,7808,23008,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,16,22,1,161625,10,1,1,10,1000,4576,192,2112128,118,25946,8180,100204,159085,7904,23360,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,17,25,1,162985,10,1,1,10,1000,4576,192,2112128,118,25946,8220,100983,160445,7648,23360,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,18,3,1,165255,10,1,1,10,1000,4576,192,2112128,118,25946,8510,102384,162595,7776,23520,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,19,16,1,164665,10,1,1,10,1000,4576,192,2112128,118,25946,8260,99913,162125,8224,23168,Wgpu,Wgpu:1,90,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,20,34,1,161825,10,1,1,10,1000,4576,192,2112128,118,25946,8340,99663,159265,7616,23328,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,21,31,1,161735,10,1,1,10,1000,4576,192,2112128,118,25946,8090,100923,159185,7552,23296,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,22,9,1,161055,10,1,1,10,1000,4576,192,2112128,118,25946,8210,99923,158395,6944,23360,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,23,12,1,170706,10,1,1,10,1000,4576,192,2112128,118,25946,8230,99814,168136,7552,23200,Wgpu,Wgpu:1,90,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,24,14,1,161505,10,1,1,10,1000,4576,192,2112128,118,25946,8240,99783,158985,7904,23328,Wgpu,Wgpu:1,120,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,25,2,1,166016,10,1,1,10,1000,4576,192,2112128,118,25946,8990,99493,163516,7680,23168,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,26,29,1,160535,10,1,1,10,1000,4576,192,2112128,118,25946,8161,98863,157955,7616,23168,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,27,30,1,162516,10,1,1,10,1000,4576,192,2112128,118,25946,8280,101154,159945,6368,23328,Wgpu,Wgpu:1,80,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,28,33,1,172575,10,1,1,10,1000,4576,192,2112128,118,25946,8220,111543,169885,7776,23328,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,29,53,1,164635,10,1,1,10,1000,4576,192,2112128,118,25946,8520,101403,162085,6304,23616,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,30,44,1,162796,10,1,1,10,1000,4576,192,2112128,118,25946,8131,101323,160185,7712,23200,Wgpu,Wgpu:1,120,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
0,31,35,1,160155,10,1,1,10,1000,4576,192,2112128,118,25946,8170,98743,157555,8000,23168,Wgpu,Wgpu:1,110,not-applicable,,false,Cached,0,0,1000,true,All,SortedRows,1000,1000,4000,1
