run,batch_index,query_indices,query_count,batch_latency_ns,recall_at_10,result_ids
0,0,13,1,354303,1.0,"[[""328"", ""411"", ""104"", ""546"", ""765"", ""809"", ""117"", ""853"", ""783"", ""820""]]"
0,1,11,1,343703,1.0,"[[""326"", ""872"", ""115"", ""487"", ""273"", ""372"", ""430"", ""270"", ""988"", ""992""]]"
0,2,19,1,341268,1.0,"[[""409"", ""467"", ""187"", ""374"", ""491"", ""961"", ""711"", ""543"", ""670"", ""867""]]"
0,3,46,1,336921,1.0,"[[""128"", ""977"", ""239"", ""541"", ""970"", ""216"", ""744"", ""108"", ""120"", ""650""]]"
0,4,37,1,337812,1.0,"[[""723"", ""765"", ""986"", ""947"", ""179"", ""971"", ""858"", ""855"", ""672"", ""106""]]"
0,5,27,1,344464,1.0,"[[""619"", ""855"", ""863"", ""605"", ""41"", ""129"", ""904"", ""78"", ""157"", ""387""]]"
0,6,7,1,341458,1.0,"[[""516"", ""930"", ""745"", ""405"", ""928"", ""828"", ""990"", ""862"", ""946"", ""836""]]"
0,7,15,1,343633,1.0,"[[""836"", ""458"", ""566"", ""798"", ""778"", ""421"", ""595"", ""43"", ""324"", ""467""]]"
0,8,41,1,343663,1.0,"[[""926"", ""32"", ""16"", ""520"", ""124"", ""280"", ""195"", ""121"", ""471"", ""953""]]"
0,9,50,1,347710,1.0,"[[""472"", ""611"", ""479"", ""9"", ""410"", ""657"", ""533"", ""414"", ""702"", ""88""]]"
0,10,24,1,328986,1.0,"[[""134"", ""355"", ""860"", ""389"", ""167"", ""809"", ""305"", ""185"", ""358"", ""400""]]"
0,11,8,1,338173,1.0,"[[""225"", ""795"", ""753"", ""171"", ""564"", ""995"", ""347"", ""239"", ""298"", ""596""]]"
0,12,17,1,332692,1.0,"[[""68"", ""152"", ""343"", ""917"", ""725"", ""583"", ""107"", ""61"", ""532"", ""95""]]"
0,13,23,1,328805,1.0,"[[""299"", ""847"", ""184"", ""48"", ""946"", ""436"", ""587"", ""722"", ""63"", ""809""]]"
0,14,60,1,341488,1.0,"[[""389"", ""399"", ""334"", ""363"", ""414"", ""35"", ""401"", ""532"", ""193"", ""207""]]"
0,15,49,1,348191,1.0,"[[""232"", ""913"", ""502"", ""22"", ""763"", ""478"", ""328"", ""970"", ""536"", ""452""]]"
0,16,22,1,332812,1.0,"[[""981"", ""413"", ""776"", ""322"", ""993"", ""368"", ""916"", ""563"", ""911"", ""921""]]"
0,17,25,1,353611,1.0,"[[""794"", ""785"", ""229"", ""578"", ""550"", ""466"", ""119"", ""706"", ""584"", ""331""]]"
0,18,3,1,337300,1.0,"[[""695"", ""49"", ""52"", ""459"", ""93"", ""805"", ""671"", ""25"", ""168"", ""672""]]"
0,19,16,1,348883,1.0,"[[""309"", ""916"", ""187"", ""490"", ""10"", ""935"", ""29"", ""510"", ""619"", ""441""]]"
0,20,34,1,341829,1.0,"[[""156"", ""682"", ""952"", ""641"", ""550"", ""343"", ""593"", ""981"", ""416"", ""885""]]"
0,21,31,1,331510,1.0,"[[""772"", ""689"", ""427"", ""845"", ""830"", ""342"", ""117"", ""551"", ""887"", ""382""]]"
0,22,9,1,336679,1.0,"[[""772"", ""104"", ""678"", ""417"", ""840"", ""658"", ""231"", ""241"", ""906"", ""498""]]"
0,23,12,1,328354,1.0,"[[""524"", ""663"", ""487"", ""230"", ""349"", ""324"", ""841"", ""712"", ""925"", ""327""]]"
0,24,14,1,333604,1.0,"[[""553"", ""995"", ""994"", ""734"", ""716"", ""846"", ""845"", ""280"", ""459"", ""334""]]"
