run,batch_index,query_indices,query_count,batch_latency_ns,recall_at_10,result_ids
0,0,13;11;19;46;37;27;7;15;41;50;24;8;17;23;60;49,16,3233097,1.0,"[[""365"", ""351"", ""69"", ""761"", ""247"", ""811"", ""13"", ""49"", ""128"", ""904""], [""761"", ""13"", ""365"", ""128"", ""904"", ""351"", ""49"", ""811"", ""69"", ""247""], [""49"", ""761"", ""811"", ""69"", ""365"", ""351"", ""247"", ""904"", ""128"", ""13""], [""365"", ""128"", ""351"", ""811"", ""69"", ""13"", ""761"", ""247"", ""49"", ""904""], [""49"", ""365"", ""13"", ""69"", ""904"", ""247"", ""128"", ""761"", ""351"", ""811""], [""13"", ""351"", ""365"", ""69"", ""761"", ""49"", ""811"", ""904"", ""128"", ""247""], [""69"", ""351"", ""904"", ""761"", ""365"", ""128"", ""49"", ""13"", ""811"", ""247""], [""128"", ""761"", ""247"", ""365"", ""351"", ""811"", ""49"", ""69"", ""13"", ""904""], [""247"", ""761"", ""13"", ""128"", ""904"", ""49"", ""365"", ""811"", ""69"", ""351""], [""904"", ""351"", ""49"", ""247"", ""13"", ""811"", ""69"", ""365"", ""128"", ""761""], [""13"", ""904"", ""247"", ""69"", ""128"", ""49"", ""811"", ""351"", ""761"", ""365""], [""761"", ""13"", ""811"", ""128"", ""69"", ""365"", ""904"", ""49"", ""247"", ""351""], [""247"", ""811"", ""761"", ""49"", ""128"", ""13"", ""69"", ""904"", ""351"", ""365""], [""904"", ""811"", ""13"", ""351"", ""128"", ""49"", ""69"", ""365"", ""761"", ""247""], [""365"", ""904"", ""811"", ""128"", ""351"", ""247"", ""49"", ""13"", ""761"", ""69""], [""69"", ""49"", ""811"", ""904"", ""365"", ""13"", ""128"", ""247"", ""351"", ""761""]]"
0,1,22;25;3;16;34;31;9;12;14;2;29;30;33;53;44;35,16,3295995,1.0,"[[""13"", ""761"", ""351"", ""128"", ""904"", ""49"", ""811"", ""365"", ""69"", ""247""], [""128"", ""247"", ""811"", ""49"", ""351"", ""365"", ""904"", ""761"", ""69"", ""13""], [""13"", ""351"", ""761"", ""247"", ""365"", ""69"", ""128"", ""811"", ""49"", ""904""], [""247"", ""761"", ""365"", ""904"", ""811"", ""351"", ""128"", ""49"", ""13"", ""69""], [""13"", ""128"", ""904"", ""365"", ""811"", ""69"", ""49"", ""247"", ""761"", ""351""], [""904"", ""128"", ""365"", ""13"", ""761"", ""247"", ""811"", ""49"", ""69"", ""351""], [""13"", ""904"", ""351"", ""811"", ""365"", ""247"", ""49"", ""69"", ""128"", ""761""], [""811"", ""351"", ""13"", ""904"", ""365"", ""69"", ""49"", ""761"", ""247"", ""128""], [""128"", ""49"", ""69"", ""761"", ""351"", ""13"", ""247"", ""811"", ""365"", ""904""], [""128"", ""49"", ""247"", ""69"", ""13"", ""365"", ""904"", ""351"", ""761"", ""811""], [""351"", ""365"", ""811"", ""128"", ""13"", ""761"", ""904"", ""247"", ""49"", ""69""], [""811"", ""365"", ""351"", ""49"", ""247"", ""128"", ""69"", ""904"", ""761"", ""13""], [""69"", ""351"", ""904"", ""811"", ""128"", ""13"", ""365"", ""761"", ""247"", ""49""], [""811"", ""904"", ""13"", ""49"", ""69"", ""247"", ""761"", ""351"", ""365"", ""128""], [""811"", ""761"", ""128"", ""247"", ""351"", ""365"", ""69"", ""904"", ""49"", ""13""], [""365"", ""128"", ""761"", ""13"", ""49"", ""904"", ""69"", ""811"", ""351"", ""247""]]"
0,2,43;55;21;39;1;56;32;45;54;18;10;51;0;47;5;63,16,3318988,1.0,"[[""69"", ""811"", ""351"", ""13"", ""247"", ""365"", ""49"", ""761"", ""904"", ""128""], [""365"", ""49"", ""13"", ""904"", ""247"", ""811"", ""128"", ""69"", ""761"", ""351""], [""761"", ""811"", ""351"", ""247"", ""49"", ""128"", ""69"", ""904"", ""365"", ""13""], [""69"", ""351"", ""49"", ""13"", ""811"", ""904"", ""365"", ""247"", ""761"", ""128""], [""365"", ""904"", ""351"", ""247"", ""13"", ""811"", ""761"", ""49"", ""128"", ""69""], [""904"", ""49"", ""69"", ""365"", ""351"", ""128"", ""13"", ""761"", ""247"", ""811""], [""247"", ""761"", ""69"", ""13"", ""365"", ""49"", ""351"", ""811"", ""904"", ""128""], [""904"", ""365"", ""247"", ""49"", ""811"", ""351"", ""128"", ""13"", ""761"", ""69""], [""247"", ""904"", ""13"", ""811"", ""128"", ""49"", ""351"", ""761"", ""365"", ""69""], [""351"", ""69"", ""128"", ""365"", ""247"", ""761"", ""811"", ""49"", ""13"", ""904""], [""351"", ""128"", ""69"", ""49"", ""904"", ""247"", ""13"", ""761"", ""811"", ""365""], [""811"", ""247"", ""365"", ""49"", ""13"", ""761"", ""904"", ""351"", ""128"", ""69""], [""904"", ""811"", ""351"", ""761"", ""69"", ""13"", ""365"", ""247"", ""128"", ""49""], [""128"", ""13"", ""49"", ""811"", ""904"", ""365"", ""761"", ""247"", ""351"", ""69""], [""13"", ""811"", ""69"", ""365"", ""351"", ""904"", ""247"", ""128"", ""49"", ""761""], [""761"", ""49"", ""904"", ""128"", ""351"", ""247"", ""69"", ""811"", ""13"", ""365""]]"
0,3,38;48;52;20;58;61;6;59;57;62;40;28;42;26;36;4,16,3370965,1.0,"[[""13"", ""811"", ""69"", ""365"", ""351"", ""247"", ""128"", ""49"", ""904"", ""761""], [""761"", ""351"", ""128"", ""69"", ""904"", ""49"", ""365"", ""13"", ""811"", ""247""], [""128"", ""904"", ""761"", ""69"", ""811"", ""247"", ""351"", ""365"", ""49"", ""13""], [""904"", ""365"", ""128"", ""69"", ""247"", ""351"", ""761"", ""811"", ""13"", ""49""], [""761"", ""13"", ""811"", ""365"", ""128"", ""49"", ""247"", ""904"", ""69"", ""351""], [""49"", ""365"", ""351"", ""69"", ""811"", ""904"", ""247"", ""761"", ""13"", ""128""], [""247"", ""69"", ""13"", ""811"", ""365"", ""49"", ""351"", ""128"", ""904"", ""761""], [""351"", ""904"", ""761"", ""13"", ""247"", ""128"", ""69"", ""811"", ""365"", ""49""], [""69"", ""761"", ""247"", ""811"", ""365"", ""351"", ""49"", ""13"", ""904"", ""128""], [""49"", ""128"", ""69"", ""351"", ""247"", ""761"", ""365"", ""811"", ""904"", ""13""], [""351"", ""761"", ""69"", ""128"", ""904"", ""49"", ""247"", ""811"", ""365"", ""13""], [""811"", ""761"", ""128"", ""13"", ""351"", ""49"", ""69"", ""247"", ""904"", ""365""], [""69"", ""13"", ""811"", ""49"", ""365"", ""351"", ""904"", ""761"", ""128"", ""247""], [""365"", ""69"", ""128"", ""351"", ""13"", ""811"", ""49"", ""761"", ""247"", ""904""], [""365"", ""247"", ""811"", ""49"", ""904"", ""69"", ""13"", ""761"", ""351"", ""128""], [""365"", ""761"", ""904"", ""128"", ""49"", ""13"", ""247"", ""811"", ""69"", ""351""]]"
1,0,16;14;4;36;26;30;3;32;15;10;38;24;59;54;2;34,16,3318988,1.0,"[[""247"", ""761"", ""365"", ""904"", ""811"", ""351"", ""128"", ""49"", ""13"", ""69""], [""128"", ""49"", ""69"", ""761"", ""351"", ""13"", ""247"", ""811"", ""365"", ""904""], [""365"", ""761"", ""904"", ""128"", ""49"", ""13"", ""247"", ""811"", ""69"", ""351""], [""365"", ""247"", ""811"", ""49"", ""904"", ""69"", ""13"", ""761"", ""351"", ""128""], [""365"", ""69"", ""128"", ""351"", ""13"", ""811"", ""49"", ""761"", ""247"", ""904""], [""811"", ""365"", ""351"", ""49"", ""247"", ""128"", ""69"", ""904"", ""761"", ""13""], [""13"", ""351"", ""761"", ""247"", ""365"", ""69"", ""128"", ""811"", ""49"", ""904""], [""247"", ""761"", ""69"", ""13"", ""365"", ""49"", ""351"", ""811"", ""904"", ""128""], [""128"", ""761"", ""247"", ""365"", ""351"", ""811"", ""49"", ""69"", ""13"", ""904""], [""351"", ""128"", ""69"", ""49"", ""904"", ""247"", ""13"", ""761"", ""811"", ""365""], [""13"", ""811"", ""69"", ""365"", ""351"", ""247"", ""128"", ""49"", ""904"", ""761""], [""13"", ""904"", ""247"", ""69"", ""128"", ""49"", ""811"", ""351"", ""761"", ""365""], [""351"", ""904"", ""761"", ""13"", ""247"", ""128"", ""69"", ""811"", ""365"", ""49""], [""247"", ""904"", ""13"", ""811"", ""128"", ""49"", ""351"", ""761"", ""365"", ""69""], [""128"", ""49"", ""247"", ""69"", ""13"", ""365"", ""904"", ""351"", ""761"", ""811""], [""13"", ""128"", ""904"", ""365"", ""811"", ""69"", ""49"", ""247"", ""761"", ""351""]]"
1,1,0;50;29;13;52;55;18;31;12;7;40;35;22;27;6;57,16,3273052,1.0,"[[""904"", ""811"", ""351"", ""761"", ""69"", ""13"", ""365"", ""247"", ""128"", ""49""], [""904"", ""351"", ""49"", ""247"", ""13"", ""811"", ""69"", ""365"", ""128"", ""761""], [""351"", ""365"", ""811"", ""128"", ""13"", ""761"", ""904"", ""247"", ""49"", ""69""], [""365"", ""351"", ""69"", ""761"", ""247"", ""811"", ""13"", ""49"", ""128"", ""904""], [""128"", ""904"", ""761"", ""69"", ""811"", ""247"", ""351"", ""365"", ""49"", ""13""], [""365"", ""49"", ""13"", ""904"", ""247"", ""811"", ""128"", ""69"", ""761"", ""351""], [""351"", ""69"", ""128"", ""365"", ""247"", ""761"", ""811"", ""49"", ""13"", ""904""], [""904"", ""128"", ""365"", ""13"", ""761"", ""247"", ""811"", ""49"", ""69"", ""351""], [""811"", ""351"", ""13"", ""904"", ""365"", ""69"", ""49"", ""761"", ""247"", ""128""], [""69"", ""351"", ""904"", ""761"", ""365"", ""128"", ""49"", ""13"", ""811"", ""247""], [""351"", ""761"", ""69"", ""128"", ""904"", ""49"", ""247"", ""811"", ""365"", ""13""], [""365"", ""128"", ""761"", ""13"", ""49"", ""904"", ""69"", ""811"", ""351"", ""247""], [""13"", ""761"", ""351"", ""128"", ""904"", ""49"", ""811"", ""365"", ""69"", ""247""], [""13"", ""351"", ""365"", ""69"", ""761"", ""49"", ""811"", ""904"", ""128"", ""247""], [""247"", ""69"", ""13"", ""811"", ""365"", ""49"", ""351"", ""128"", ""904"", ""761""], [""69"", ""761"", ""247"", ""811"", ""365"", ""351"", ""49"", ""13"", ""904"", ""128""]]"
1,2,8;42;1;61;62;11;20;45;5;46;56;41;44;58;43;51,16,3339516,1.0,"[[""761"", ""13"", ""811"", ""128"", ""69"", ""365"", ""904"", ""49"", ""247"", ""351""], [""69"", ""13"", ""811"", ""49"", ""365"", ""351"", ""904"", ""761"", ""128"", ""247""], [""365"", ""904"", ""351"", ""247"", ""13"", ""811"", ""761"", ""49"", ""128"", ""69""], [""49"", ""365"", ""351"", ""69"", ""811"", ""904"", ""247"", ""761"", ""13"", ""128""], [""49"", ""128"", ""69"", ""351"", ""247"", ""761"", ""365"", ""811"", ""904"", ""13""], [""761"", ""13"", ""365"", ""128"", ""904"", ""351"", ""49"", ""811"", ""69"", ""247""], [""904"", ""365"", ""128"", ""69"", ""247"", ""351"", ""761"", ""811"", ""13"", ""49""], [""904"", ""365"", ""247"", ""49"", ""811"", ""351"", ""128"", ""13"", ""761"", ""69""], [""13"", ""811"", ""69"", ""365"", ""351"", ""904"", ""247"", ""128"", ""49"", ""761""], [""365"", ""128"", ""351"", ""811"", ""69"", ""13"", ""761"", ""247"", ""49"", ""904""], [""904"", ""49"", ""69"", ""365"", ""351"", ""128"", ""13"", ""761"", ""247"", ""811""], [""247"", ""761"", ""13"", ""128"", ""904"", ""49"", ""365"", ""811"", ""69"", ""351""], [""811"", ""761"", ""128"", ""247"", ""351"", ""365"", ""69"", ""904"", ""49"", ""13""], [""761"", ""13"", ""811"", ""365"", ""128"", ""49"", ""247"", ""904"", ""69"", ""351""], [""69"", ""811"", ""351"", ""13"", ""247"", ""365"", ""49"", ""761"", ""904"", ""128""], [""811"", ""247"", ""365"", ""49"", ""13"", ""761"", ""904"", ""351"", ""128"", ""69""]]"
1,3,48;9;19;60;23;39;28;33;37;47;25;63;17;53;21;49,16,3360144,1.0,"[[""761"", ""351"", ""128"", ""69"", ""904"", ""49"", ""365"", ""13"", ""811"", ""247""], [""13"", ""904"", ""351"", ""811"", ""365"", ""247"", ""49"", ""69"", ""128"", ""761""], [""49"", ""761"", ""811"", ""69"", ""365"", ""351"", ""247"", ""904"", ""128"", ""13""], [""365"", ""904"", ""811"", ""128"", ""351"", ""247"", ""49"", ""13"", ""761"", ""69""], [""904"", ""811"", ""13"", ""351"", ""128"", ""49"", ""69"", ""365"", ""761"", ""247""], [""69"", ""351"", ""49"", ""13"", ""811"", ""904"", ""365"", ""247"", ""761"", ""128""], [""811"", ""761"", ""128"", ""13"", ""351"", ""49"", ""69"", ""247"", ""904"", ""365""], [""69"", ""351"", ""904"", ""811"", ""128"", ""13"", ""365"", ""761"", ""247"", ""49""], [""49"", ""365"", ""13"", ""69"", ""904"", ""247"", ""128"", ""761"", ""351"", ""811""], [""128"", ""13"", ""49"", ""811"", ""904"", ""365"", ""761"", ""247"", ""351"", ""69""], [""128"", ""247"", ""811"", ""49"", ""351"", ""365"", ""904"", ""761"", ""69"", ""13""], [""761"", ""49"", ""904"", ""128"", ""351"", ""247"", ""69"", ""811"", ""13"", ""365""], [""247"", ""811"", ""761"", ""49"", ""128"", ""13"", ""69"", ""904"", ""351"", ""365""], [""811"", ""904"", ""13"", ""49"", ""69"", ""247"", ""761"", ""351"", ""365"", ""128""], [""761"", ""811"", ""351"", ""247"", ""49"", ""128"", ""69"", ""904"", ""365"", ""13""], [""69"", ""49"", ""811"", ""904"", ""365"", ""13"", ""128"", ""247"", ""351"", ""761""]]"
2,0,3;5;37;7;31;45;15;12;57;25;59;19;27;17;46;40,16,3328125,1.0,"[[""13"", ""351"", ""761"", ""247"", ""365"", ""69"", ""128"", ""811"", ""49"", ""904""], [""13"", ""811"", ""69"", ""365"", ""351"", ""904"", ""247"", ""128"", ""49"", ""761""], [""49"", ""365"", ""13"", ""69"", ""904"", ""247"", ""128"", ""761"", ""351"", ""811""], [""69"", ""351"", ""904"", ""761"", ""365"", ""128"", ""49"", ""13"", ""811"", ""247""], [""904"", ""128"", ""365"", ""13"", ""761"", ""247"", ""811"", ""49"", ""69"", ""351""], [""904"", ""365"", ""247"", ""49"", ""811"", ""351"", ""128"", ""13"", ""761"", ""69""], [""128"", ""761"", ""247"", ""365"", ""351"", ""811"", ""49"", ""69"", ""13"", ""904""], [""811"", ""351"", ""13"", ""904"", ""365"", ""69"", ""49"", ""761"", ""247"", ""128""], [""69"", ""761"", ""247"", ""811"", ""365"", ""351"", ""49"", ""13"", ""904"", ""128""], [""128"", ""247"", ""811"", ""49"", ""351"", ""365"", ""904"", ""761"", ""69"", ""13""], [""351"", ""904"", ""761"", ""13"", ""247"", ""128"", ""69"", ""811"", ""365"", ""49""], [""49"", ""761"", ""811"", ""69"", ""365"", ""351"", ""247"", ""904"", ""128"", ""13""], [""13"", ""351"", ""365"", ""69"", ""761"", ""49"", ""811"", ""904"", ""128"", ""247""], [""247"", ""811"", ""761"", ""49"", ""128"", ""13"", ""69"", ""904"", ""351"", ""365""], [""365"", ""128"", ""351"", ""811"", ""69"", ""13"", ""761"", ""247"", ""49"", ""904""], [""351"", ""761"", ""69"", ""128"", ""904"", ""49"", ""247"", ""811"", ""365"", ""13""]]"
2,1,41;4;11;23;36;44;35;39;1;2;32;60;42;47;33;63,16,3396072,1.0,"[[""247"", ""761"", ""13"", ""128"", ""904"", ""49"", ""365"", ""811"", ""69"", ""351""], [""365"", ""761"", ""904"", ""128"", ""49"", ""13"", ""247"", ""811"", ""69"", ""351""], [""761"", ""13"", ""365"", ""128"", ""904"", ""351"", ""49"", ""811"", ""69"", ""247""], [""904"", ""811"", ""13"", ""351"", ""128"", ""49"", ""69"", ""365"", ""761"", ""247""], [""365"", ""247"", ""811"", ""49"", ""904"", ""69"", ""13"", ""761"", ""351"", ""128""], [""811"", ""761"", ""128"", ""247"", ""351"", ""365"", ""69"", ""904"", ""49"", ""13""], [""365"", ""128"", ""761"", ""13"", ""49"", ""904"", ""69"", ""811"", ""351"", ""247""], [""69"", ""351"", ""49"", ""13"", ""811"", ""904"", ""365"", ""247"", ""761"", ""128""], [""365"", ""904"", ""351"", ""247"", ""13"", ""811"", ""761"", ""49"", ""128"", ""69""], [""128"", ""49"", ""247"", ""69"", ""13"", ""365"", ""904"", ""351"", ""761"", ""811""], [""247"", ""761"", ""69"", ""13"", ""365"", ""49"", ""351"", ""811"", ""904"", ""128""], [""365"", ""904"", ""811"", ""128"", ""351"", ""247"", ""49"", ""13"", ""761"", ""69""], [""69"", ""13"", ""811"", ""49"", ""365"", ""351"", ""904"", ""761"", ""128"", ""247""], [""128"", ""13"", ""49"", ""811"", ""904"", ""365"", ""761"", ""247"", ""351"", ""69""], [""69"", ""351"", ""904"", ""811"", ""128"", ""13"", ""365"", ""761"", ""247"", ""49""], [""761"", ""49"", ""904"", ""128"", ""351"", ""247"", ""69"", ""811"", ""13"", ""365""]]"
