split,query_index,ids
tuning,0,3069;5177;4399;6488;3272;6436;1870;5926;2359;237
tuning,1,1884;9402;9701;6455;9963;2165;4644;9349;2168;718
tuning,2,3197;5741;1746;8190;4950;7408;1839;6077;858;16
tuning,3,4983;847;8418;6558;8954;4137;6122;4748;794;7047
tuning,4,4594;9620;8484;4634;7840;2410;3352;1931;1835;1513
tuning,5,6778;7207;1693;5509;1018;4272;8756;4802;9444;2080
tuning,6,228;2817;8039;9727;3450;4986;8194;4114;3672;7638
tuning,7,6620;5159;9265;2856;2078;3003;5254;3771;6253;6596
tuning,8,1607;932;9277;7951;2836;7762;671;370;1339;7518
tuning,9,9881;9423;2373;4640;6900;6148;9404;5387;4869;8499
tuning,10,16;5921;4033;3828;9453;8613;8665;5141;6384;6006
tuning,11,2261;3649;719;2835;6864;5638;7772;9071;4967;8268
tuning,12,5020;3214;761;313;7292;8315;2774;7713;5427;5921
tuning,13,1182;9596;2629;3915;2184;1724;9377;3505;5419;2437
tuning,14,5180;3335;5461;278;2946;8101;5997;8385;3439;9883
tuning,15,6764;1258;2727;6811;4182;1392;6733;4867;4990;4180
evaluation,0,7782;9142;2053;9021;4284;7546;6765;493;4407;5802
evaluation,1,5095;7723;7370;2852;9758;3213;2602;118;5832;7369
evaluation,2,3611;9585;7934;5378;196;8932;5272;4025;2886;8332
evaluation,3,4931;6138;3860;8442;2547;5958;1946;8137;4020;8540
evaluation,4,408;3644;2199;4394;8824;7586;8340;6913;6419;27
evaluation,5,2299;3089;4989;1252;7555;8120;2265;7197;643;7715
evaluation,6,8425;1051;3085;1457;2589;9965;3718;5985;405;7705
evaluation,7,287;1822;7413;4869;6665;6474;3128;7214;8435;4560
evaluation,8,464;4149;6586;2693;1450;218;2779;5582;8931;7044
evaluation,9,9409;6761;1592;5804;3201;5210;3522;7970;6209;1647
evaluation,10,3908;3828;2193;5253;7194;5761;8897;6082;6090;5467
evaluation,11,2029;5628;1133;9220;7286;1344;3274;7678;297;1125
evaluation,12,9434;3247;5552;7666;9267;8660;1719;1497;1344;8229
evaluation,13,9154;2465;7874;9244;3247;5949;999;5770;174;6327
evaluation,14,1954;9631;5772;8416;4384;1608;1549;9827;4434;9666
evaluation,15,9477;7217;3080;42;6778;3998;8432;2826;9224;9807
evaluation,16,9433;2724;952;1612;2198;1682;8694;1118;9263;6237
evaluation,17,4166;1539;9291;4980;3624;4895;1426;4955;7611;1315
evaluation,18,2001;3129;5728;9920;1976;7219;6159;1317;1885;9177
evaluation,19,3847;5430;7110;9440;2339;4577;9334;2642;1752;9063
evaluation,20,4478;5734;7118;9248;6340;7279;2285;1601;3690;5259
evaluation,21,7045;9778;7116;8773;5690;2054;4975;2117;3253;1919
evaluation,22,1484;1821;4675;194;2445;9204;3647;1791;7542;6805
evaluation,23,5969;1507;5328;9791;5695;6007;6868;8263;9466;6414
evaluation,24,109;3799;8307;6812;7648;4397;3645;6418;262;9199
evaluation,25,244;3316;2864;9679;8001;6889;4798;1313;1972;6850
evaluation,26,7086;453;3761;4318;4452;9397;9940;2170;9990;2470
evaluation,27,8210;9364;2477;6982;9733;8784;4790;4315;8624;946
evaluation,28,8433;8943;3866;2999;220;7709;7532;1612;9258;8660
evaluation,29,108;8721;4824;6778;2597;4480;9226;5335;5871;2437
evaluation,30,4456;6178;4973;8770;9663;4347;5370;9822;7217;420
evaluation,31,9556;8468;8856;964;8390;1172;4487;5121;8559;3308
evaluation,32,3771;4555;5622;320;4363;2174;7806;5811;9611;5568
evaluation,33,872;7388;3242;5050;8983;4020;4511;1708;6919;7466
evaluation,34,6311;228;8095;8925;5312;9321;7798;1709;8745;9853
evaluation,35,1788;5470;5271;3563;8567;7038;7512;240;5224;8105
evaluation,36,831;445;3629;4826;5253;466;4726;7112;835;985
evaluation,37,8441;2679;8706;9149;5298;3267;2961;4904;6357;667
evaluation,38,5339;5005;7612;3608;119;6865;3960;4552;8107;9834
evaluation,39,7269;9492;9833;1124;2037;9903;1160;1725;6354;702
evaluation,40,6892;8842;8361;9682;9401;158;9868;3801;9750;7457
evaluation,41,5077;4977;8640;6787;9791;3934;7442;2338;2340;8932
evaluation,42,7113;288;3051;249;5556;6539;9668;4912;1969;8380
evaluation,43,1829;677;1280;7076;290;6645;6466;6691;4689;6771
evaluation,44,5279;218;8921;1593;5519;7160;4830;3620;2392;7171
evaluation,45,6259;6989;7394;1590;5835;7193;2558;6987;9683;6027
evaluation,46,3746;260;2704;2214;2938;2908;4166;1467;975;6599
evaluation,47,2841;5847;7781;8656;8636;6368;6465;8383;7375;3852
evaluation,48,2599;2264;2108;348;5689;3861;2149;5401;8588;559
evaluation,49,6386;9276;5018;7695;1197;9875;2234;750;3015;2023
evaluation,50,3497;4328;5541;2399;4264;9299;26;6827;3884;3283
evaluation,51,6336;1764;3759;2125;699;7861;8506;9046;8207;317
evaluation,52,7946;6212;8239;4634;2066;8226;9283;3425;5344;4256
evaluation,53,3866;6278;7752;9565;2936;840;3049;3201;2356;4166
evaluation,54,6658;6606;9265;7300;8711;2385;6435;9942;4126;2134
evaluation,55,962;6693;3868;463;3336;6452;6264;4736;4223;8929
evaluation,56,5469;6123;3620;6741;1496;1208;6169;3779;8190;3667
evaluation,57,5930;8857;928;7854;1392;9161;5847;3101;5515;2302
evaluation,58,3657;8314;5059;6699;2273;5995;3075;1036;7923;7004
evaluation,59,3397;776;3394;9723;8275;4083;4112;5115;8168;6662
evaluation,60,3411;7142;2145;2895;5750;8250;8202;9959;2426;6518
evaluation,61,2807;3719;4279;6595;270;4484;6422;5656;3397;9086
evaluation,62,2448;2377;5551;158;297;5792;9535;9843;6851;6849
evaluation,63,4008;2451;3433;2937;9766;9095;8698;5724;8351;9200
