engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
numpy,0,0,13;11;19;46;37;27;7;15;41;50;24;8;17;23;60;49,16,8018187,,10,1.0,1.0
numpy,0,1,22;25;3;16;34;31;9;12;14;2;29;30;33;53;44;35,16,7821799,,10,1.0,1.0
numpy,0,2,43;55;21;39;1;56;32;45;54;18;10;51;0;47;5;63,16,7833662,,10,1.0,1.0
numpy,0,3,38;48;52;20;58;61;6;59;57;62;40;28;42;26;36;4,16,7865031,,10,1.0,1.0
numpy,1,0,16;14;4;36;26;30;3;32;15;10;38;24;59;54;2;34,16,7817893,,10,1.0,1.0
numpy,1,1,0;50;29;13;52;55;18;31;12;7;40;35;22;27;6;57,16,7834944,,10,1.0,1.0
numpy,1,2,8;42;1;61;62;11;20;45;5;46;56;41;44;58;43;51,16,7834905,,10,1.0,1.0
numpy,1,3,48;9;19;60;23;39;28;33;37;47;25;63;17;53;21;49,16,7836568,,10,1.0,1.0
numpy,2,0,3;5;37;7;31;45;15;12;57;25;59;19;27;17;46;40,16,7845815,,10,1.0,1.0
numpy,2,1,41;4;11;23;36;44;35;39;1;2;32;60;42;47;33;63,16,7843671,,10,1.0,1.0
numpy,2,2,13;28;16;58;29;24;8;62;51;55;21;61;43;0;48;14,16,7898524,,10,1.0,1.0
numpy,2,3,9;20;49;54;6;52;50;56;38;34;10;26;53;18;22;30,16,7846065,,10,1.0,1.0
