engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
torch-cuda,0,0,13;11;19;46;37;27;7;15;41;50;24;8;17;23;60;49,16,8019450,7974815,10,1.0,1.0
torch-cuda,0,1,22;25;3;16;34;31;9;12;14;2;29;30;33;53;44;35,16,331691,287712,10,1.0,1.0
torch-cuda,0,2,43;55;21;39;1;56;32;45;54;18;10;51;0;47;5;63,16,322513,277056,10,1.0,1.0
torch-cuda,0,3,38;48;52;20;58;61;6;59;57;62;40;28;42;26;36;4,16,309609,267679,10,1.0,1.0
torch-cuda,1,0,16;14;4;36;26;30;3;32;15;10;38;24;59;54;2;34,16,327112,285728,10,1.0,1.0
torch-cuda,1,1,0;50;29;13;52;55;18;31;12;7;40;35;22;27;6;57,16,325830,285728,10,1.0,1.0
torch-cuda,1,2,8;42;1;61;62;11;20;45;5;46;56;41;44;58;43;51,16,314088,273023,10,1.0,1.0
torch-cuda,1,3,48;9;19;60;23;39;28;33;37;47;25;63;17;53;21;49,16,320189,278207,10,1.0,1.0
torch-cuda,2,0,3;5;37;7;31;45;15;12;57;25;59;19;27;17;46;40,16,323595,281664,10,1.0,1.0
torch-cuda,2,1,41;4;11;23;36;44;35;39;1;2;32;60;42;47;33;63,16,314568,273663,10,1.0,1.0
torch-cuda,2,2,13;28;16;58;29;24;8;62;51;55;21;61;43;0;48;14,16,317824,277087,10,1.0,1.0
torch-cuda,2,3,9;20;49;54;6;52;50;56;38;34;10;26;53;18;22;30,16,306964,266463,10,1.0,1.0
