engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
faiss-flat,0,0,13,1,21810,,10,1.0,1.0
faiss-flat,0,1,11,1,25408,,10,1.0,1.0
faiss-flat,0,2,19,1,24866,,10,1.0,1.0
faiss-flat,0,3,46,1,23604,,10,1.0,1.0
faiss-flat,0,4,37,1,23034,,10,1.0,1.0
faiss-flat,0,5,27,1,23454,,10,1.0,1.0
faiss-flat,0,6,7,1,22763,,10,1.0,1.0
faiss-flat,0,7,15,1,28233,,10,1.0,1.0
faiss-flat,0,8,41,1,23884,,10,1.0,1.0
faiss-flat,0,9,50,1,22682,,10,1.0,1.0
faiss-flat,0,10,24,1,22632,,10,1.0,1.0
faiss-flat,0,11,8,1,22582,,10,1.0,1.0
faiss-flat,0,12,17,1,22522,,10,1.0,1.0
faiss-flat,0,13,23,1,22382,,10,1.0,1.0
faiss-flat,0,14,60,1,22171,,10,1.0,1.0
faiss-flat,0,15,49,1,22131,,10,1.0,1.0
faiss-flat,0,16,22,1,22332,,10,1.0,1.0
faiss-flat,0,17,25,1,21921,,10,1.0,1.0
faiss-flat,0,18,3,1,21621,,10,1.0,1.0
faiss-flat,0,19,16,1,21991,,10,1.0,1.0
faiss-flat,0,20,34,1,22332,,10,1.0,1.0
faiss-flat,0,21,31,1,22262,,10,1.0,1.0
faiss-flat,0,22,9,1,22021,,10,1.0,1.0
faiss-flat,0,23,12,1,22191,,10,1.0,1.0
faiss-flat,0,24,14,1,28393,,10,1.0,1.0
faiss-flat,0,25,2,1,26469,,10,1.0,1.0
faiss-flat,0,26,29,1,23144,,10,1.0,1.0
faiss-flat,0,27,30,1,22362,,10,1.0,1.0
faiss-flat,0,28,33,1,22422,,10,1.0,1.0
faiss-flat,0,29,53,1,22101,,10,1.0,1.0
faiss-flat,0,30,44,1,22272,,10,1.0,1.0
faiss-flat,0,31,35,1,21670,,10,1.0,1.0
faiss-flat,0,32,43,1,22863,,10,1.0,1.0
faiss-flat,0,33,55,1,22873,,10,1.0,1.0
faiss-flat,0,34,21,1,22291,,10,1.0,1.0
faiss-flat,0,35,39,1,23213,,10,1.0,1.0
faiss-flat,0,36,1,1,22222,,10,1.0,1.0
faiss-flat,0,37,56,1,21701,,10,1.0,1.0
faiss-flat,0,38,32,1,25427,,10,1.0,1.0
faiss-flat,0,39,45,1,23304,,10,1.0,1.0
faiss-flat,0,40,54,1,22632,,10,1.0,1.0
faiss-flat,0,41,18,1,27973,,10,1.0,1.0
faiss-flat,0,42,10,1,23714,,10,1.0,1.0
faiss-flat,0,43,51,1,22503,,10,1.0,1.0
faiss-flat,0,44,0,1,21931,,10,1.0,1.0
faiss-flat,0,45,47,1,21860,,10,1.0,1.0
faiss-flat,0,46,5,1,21840,,10,1.0,1.0
faiss-flat,0,47,63,1,25397,,10,1.0,1.0
faiss-flat,0,48,38,1,22301,,10,1.0,1.0
faiss-flat,0,49,48,1,22342,,10,1.0,1.0
faiss-flat,0,50,52,1,22041,,10,1.0,1.0
faiss-flat,0,51,20,1,22132,,10,1.0,1.0
faiss-flat,0,52,58,1,22021,,10,1.0,1.0
faiss-flat,0,53,61,1,21931,,10,1.0,1.0
faiss-flat,0,54,6,1,21640,,10,1.0,1.0
faiss-flat,0,55,59,1,21761,,10,1.0,1.0
faiss-flat,0,56,57,1,24746,,10,1.0,1.0
faiss-flat,0,57,62,1,22342,,10,1.0,1.0
faiss-flat,0,58,40,1,22042,,10,1.0,1.0
faiss-flat,0,59,28,1,29104,,10,1.0,1.0
faiss-flat,0,60,42,1,22402,,10,1.0,1.0
faiss-flat,0,61,26,1,22863,,10,1.0,1.0
faiss-flat,0,62,36,1,22271,,10,1.0,1.0
faiss-flat,0,63,4,1,22442,,10,1.0,1.0
faiss-flat,1,0,16,1,27632,,10,1.0,1.0
faiss-flat,1,1,14,1,23253,,10,1.0,1.0
faiss-flat,1,2,4,1,22432,,10,1.0,1.0
faiss-flat,1,3,36,1,22322,,10,1.0,1.0
faiss-flat,1,4,26,1,22172,,10,1.0,1.0
faiss-flat,1,5,30,1,22301,,10,1.0,1.0
faiss-flat,1,6,3,1,22331,,10,1.0,1.0
faiss-flat,1,7,32,1,22563,,10,1.0,1.0
faiss-flat,1,8,15,1,22291,,10,1.0,1.0
faiss-flat,1,9,10,1,22211,,10,1.0,1.0
faiss-flat,1,10,38,1,22682,,10,1.0,1.0
faiss-flat,1,11,24,1,22171,,10,1.0,1.0
faiss-flat,1,12,59,1,27631,,10,1.0,1.0
faiss-flat,1,13,54,1,27973,,10,1.0,1.0
faiss-flat,1,14,2,1,24596,,10,1.0,1.0
faiss-flat,1,15,34,1,22552,,10,1.0,1.0
faiss-flat,1,16,0,1,22442,,10,1.0,1.0
faiss-flat,1,17,50,1,22092,,10,1.0,1.0
faiss-flat,1,18,29,1,22292,,10,1.0,1.0
faiss-flat,1,19,13,1,22211,,10,1.0,1.0
faiss-flat,1,20,52,1,21901,,10,1.0,1.0
faiss-flat,1,21,55,1,21981,,10,1.0,1.0
faiss-flat,1,22,18,1,22753,,10,1.0,1.0
faiss-flat,1,23,31,1,21931,,10,1.0,1.0
faiss-flat,1,24,12,1,21641,,10,1.0,1.0
faiss-flat,1,25,7,1,21490,,10,1.0,1.0
faiss-flat,1,26,40,1,21450,,10,1.0,1.0
faiss-flat,1,27,35,1,21240,,10,1.0,1.0
faiss-flat,1,28,22,1,22181,,10,1.0,1.0
faiss-flat,1,29,27,1,22201,,10,1.0,1.0
faiss-flat,1,30,6,1,58840,,10,1.0,1.0
faiss-flat,1,31,57,1,23564,,10,1.0,1.0
faiss-flat,1,32,8,1,23504,,10,1.0,1.0
faiss-flat,1,33,42,1,23685,,10,1.0,1.0
faiss-flat,1,34,1,1,22422,,10,1.0,1.0
faiss-flat,1,35,61,1,22202,,10,1.0,1.0
faiss-flat,1,36,62,1,22292,,10,1.0,1.0
faiss-flat,1,37,11,1,21781,,10,1.0,1.0
faiss-flat,1,38,20,1,22402,,10,1.0,1.0
faiss-flat,1,39,45,1,22021,,10,1.0,1.0
faiss-flat,1,40,5,1,25357,,10,1.0,1.0
faiss-flat,1,41,46,1,23274,,10,1.0,1.0
faiss-flat,1,42,56,1,21992,,10,1.0,1.0
faiss-flat,1,43,41,1,22462,,10,1.0,1.0
faiss-flat,1,44,44,1,21961,,10,1.0,1.0
faiss-flat,1,45,58,1,21901,,10,1.0,1.0
faiss-flat,1,46,43,1,21771,,10,1.0,1.0
faiss-flat,1,47,51,1,27993,,10,1.0,1.0
faiss-flat,1,48,48,1,22292,,10,1.0,1.0
faiss-flat,1,49,9,1,21831,,10,1.0,1.0
faiss-flat,1,50,19,1,24045,,10,1.0,1.0
faiss-flat,1,51,60,1,21871,,10,1.0,1.0
faiss-flat,1,52,23,1,21611,,10,1.0,1.0
faiss-flat,1,53,39,1,21470,,10,1.0,1.0
faiss-flat,1,54,28,1,21720,,10,1.0,1.0
faiss-flat,1,55,33,1,21931,,10,1.0,1.0
faiss-flat,1,56,37,1,21650,,10,1.0,1.0
faiss-flat,1,57,47,1,21430,,10,1.0,1.0
faiss-flat,1,58,25,1,21680,,10,1.0,1.0
faiss-flat,1,59,63,1,21661,,10,1.0,1.0
faiss-flat,1,60,17,1,25278,,10,1.0,1.0
faiss-flat,1,61,53,1,22432,,10,1.0,1.0
faiss-flat,1,62,21,1,21841,,10,1.0,1.0
faiss-flat,1,63,49,1,21901,,10,1.0,1.0
faiss-flat,2,0,3,1,23514,,10,1.0,1.0
faiss-flat,2,1,5,1,26319,,10,1.0,1.0
faiss-flat,2,2,37,1,21651,,10,1.0,1.0
faiss-flat,2,3,7,1,21670,,10,1.0,1.0
faiss-flat,2,4,31,1,21771,,10,1.0,1.0
faiss-flat,2,5,45,1,21851,,10,1.0,1.0
faiss-flat,2,6,15,1,21400,,10,1.0,1.0
faiss-flat,2,7,12,1,21660,,10,1.0,1.0
faiss-flat,2,8,57,1,21640,,10,1.0,1.0
faiss-flat,2,9,25,1,21531,,10,1.0,1.0
faiss-flat,2,10,59,1,21711,,10,1.0,1.0
faiss-flat,2,11,19,1,21861,,10,1.0,1.0
faiss-flat,2,12,27,1,22032,,10,1.0,1.0
faiss-flat,2,13,17,1,21280,,10,1.0,1.0
faiss-flat,2,14,46,1,26159,,10,1.0,1.0
faiss-flat,2,15,40,1,21730,,10,1.0,1.0
faiss-flat,2,16,41,1,22251,,10,1.0,1.0
faiss-flat,2,17,4,1,21530,,10,1.0,1.0
faiss-flat,2,18,11,1,21590,,10,1.0,1.0
faiss-flat,2,19,23,1,28784,,10,1.0,1.0
faiss-flat,2,20,36,1,23013,,10,1.0,1.0
faiss-flat,2,21,44,1,22071,,10,1.0,1.0
faiss-flat,2,22,35,1,21270,,10,1.0,1.0
faiss-flat,2,23,39,1,21821,,10,1.0,1.0
faiss-flat,2,24,1,1,21591,,10,1.0,1.0
faiss-flat,2,25,2,1,21530,,10,1.0,1.0
faiss-flat,2,26,32,1,21720,,10,1.0,1.0
faiss-flat,2,27,60,1,21770,,10,1.0,1.0
faiss-flat,2,28,42,1,21520,,10,1.0,1.0
faiss-flat,2,29,47,1,21560,,10,1.0,1.0
faiss-flat,2,30,33,1,21360,,10,1.0,1.0
faiss-flat,2,31,63,1,22663,,10,1.0,1.0
faiss-flat,2,32,13,1,25899,,10,1.0,1.0
faiss-flat,2,33,28,1,21761,,10,1.0,1.0
faiss-flat,2,34,16,1,24075,,10,1.0,1.0
faiss-flat,2,35,58,1,22041,,10,1.0,1.0
faiss-flat,2,36,29,1,22813,,10,1.0,1.0
faiss-flat,2,37,24,1,26609,,10,1.0,1.0
faiss-flat,2,38,8,1,22121,,10,1.0,1.0
faiss-flat,2,39,62,1,21610,,10,1.0,1.0
faiss-flat,2,40,51,1,21681,,10,1.0,1.0
faiss-flat,2,41,55,1,21981,,10,1.0,1.0
faiss-flat,2,42,21,1,21530,,10,1.0,1.0
faiss-flat,2,43,61,1,22141,,10,1.0,1.0
faiss-flat,2,44,43,1,21490,,10,1.0,1.0
faiss-flat,2,45,0,1,21770,,10,1.0,1.0
faiss-flat,2,46,48,1,22001,,10,1.0,1.0
faiss-flat,2,47,14,1,21761,,10,1.0,1.0
faiss-flat,2,48,9,1,21830,,10,1.0,1.0
faiss-flat,2,49,20,1,21870,,10,1.0,1.0
faiss-flat,2,50,49,1,21870,,10,1.0,1.0
faiss-flat,2,51,54,1,21570,,10,1.0,1.0
faiss-flat,2,52,6,1,21170,,10,1.0,1.0
faiss-flat,2,53,52,1,21420,,10,1.0,1.0
faiss-flat,2,54,50,1,22763,,10,1.0,1.0
faiss-flat,2,55,56,1,27090,,10,1.0,1.0
faiss-flat,2,56,38,1,22532,,10,1.0,1.0
faiss-flat,2,57,34,1,21991,,10,1.0,1.0
