engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
torch-cpu,0,0,13,1,77926,,10,1.0,1.0
torch-cpu,0,1,11,1,94326,,10,1.0,1.0
torch-cpu,0,2,19,1,96881,,10,1.0,1.0
torch-cpu,0,3,46,1,93555,,10,1.0,1.0
torch-cpu,0,4,37,1,93054,,10,1.0,1.0
torch-cpu,0,5,27,1,93414,,10,1.0,1.0
torch-cpu,0,6,7,1,92974,,10,1.0,1.0
torch-cpu,0,7,15,1,93114,,10,1.0,1.0
torch-cpu,0,8,41,1,98644,,10,1.0,1.0
torch-cpu,0,9,50,1,92724,,10,1.0,1.0
torch-cpu,0,10,24,1,92754,,10,1.0,1.0
torch-cpu,0,11,8,1,91731,,10,1.0,1.0
torch-cpu,0,12,17,1,91762,,10,1.0,1.0
torch-cpu,0,13,23,1,91672,,10,1.0,1.0
torch-cpu,0,14,60,1,90749,,10,1.0,1.0
torch-cpu,0,15,49,1,94176,,10,1.0,1.0
torch-cpu,0,16,22,1,90529,,10,1.0,1.0
torch-cpu,0,17,25,1,90991,,10,1.0,1.0
torch-cpu,0,18,3,1,90860,,10,1.0,1.0
torch-cpu,0,19,16,1,91861,,10,1.0,1.0
torch-cpu,0,20,34,1,91731,,10,1.0,1.0
torch-cpu,0,21,31,1,97362,,10,1.0,1.0
torch-cpu,0,22,9,1,92242,,10,1.0,1.0
torch-cpu,0,23,12,1,90870,,10,1.0,1.0
torch-cpu,0,24,14,1,94887,,10,1.0,1.0
torch-cpu,0,25,2,1,94397,,10,1.0,1.0
torch-cpu,0,26,29,1,90990,,10,1.0,1.0
torch-cpu,0,27,30,1,91291,,10,1.0,1.0
torch-cpu,0,28,33,1,99476,,10,1.0,1.0
torch-cpu,0,29,53,1,91952,,10,1.0,1.0
torch-cpu,0,30,44,1,91672,,10,1.0,1.0
torch-cpu,0,31,35,1,91972,,10,1.0,1.0
torch-cpu,0,32,43,1,91652,,10,1.0,1.0
torch-cpu,0,33,55,1,93084,,10,1.0,1.0
torch-cpu,0,34,21,1,91452,,10,1.0,1.0
torch-cpu,0,35,39,1,93295,,10,1.0,1.0
torch-cpu,0,36,1,1,96561,,10,1.0,1.0
torch-cpu,0,37,56,1,91330,,10,1.0,1.0
torch-cpu,0,38,32,1,91411,,10,1.0,1.0
torch-cpu,0,39,45,1,91391,,10,1.0,1.0
torch-cpu,0,40,54,1,91722,,10,1.0,1.0
torch-cpu,0,41,18,1,98163,,10,1.0,1.0
torch-cpu,0,42,10,1,91902,,10,1.0,1.0
torch-cpu,0,43,51,1,91341,,10,1.0,1.0
torch-cpu,0,44,0,1,91902,,10,1.0,1.0
torch-cpu,0,45,47,1,90819,,10,1.0,1.0
