engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
torch-cuda,0,0,13,1,268292,230015,10,1.0,1.0
torch-cuda,0,1,11,1,286126,245631,10,1.0,1.0
torch-cuda,0,2,19,1,282428,242047,10,1.0,1.0
torch-cuda,0,3,46,1,275997,236287,10,1.0,1.0
torch-cuda,0,4,37,1,278371,239040,10,1.0,1.0
torch-cuda,0,5,27,1,270376,231775,10,1.0,1.0
torch-cuda,0,6,7,1,272239,233439,10,1.0,1.0
torch-cuda,0,7,15,1,277328,238624,10,1.0,1.0
torch-cuda,0,8,41,1,293328,246207,10,1.0,1.0
torch-cuda,0,9,50,1,272159,233344,10,1.0,1.0
torch-cuda,0,10,24,1,284021,239104,10,1.0,1.0
torch-cuda,0,11,8,1,269705,230816,10,1.0,1.0
torch-cuda,0,12,17,1,270086,230560,10,1.0,1.0
torch-cuda,0,13,23,1,274333,235264,10,1.0,1.0
torch-cuda,0,14,60,1,268973,230304,10,1.0,1.0
torch-cuda,0,15,49,1,272239,234080,10,1.0,1.0
torch-cuda,0,16,22,1,271658,232255,10,1.0,1.0
torch-cuda,0,17,25,1,269284,231360,10,1.0,1.0
torch-cuda,0,18,3,1,268342,230015,10,1.0,1.0
torch-cuda,0,19,16,1,270205,231488,10,1.0,1.0
torch-cuda,0,20,34,1,268131,229632,10,1.0,1.0
torch-cuda,0,21,31,1,272350,234559,10,1.0,1.0
torch-cuda,0,22,9,1,271368,232191,10,1.0,1.0
torch-cuda,0,23,12,1,293399,250528,10,1.0,1.0
torch-cuda,0,24,14,1,277799,238815,10,1.0,1.0
torch-cuda,0,25,2,1,272941,233983,10,1.0,1.0
torch-cuda,0,26,29,1,274644,231935,10,1.0,1.0
torch-cuda,0,27,30,1,276077,230432,10,1.0,1.0
torch-cuda,0,28,33,1,273651,233952,10,1.0,1.0
torch-cuda,0,29,53,1,273933,235679,10,1.0,1.0
torch-cuda,0,30,44,1,273892,230527,10,1.0,1.0
torch-cuda,0,31,35,1,269514,230943,10,1.0,1.0
torch-cuda,0,32,43,1,282939,243647,10,1.0,1.0
torch-cuda,0,33,55,1,281917,240447,10,1.0,1.0
torch-cuda,0,34,21,1,268913,229696,10,1.0,1.0
torch-cuda,0,35,39,1,268162,229760,10,1.0,1.0
torch-cuda,0,36,1,1,277680,238591,10,1.0,1.0
torch-cuda,0,37,56,1,273742,231839,10,1.0,1.0
torch-cuda,0,38,32,1,276607,236895,10,1.0,1.0
torch-cuda,0,39,45,1,273292,234367,10,1.0,1.0
torch-cuda,0,40,54,1,268682,230112,10,1.0,1.0
torch-cuda,0,41,18,1,279482,240352,10,1.0,1.0
torch-cuda,0,42,10,1,273983,235231,10,1.0,1.0
torch-cuda,0,43,51,1,285724,245151,10,1.0,1.0
torch-cuda,0,44,0,1,269183,230271,10,1.0,1.0
torch-cuda,0,45,47,1,298048,251711,10,1.0,1.0
torch-cuda,0,46,5,1,268973,230560,10,1.0,1.0
torch-cuda,0,47,63,1,269965,231935,10,1.0,1.0
torch-cuda,0,48,38,1,278290,240160,10,1.0,1.0
torch-cuda,0,49,48,1,270196,231711,10,1.0,1.0
torch-cuda,0,50,52,1,273782,235136,10,1.0,1.0
torch-cuda,0,51,20,1,277569,239583,10,1.0,1.0
torch-cuda,0,52,58,1,278932,232383,10,1.0,1.0
torch-cuda,0,53,61,1,291685,251679,10,1.0,1.0
torch-cuda,0,54,6,1,277008,238143,10,1.0,1.0
torch-cuda,0,55,59,1,270747,231519,10,1.0,1.0
