engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
numpy,0,0,13,1,57267,,10,1.0,1.0
numpy,0,1,11,1,59551,,10,1.0,1.0
numpy,0,2,19,1,61235,,10,1.0,1.0
numpy,0,3,46,1,58470,,10,1.0,1.0
numpy,0,4,37,1,64631,,10,1.0,1.0
numpy,0,5,27,1,58389,,10,1.0,1.0
numpy,0,6,7,1,58019,,10,1.0,1.0
numpy,0,7,15,1,56977,,10,1.0,1.0
numpy,0,8,41,1,57317,,10,1.0,1.0
numpy,0,9,50,1,59662,,10,1.0,1.0
numpy,0,10,24,1,57397,,10,1.0,1.0
numpy,0,11,8,1,56826,,10,1.0,1.0
numpy,0,12,17,1,56595,,10,1.0,1.0
numpy,0,13,23,1,56867,,10,1.0,1.0
numpy,0,14,60,1,56886,,10,1.0,1.0
numpy,0,15,49,1,58519,,10,1.0,1.0
numpy,0,16,22,1,57537,,10,1.0,1.0
numpy,0,17,25,1,56375,,10,1.0,1.0
numpy,0,18,3,1,56115,,10,1.0,1.0
numpy,0,19,16,1,56505,,10,1.0,1.0
numpy,0,20,34,1,58189,,10,1.0,1.0
numpy,0,21,31,1,56556,,10,1.0,1.0
numpy,0,22,9,1,55664,,10,1.0,1.0
numpy,0,23,12,1,55835,,10,1.0,1.0
numpy,0,24,14,1,56476,,10,1.0,1.0
numpy,0,25,2,1,57017,,10,1.0,1.0
numpy,0,26,29,1,57647,,10,1.0,1.0
numpy,0,27,30,1,60654,,10,1.0,1.0
numpy,0,28,33,1,57458,,10,1.0,1.0
numpy,0,29,53,1,56585,,10,1.0,1.0
numpy,0,30,44,1,56105,,10,1.0,1.0
numpy,0,31,35,1,55754,,10,1.0,1.0
numpy,0,32,43,1,56746,,10,1.0,1.0
numpy,0,33,55,1,57297,,10,1.0,1.0
numpy,0,34,21,1,56115,,10,1.0,1.0
numpy,0,35,39,1,55845,,10,1.0,1.0
numpy,0,36,1,1,62647,,10,1.0,1.0
numpy,0,37,56,1,56996,,10,1.0,1.0
numpy,0,38,32,1,56756,,10,1.0,1.0
numpy,0,39,45,1,56055,,10,1.0,1.0
numpy,0,40,54,1,56706,,10,1.0,1.0
numpy,0,41,18,1,58209,,10,1.0,1.0
numpy,0,42,10,1,56746,,10,1.0,1.0
numpy,0,43,51,1,56255,,10,1.0,1.0
numpy,0,44,0,1,56275,,10,1.0,1.0
numpy,0,45,47,1,57778,,10,1.0,1.0
numpy,0,46,5,1,57127,,10,1.0,1.0
numpy,0,47,63,1,62727,,10,1.0,1.0
numpy,0,48,38,1,58550,,10,1.0,1.0
numpy,0,49,48,1,56967,,10,1.0,1.0
numpy,0,50,52,1,56436,,10,1.0,1.0
numpy,0,51,20,1,56876,,10,1.0,1.0
numpy,0,52,58,1,58380,,10,1.0,1.0
numpy,0,53,61,1,56756,,10,1.0,1.0
numpy,0,54,6,1,56516,,10,1.0,1.0
numpy,0,55,59,1,57608,,10,1.0,1.0
numpy,0,56,57,1,56966,,10,1.0,1.0
numpy,0,57,62,1,56075,,10,1.0,1.0
numpy,0,58,40,1,61435,,10,1.0,1.0
numpy,0,59,28,1,59882,,10,1.0,1.0
numpy,0,60,42,1,57107,,10,1.0,1.0
numpy,0,61,26,1,57227,,10,1.0,1.0
numpy,0,62,36,1,64420,,10,1.0,1.0
numpy,0,63,4,1,57117,,10,1.0,1.0
numpy,1,0,16,1,59231,,10,1.0,1.0
numpy,1,1,14,1,57067,,10,1.0,1.0
numpy,1,2,4,1,50284,,10,1.0,1.0
numpy,1,3,36,1,54602,,10,1.0,1.0
numpy,1,4,26,1,55564,,10,1.0,1.0
numpy,1,5,30,1,63309,,10,1.0,1.0
numpy,1,6,3,1,57037,,10,1.0,1.0
numpy,1,7,32,1,56415,,10,1.0,1.0
numpy,1,8,15,1,57157,,10,1.0,1.0
numpy,1,9,10,1,56586,,10,1.0,1.0
numpy,1,10,38,1,56215,,10,1.0,1.0
numpy,1,11,24,1,56426,,10,1.0,1.0
numpy,1,12,59,1,56566,,10,1.0,1.0
numpy,1,13,54,1,56565,,10,1.0,1.0
numpy,1,14,2,1,57187,,10,1.0,1.0
numpy,1,15,34,1,56846,,10,1.0,1.0
numpy,1,16,0,1,66765,,10,1.0,1.0
numpy,1,17,50,1,58019,,10,1.0,1.0
numpy,1,18,29,1,59562,,10,1.0,1.0
numpy,1,19,13,1,56586,,10,1.0,1.0
numpy,1,20,52,1,56185,,10,1.0,1.0
numpy,1,21,55,1,56586,,10,1.0,1.0
numpy,1,22,18,1,56827,,10,1.0,1.0
numpy,1,23,31,1,57117,,10,1.0,1.0
numpy,1,24,12,1,56125,,10,1.0,1.0
numpy,1,25,7,1,56466,,10,1.0,1.0
numpy,1,26,40,1,56546,,10,1.0,1.0
numpy,1,27,35,1,62296,,10,1.0,1.0
numpy,1,28,22,1,61966,,10,1.0,1.0
numpy,1,29,27,1,58208,,10,1.0,1.0
numpy,1,30,6,1,56806,,10,1.0,1.0
numpy,1,31,57,1,57327,,10,1.0,1.0
numpy,1,32,8,1,57968,,10,1.0,1.0
numpy,1,33,42,1,57498,,10,1.0,1.0
numpy,1,34,1,1,57227,,10,1.0,1.0
numpy,1,35,61,1,56475,,10,1.0,1.0
numpy,1,36,62,1,57989,,10,1.0,1.0
numpy,1,37,11,1,56766,,10,1.0,1.0
numpy,1,38,20,1,63328,,10,1.0,1.0
numpy,1,39,45,1,58380,,10,1.0,1.0
numpy,1,40,5,1,57297,,10,1.0,1.0
numpy,1,41,46,1,57077,,10,1.0,1.0
numpy,1,42,56,1,57428,,10,1.0,1.0
numpy,1,43,41,1,56856,,10,1.0,1.0
numpy,1,44,44,1,58429,,10,1.0,1.0
numpy,1,45,58,1,58009,,10,1.0,1.0
numpy,1,46,43,1,57037,,10,1.0,1.0
numpy,1,47,51,1,56976,,10,1.0,1.0
numpy,1,48,48,1,56596,,10,1.0,1.0
numpy,1,49,9,1,62477,,10,1.0,1.0
numpy,1,50,19,1,57197,,10,1.0,1.0
numpy,1,51,60,1,56325,,10,1.0,1.0
numpy,1,52,23,1,56356,,10,1.0,1.0
numpy,1,53,39,1,56696,,10,1.0,1.0
numpy,1,54,28,1,56666,,10,1.0,1.0
numpy,1,55,33,1,57077,,10,1.0,1.0
numpy,1,56,37,1,57458,,10,1.0,1.0
numpy,1,57,47,1,56465,,10,1.0,1.0
numpy,1,58,25,1,56285,,10,1.0,1.0
numpy,1,59,63,1,56516,,10,1.0,1.0
numpy,1,60,17,1,64490,,10,1.0,1.0
numpy,1,61,53,1,57086,,10,1.0,1.0
numpy,1,62,21,1,56476,,10,1.0,1.0
numpy,1,63,49,1,56686,,10,1.0,1.0
numpy,2,0,3,1,58239,,10,1.0,1.0
numpy,2,1,5,1,56806,,10,1.0,1.0
numpy,2,2,37,1,61104,,10,1.0,1.0
numpy,2,3,7,1,56645,,10,1.0,1.0
numpy,2,4,31,1,56356,,10,1.0,1.0
numpy,2,5,45,1,56336,,10,1.0,1.0
numpy,2,6,15,1,56175,,10,1.0,1.0
numpy,2,7,12,1,62867,,10,1.0,1.0
numpy,2,8,57,1,57247,,10,1.0,1.0
numpy,2,9,25,1,60984,,10,1.0,1.0
numpy,2,10,59,1,62877,,10,1.0,1.0
numpy,2,11,19,1,57146,,10,1.0,1.0
numpy,2,12,27,1,56466,,10,1.0,1.0
numpy,2,13,17,1,56676,,10,1.0,1.0
numpy,2,14,46,1,56376,,10,1.0,1.0
numpy,2,15,40,1,55824,,10,1.0,1.0
numpy,2,16,41,1,56656,,10,1.0,1.0
numpy,2,17,4,1,57438,,10,1.0,1.0
numpy,2,18,11,1,62697,,10,1.0,1.0
numpy,2,19,23,1,57137,,10,1.0,1.0
numpy,2,20,36,1,57327,,10,1.0,1.0
numpy,2,21,44,1,56827,,10,1.0,1.0
numpy,2,22,35,1,56205,,10,1.0,1.0
numpy,2,23,39,1,56055,,10,1.0,1.0
numpy,2,24,1,1,56847,,10,1.0,1.0
numpy,2,25,2,1,56876,,10,1.0,1.0
numpy,2,26,32,1,56997,,10,1.0,1.0
numpy,2,27,60,1,59771,,10,1.0,1.0
numpy,2,28,42,1,57728,,10,1.0,1.0
numpy,2,29,47,1,61585,,10,1.0,1.0
numpy,2,30,33,1,61725,,10,1.0,1.0
numpy,2,31,63,1,56315,,10,1.0,1.0
numpy,2,32,13,1,56065,,10,1.0,1.0
numpy,2,33,28,1,56235,,10,1.0,1.0
numpy,2,34,16,1,57477,,10,1.0,1.0
numpy,2,35,58,1,58319,,10,1.0,1.0
numpy,2,36,29,1,57448,,10,1.0,1.0
numpy,2,37,24,1,57508,,10,1.0,1.0
numpy,2,38,8,1,55774,,10,1.0,1.0
numpy,2,39,62,1,56466,,10,1.0,1.0
numpy,2,40,51,1,73708,,10,1.0,1.0
numpy,2,41,55,1,59912,,10,1.0,1.0
numpy,2,42,21,1,56295,,10,1.0,1.0
numpy,2,43,61,1,57558,,10,1.0,1.0
numpy,2,44,43,1,56386,,10,1.0,1.0
numpy,2,45,0,1,56115,,10,1.0,1.0
numpy,2,46,48,1,56115,,10,1.0,1.0
numpy,2,47,14,1,57107,,10,1.0,1.0
numpy,2,48,9,1,56025,,10,1.0,1.0
numpy,2,49,20,1,56356,,10,1.0,1.0
numpy,2,50,49,1,56896,,10,1.0,1.0
numpy,2,51,54,1,62277,,10,1.0,1.0
numpy,2,52,6,1,57948,,10,1.0,1.0
numpy,2,53,52,1,56445,,10,1.0,1.0
numpy,2,54,50,1,56916,,10,1.0,1.0
numpy,2,55,56,1,56265,,10,1.0,1.0
numpy,2,56,38,1,57938,,10,1.0,1.0
numpy,2,57,34,1,56416,,10,1.0,1.0
numpy,2,58,10,1,56516,,10,1.0,1.0
numpy,2,59,26,1,57358,,10,1.0,1.0
numpy,2,60,53,1,56145,,10,1.0,1.0
numpy,2,61,18,1,56265,,10,1.0,1.0
numpy,2,62,22,1,62376,,10,1.0,1.0
numpy,2,63,30,1,57287,,10,1.0,1.0
