run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15;41;50;24;8;17;23;60;49,16,67089292,10,1,1,160,100000,0,0,,546,16848325,,,4371196,,,Cpu,Cpu:16,320,Avx2Fma,,false,,1,,,,,,,,0,
0,1,22;25;3;16;34;31;9;12;14;2;29;30;33;53;44;35,16,68057514,10,1,1,160,100000,0,0,,546,16848325,,,4131949,,,Cpu,Cpu:16,8976,Avx2Fma,,false,,1,,,,,,,,0,
0,2,43;55;21;39;1;56;32;45;54;18;10;51;0;47;5;63,16,67832774,10,1,1,160,100000,0,0,,546,16848325,,,4108554,,,Cpu,Cpu:16,4176,Avx2Fma,,false,,1,,,,,,,,0,
0,3,38;48;52;20;58;61;6;59;57;62;40;28;42;26;36;4,16,66281211,10,1,1,160,100000,0,0,,546,16848325,,,4351028,,,Cpu,Cpu:16,5776,Avx2Fma,,false,,1,,,,,,,,0,
1,0,16;14;4;36;26;30;3;32;15;10;38;24;59;54;2;34,16,73372645,10,1,1,160,100000,0,0,,546,16848325,,,3953605,,,Cpu,Cpu:16,480,Avx2Fma,,false,,1,,,,,,,,0,
1,1,0;50;29;13;52;55;18;31;12;7;40;35;22;27;6;57,16,82716331,10,1,1,160,100000,0,0,,546,16848325,,,5345147,,,Cpu,Cpu:16,1600,Avx2Fma,,false,,1,,,,,,,,0,
1,2,8;42;1;61;62;11;20;45;5;46;56;41;44;58;43;51,16,82583173,10,1,1,160,100000,0,0,,546,16848325,,,5663263,,,Cpu,Cpu:16,1776,Avx2Fma,,false,,1,,,,,,,,0,
1,3,48;9;19;60;23;39;28;33;37;47;25;63;17;53;21;49,16,62810249,10,1,1,160,100000,0,0,,546,16848325,,,3928879,,,Cpu,Cpu:16,2720,Avx2Fma,,false,,1,,,,,,,,0,
2,0,3;5;37;7;31;45;15;12;57;25;59;19;27;17;46;40,16,62133073,10,1,1,160,100000,0,0,,546,16848325,,,3814855,,,Cpu,Cpu:16,3680,Avx2Fma,,false,,1,,,,,,,,0,
2,1,41;4;11;23;36;44;35;39;1;2;32;60;42;47;33;63,16,62159473,10,1,1,160,100000,0,0,,546,16848325,,,3789728,,,Cpu,Cpu:16,1600,Avx2Fma,,false,,1,,,,,,,,0,
2,2,13;28;16;58;29;24;8;62;51;55;21;61;43;0;48;14,16,64604305,10,1,1,160,100000,0,0,,546,16848325,,,3970115,,,Cpu,Cpu:16,3376,Avx2Fma,,false,,1,,,,,,,,0,
2,3,9;20;49;54;6;52;50;56;38;34;10;26;53;18;22;30,16,67599217,10,1,1,160,100000,0,0,,546,16848325,,,4267542,,,Cpu,Cpu:16,1600,Avx2Fma,,false,,1,,,,,,,,0,
