split,query_index,ids
tuning,0,15791;39109;80646;25018;82627;94263;93307;19361;67485;99699
tuning,1,53239;9070;83445;24028;54430;43072;22346;94672;93043;52795
tuning,2,18018;4502;49292;1273;79049;9019;79601;97909;15353;20918
tuning,3,55050;62857;74953;71187;87911;85445;86346;32206;25605;16565
tuning,4,77498;37023;84426;45301;23641;3594;17358;54678;19310;1991
tuning,5,31491;55879;69066;97194;29069;54310;31239;92712;1612;46792
tuning,6,59718;64105;4307;37010;7561;2975;52617;45845;77203;51228
tuning,7,70296;46766;85279;33265;26742;30089;57041;83503;81792;44025
tuning,8,91531;89261;46554;7606;93453;71161;44559;22825;55961;37552
tuning,9,13762;88000;77052;17572;58578;53730;12053;82759;11973;32715
tuning,10,30588;27259;71261;77480;94870;57773;26982;57929;78801;74756
tuning,11,61649;60332;27113;36098;11329;45082;36408;27144;15905;69854
tuning,12,49751;63546;80209;50904;14200;68712;47620;95740;77677;33148
tuning,13,91607;10255;35860;54576;99792;7861;97643;84526;56253;57102
tuning,14,85636;17901;833;97739;12626;95980;1112;81737;92550;62246
tuning,15,5978;98431;20546;50492;22124;48962;38601;62036;44865;62204
evaluation,0,7104;66499;9985;69195;11372;95483;60113;54082;27625;54866
evaluation,1,46651;40788;64391;53565;1240;38299;19139;47690;6461;24589
evaluation,2,88435;49233;4294;91571;75633;50598;53726;71564;34062;6798
evaluation,3,56691;3331;46947;94306;41512;49025;99019;11926;9721;59564
evaluation,4,26840;40099;75763;79516;26382;22768;61484;45092;97998;5069
evaluation,5,85933;65214;28215;79805;76303;87886;15872;45779;51967;72772
evaluation,6,80231;13053;34671;80232;79262;66815;4206;50934;95726;75070
evaluation,7,57845;39693;66938;29444;45590;59985;65660;44286;10334;22705
evaluation,8,86683;93089;20723;43907;55949;33794;31367;89532;59365;91036
evaluation,9,95749;90727;83352;39044;45330;80261;89805;51589;82766;23277
evaluation,10,90355;72050;2946;84281;97085;55654;84625;84506;9926;29707
evaluation,11,52140;34143;55549;62817;44671;31037;56146;32127;344;93974
evaluation,12,30194;73040;40552;85459;8590;49530;82064;16716;67402;73333
evaluation,13,59199;96042;99464;80060;70372;87754;81748;47191;50614;97622
evaluation,14,103;52340;54051;29344;5144;79353;49659;46570;31787;57336
evaluation,15,25928;30120;39665;92338;4513;90569;96379;35695;90294;3205
evaluation,16,32011;66466;51356;77788;76698;42271;57432;81574;84109;76284
evaluation,17,46142;88143;55024;84229;39510;92150;6397;78414;40983;85574
evaluation,18,75446;27436;19160;8070;30955;41168;99909;76752;12141;37832
evaluation,19,2644;17732;44139;62849;93588;74060;37653;3839;62979;8034
evaluation,20,34926;3436;13350;26736;52957;46922;13505;84621;53829;97789
evaluation,21,52081;47612;36835;17734;44754;97147;21798;28091;36656;87662
evaluation,22,67859;57612;88594;64534;93931;11828;96894;17589;60800;68059
evaluation,23,83342;17402;73408;18156;57668;4560;15031;49293;24135;56661
evaluation,24,95787;91066;32240;90646;47728;731;88267;25892;95522;57896
evaluation,25,98482;90072;14591;62700;71757;54598;42701;31881;81497;94907
evaluation,26,24652;96273;27051;21101;90020;84746;77854;54954;74827;20691
evaluation,27,31110;38828;10042;31890;10560;18042;93996;49002;59135;53859
evaluation,28,55766;12256;53055;93051;65040;54969;7600;5988;19165;8349
evaluation,29,18108;18333;52829;66717;98806;9774;41982;37475;25516;771
evaluation,30,64764;52425;20026;56703;64993;82493;34043;58181;20177;28553
evaluation,31,7430;1522;52558;5400;58572;53572;47577;83297;75680;1583
evaluation,32,5939;43758;73;36707;85947;30780;15368;37511;65094;60630
evaluation,33,2053;53049;34612;33667;59687;77142;43958;83121;14548;78470
evaluation,34,51712;37008;60263;1031;20182;33293;5995;13186;62468;21253
evaluation,35,85563;85191;74314;58325;26209;78910;40673;1506;32301;61851
evaluation,36,77139;62069;11930;17310;45464;55571;50515;64765;19455;34551
evaluation,37,69961;43698;52219;79693;36375;68752;5624;60414;55888;97038
evaluation,38,71016;71818;40566;39336;81583;95477;51475;86428;71142;718
evaluation,39,21175;29869;22613;32372;61882;95037;73164;92963;40294;28973
evaluation,40,34126;22537;41040;64911;27352;51863;30107;66465;93627;13211
evaluation,41,10940;12347;5803;86588;83135;90357;49300;57637;74532;64631
evaluation,42,19026;98562;48505;78801;18547;52568;20112;44138;50317;14982
