run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15;41;50;24;8;17;23;60;49,16,4095139,10,1,1,160,100000,6794240,41472,165519296,473,1206878,43983,3738402,4054172,2568672,1102496,Wgpu,Wgpu:16,1616,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,1,22;25;3;16;34;31;9;12;14;2;29;30;33;53;44;35,16,4031360,10,1,1,160,100000,6794240,41472,165519296,342,1190268,46467,3723414,3991846,2560992,1106880,Wgpu,Wgpu:16,1920,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,2,43;55;21;39;1;56;32;45;54;18;10;51;0;47;5;63,16,4015150,10,1,1,160,100000,6794240,41472,165519296,342,1190268,43171,3720388,3976387,2561952,1104960,Wgpu,Wgpu:16,1120,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,3,38;48;52;20;58;61;6;59;57;62;40;28;42;26;36;4,16,4024598,10,1,1,160,100000,6794240,41472,165519296,342,1190268,43001,3734024,3987799,2559328,1105312,Wgpu,Wgpu:16,640,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,0,16;14;4;36;26;30;3;32;15;10;38;24;59;54;2;34,16,4029236,10,1,1,160,100000,6794240,41472,165519296,342,1190268,43681,3733393,3993359,2560192,1105760,Wgpu,Wgpu:16,1440,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,1,0;50;29;13;52;55;18;31;12;7;40;35;22;27;6;57,16,4015701,10,1,1,160,100000,6794240,41472,165519296,342,1190268,42419,3732291,3978782,2560672,1105184,Wgpu,Wgpu:16,1120,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,2,8;42;1;61;62;11;20;45;5;46;56;41;44;58;43;51,16,4027483,10,1,1,160,100000,6794240,41472,165519296,342,1190268,42870,3736258,3984613,2560288,1104736,Wgpu,Wgpu:16,1296,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
1,3,48;9;19;60;23;39;28;33;37;47;25;63;17;53;21;49,16,4047861,10,1,1,160,100000,6794240,41472,165519296,342,1190268,48070,3721450,4009710,2560416,1105824,Wgpu,Wgpu:16,2080,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,0,3;5;37;7;31;45;15;12;57;25;59;19;27;17;46;40,16,4017354,10,1,1,160,100000,6794240,41472,165519296,342,1190268,43771,3721410,3981477,2560032,1105792,Wgpu,Wgpu:16,1600,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,1,41;4;11;23;36;44;35;39;1;2;32;60;42;47;33;63,16,3997477,10,1,1,160,100000,6794240,41472,165519296,342,1190268,42660,3714197,3964045,2559296,1101536,Wgpu,Wgpu:16,1120,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,2,13;28;16;58;29;24;8;62;51;55;21;61;43;0;48;14,16,4002426,10,1,1,160,100000,6794240,41472,165519296,342,1190268,42810,3719226,3968012,2560800,1104640,Wgpu,Wgpu:16,1920,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
2,3,9;20;49;54;6;52;50;56;38;34;10;26;53;18;22;30,16,4008297,10,1,1,160,100000,6794240,41472,165519296,342,1190268,42220,3722652,3974564,2560160,1108960,Wgpu,Wgpu:16,800,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
