host,engine,E,sel_ms,score_ms,p50_ms
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.24304,0.02016,0.712179
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.237056,0.01984,0.708419
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.236416,0.02,0.709099
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.23536,0.019584,0.706269
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.210464,0.018112,0.680029
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.102976,0.010304,0.42292
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.12416,0.011776,0.369739
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.204864,0.017568,0.679909
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.251264,0.0208,0.722379
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.25056,0.020544,0.726719
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100,0.017888,0.005664,0.185799
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100,0.704352,0.022688,0.996149
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100,0.01792,0.005696,0.192929
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100,0.704352,0.022688,0.990439
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100,0.017888,0.0056,0.18531
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100,0.704352,0.022688,1.007229
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100,0.017888,0.0056,0.18298
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100,0.704352,0.022688,1.005118
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100,0.017888,0.0056,0.183299
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100,0.704352,0.022688,0.989038
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,1000,0.055648,0.009504,0.284929
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,1000,0.710816,0.023744,1.053958
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,1000,0.053376,0.00912,0.287539
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,1000,0.710784,0.023744,1.032587
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,1000,0.05328,0.009152,0.284009
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,1000,0.710784,0.023744,1.046297
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,1000,0.06464,0.010368,0.338768
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,1000,0.710848,0.023744,1.047478
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,1000,0.051008,0.00848,0.28552
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,1000,0.710816,0.023744,1.059588
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,10000,0.421952,0.028096,1.377038
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,10000,0.702656,0.033184,1.687717
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,10000,0.336704,0.021792,1.099519
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,10000,0.702656,0.033184,1.670928
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,10000,0.450944,0.02992,1.467318
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,10000,0.702624,0.033184,1.709677
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,10000,0.51216,0.034176,1.567658
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,10000,0.702624,0.033184,1.693638
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,10000,0.439616,0.029088,1.515378
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,10000,0.702624,0.033184,1.669117
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100000,1.054944,0.16672,2.549297
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100000,0.696608,0.16768,1.520448
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100000,1.044704,0.16672,1.946018
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100000,0.700032,0.16768,1.542658
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100000,1.044384,0.16672,2.556797
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100000,0.695456,0.16768,1.536918
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100000,1.044416,0.16672,2.570178
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100000,0.69552,0.16768,1.547488
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100000,1.044224,0.16672,2.396799
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100000,0.694944,0.167648,1.535089
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.198368,0.017024,0.646859
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,3000,0.711168,0.026112,1.182768
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.133344,0.012448,0.421739
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,3000,0.711136,0.026112,1.084968
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.098208,0.009728,0.437859
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,3000,0.7112,0.026112,1.191718
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.243424,0.020288,0.718679
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,3000,0.711168,0.026112,1.156058
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,0.102592,0.010272,0.44453
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,3000,0.7112,0.026112,1.159559
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,30000,1.128704,0.103552,3.880835
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,30000,1.293552,0.10352,4.255435
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,30000,1.108224,0.102496,3.636226
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,30000,1.304816,0.104448,4.248764
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,30000,1.182768,0.106112,4.333374
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,30000,1.376384,0.108576,4.350814
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,30000,1.296128,0.108544,4.494063
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,30000,1.376704,0.108512,4.346924
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,30000,1.296032,0.108384,4.428123
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,30000,1.385792,0.108896,4.354324
RTX 4050 Laptop (Windows),gpu-predicate,100,0.92736,0.119616,2.0301
RTX 4050 Laptop (Windows),gpu-predicate,1000,0.949952,0.12624,2.06675
RTX 4050 Laptop (Windows),gpu-predicate,10000,0.939968,0.195232,2.2243
RTX 4050 Laptop (Windows),gpu-predicate,3000,0.956256,0.140448,2.1916
RTX 4050 Laptop (Windows),gpu-predicate,30000,0.991872,0.449312,2.9926
RTX 4050 Laptop (Windows),gpu-rows,100,0.018048,0.005024,0.17605
RTX 4050 Laptop (Windows),gpu-rows,1000,0.029632,0.008384,0.3485
