host,engine,E,n,sel_med_ms,sel_min_ms,sel_max_ms,max_over_min
H100 SXM (Linux pod),gpu-rows,1000,3,0.03888,0.038528,0.039296,1.0199335548172757
H100 SXM (Linux pod),gpu-rows,3000,3,0.094336,0.087712,0.103904,1.1846041590660343
H100 SXM (Linux pod),gpu-rows,10000,3,0.204832,0.188288,0.206496,1.096702923181509
H100 SXM (Linux pod),gpu-predicate,1000,3,0.987136,0.982304,0.9872,1.0049842004104637
H100 SXM (Linux pod),gpu-predicate,3000,3,0.987776,0.987552,0.987808,1.0002592268559023
H100 SXM (Linux pod),gpu-predicate,10000,3,0.976768,0.97184,0.9768,1.0051037207770825
RTX 4050 Laptop (Windows),gpu-rows,100,5,0.018048,0.015488,0.018624,1.2024793388429753
RTX 4050 Laptop (Windows),gpu-rows,1000,5,0.029568,0.029504,0.029632,1.0043383947939262
RTX 4050 Laptop (Windows),gpu-rows,3000,5,0.10592,0.055232,0.229568,4.156431054461182
RTX 4050 Laptop (Windows),gpu-rows,10000,5,0.460736,0.425312,0.594976,1.3989165600782483
RTX 4050 Laptop (Windows),gpu-rows,30000,5,0.592384,0.519168,0.722592,1.3918269230769231
RTX 4050 Laptop (Windows),gpu-predicate,100,5,0.927264,0.9272,0.92752,1.0003451251078517
RTX 4050 Laptop (Windows),gpu-predicate,1000,5,0.949888,0.949056,0.953952,1.0051588104390046
RTX 4050 Laptop (Windows),gpu-predicate,3000,5,0.952096,0.951008,0.956256,1.0055183552609441
RTX 4050 Laptop (Windows),gpu-predicate,10000,5,0.940512,0.939968,0.940768,1.0008510928031593
RTX 4050 Laptop (Windows),gpu-predicate,30000,5,0.991872,0.991424,0.992352,1.0009360273707315
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100,5,0.017888,0.017888,0.01792,1.0017889087656529
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,1000,5,0.053376,0.051008,0.06464,1.2672521957340026
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,3000,15,0.210464,0.098208,0.251264,2.5584881068752034
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,10000,5,0.439616,0.336704,0.51216,1.521098650446683
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,30000,5,1.182768,1.108224,1.296128,1.1695541695541694
"RTX 4090 host A (Linux, Sep 24)",gpu-rows,100000,5,1.044416,1.044224,1.054944,1.0102659965677863
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100,5,0.704352,0.704352,0.704352,1.0
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,1000,5,0.710816,0.710784,0.710848,1.0000900414190528
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,3000,5,0.711168,0.711136,0.7112,1.0000899968501102
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,10000,5,0.702624,0.702624,0.702656,1.0000455435624174
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,30000,5,1.376384,1.293552,1.385792,1.0713075315101364
"RTX 4090 host A (Linux, Sep 24)",gpu-predicate,100000,5,0.69552,0.694944,0.700032,1.0073214532393977
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,100,5,0.01776,0.017152,0.017888,1.0429104477611941
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,1000,5,0.028224,0.0272,0.056448,2.0752941176470587
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,3000,5,0.054528,0.05024,0.216256,4.304458598726114
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,10000,5,0.142368,0.127744,0.589216,4.6124749498997994
"RTX 4090 host B (Linux pods, Sep 25)",gpu-rows,30000,5,0.315168,0.287488,0.989632,3.4423419412288507
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,100,5,0.677376,0.644128,0.69104,1.0728302449202642
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,1000,5,0.680768,0.650432,0.695008,1.0685329135097903
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,3000,5,0.684704,0.651584,0.700448,1.0749926333366073
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,10000,5,0.673152,0.643392,0.687232,1.0681388640206904
"RTX 4090 host B (Linux pods, Sep 25)",gpu-predicate,30000,5,0.651648,0.618784,0.664128,1.0732792056678906
