cohort,source_archive_sha256,eligible_rows,dimension,batch,k,engine,p95_ns,recall_at_10,runs,evaluation_queries_per_run,source_revision,member
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,2000,384,1,10,cpu,194723,1.0,5,5000,unavailable,artifacts/phase0-baseline/e2000-cpu
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,2000,384,1,10,gpu-rows,263006,1.0,5,5000,unavailable,artifacts/phase0-baseline/e2000-gpu-rows
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,3000,384,1,10,cpu,288435,1.0,5,5000,unavailable,artifacts/phase0-baseline/e3000-cpu
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,3000,384,1,10,gpu-rows,367323,1.0,5,5000,unavailable,artifacts/phase0-baseline/e3000-gpu-rows
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,1000,384,1,10,cpu,101903,1.0,5,5000,unavailable,artifacts/phase0-extension/e1000-cpu
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,1000,384,1,10,gpu-predicate,881287,1.0,5,5000,unavailable,artifacts/phase0-extension/e1000-gpu-predicate
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,1000,384,1,10,gpu-rows,177678,1.0,5,5000,unavailable,artifacts/phase0-extension/e1000-gpu-rows
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,10000,384,1,10,cpu,3754374,1.0,5,5000,unavailable,artifacts/phase0-extension/e10000-cpu
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,10000,384,1,10,gpu-rows,680685,1.0,5,5000,unavailable,artifacts/phase0-extension/e10000-gpu-rows
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,100000,384,1,10,cpu,5669167,0.9999800000000001,5,5000,unavailable,artifacts/phase0-extension/e100000-cpu
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,100000,384,1,10,gpu-mask,1126477,0.9999800000000001,5,5000,unavailable,artifacts/phase0-extension/e100000-gpu-mask
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,100000,384,1,10,gpu-predicate,971804,0.9999800000000001,5,5000,unavailable,artifacts/phase0-extension/e100000-gpu-predicate
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,100000,384,1,10,gpu-rows,1774663,0.9999800000000001,5,5000,unavailable,artifacts/phase0-extension/e100000-gpu-rows
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,4000,384,1,10,cpu,401054,1.0,5,5000,unavailable,artifacts/phase0-extension/e4000-cpu
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,4000,384,1,10,gpu-rows,414334,1.0,5,5000,unavailable,artifacts/phase0-extension/e4000-gpu-rows
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,6000,384,1,10,cpu,1311405,1.0,5,5000,unavailable,artifacts/phase0-extension/e6000-cpu
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,6000,384,1,10,gpu-rows,591601,1.0,5,5000,unavailable,artifacts/phase0-extension/e6000-gpu-rows
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,8000,384,1,10,cpu,2404601,1.0,5,5000,unavailable,artifacts/phase0-extension/e8000-cpu
phase0-rtx4090-linux-vulkan,7292fd1cd0e7669c9febeaa2d49baedee747811ed65f6bc704ecbcb6e61f51ea,8000,384,1,10,gpu-rows,593363,1.0,5,5000,unavailable,artifacts/phase0-extension/e8000-gpu-rows
