cell,dimension,batch,eligible_rows,k,cpu_p95_us,gpu_p95_us,auto_p95_us,cpu_over_gpu,ci95_lo,ci95_hi,bonferroni_percentile_lo,bonferroni_percentile_hi,auto_over_same_backend,auto_backend,cpu_regret,gpu_regret,candidate_choice_regret,realized_auto_regret,p50_winner,p95_winner
d128-b8-e488-k1,128,8,488,1,123.0,406.0,89.4,0.30295566502463056,0.27040223203906066,0.42339901477832514,0.26006261180679785,0.48218793828892004,0.7268292682926829,Cpu,0.0,2.3008130081300813,0.0,-0.2731707317073171,cpu,cpu
d128-b8-e733-k10,128,8,733,10,270.2,428.0,221.7,0.6313084112149533,0.5460792239288601,0.7078440582433068,0.5179870654810024,0.7632311977715878,0.8205033308660251,Cpu,0.0,0.5840118430792005,0.0,-0.17949666913397488,cpu,cpu
d128-b8-e977-k64,128,8,977,64,505.1,715.3,1661.3,0.7061372850552216,0.6172235425695513,0.8785125122326297,0.5895313125918014,0.9284869976359338,2.3225220187333986,Wgpu,0.0,0.4161552167887548,0.4161552167887548,2.2890516729360524,cpu,cpu
d128-b8-e1221-k10,128,8,1221,10,468.7,1573.2,1884.6,0.29792779049071955,0.25002667235676945,0.5215326855123675,0.23418329243571961,0.7043948763250883,1.1979405034324944,Wgpu,0.0,2.3565180285897163,2.3565180285897163,3.020908896949008,cpu,cpu
d128-b8-e1465-k1,128,8,1465,1,1368.7,628.8,1505.3,2.1766857506361323,0.9003579098067287,4.880566157760814,0.7552539930347064,5.158682131450664,2.3939249363867683,Wgpu,1.1766857506361323,0.0,0.0,1.3939249363867683,gpu,gpu
d384-b1-e1302-k1,384,1,1302,1,236.7,1419.7,440.5,0.16672536451362965,0.07404237106783651,0.3280210643015521,0.06700556765916243,0.40105321507760533,1.8610054921841994,Cpu,0.0,4.997887621461766,0.0,0.8610054921841994,cpu,cpu
d384-b1-e1953-k10,384,1,1953,10,951.0,1240.4,1239.1,0.7666881651080296,0.2641889712995808,1.3355521108780888,0.16154794182893764,1.9586787911206205,1.302944269190326,Cpu,0.0,0.30431125131440595,0.0,0.3029442691903259,cpu,cpu
d384-b1-e2604-k64,384,1,2604,64,1547.3,2299.9,1779.1,0.6727683812339667,0.2657072046610722,0.898485575873958,0.23423665146230213,1.0677904564315353,1.1498093453111873,Cpu,0.0,0.48639565695081766,0.0,0.14980934531118728,cpu,cpu
d384-b1-e3255-k10,384,1,3255,10,1806.0,2188.1,2043.1,0.8253736118093323,0.46921987112106395,2.589247311827957,0.4461779149102603,3.170035842293907,0.9337324619532928,Wgpu,0.0,0.21157253599114068,0.21157253599114068,0.1312846068660023,cpu,cpu
d384-b1-e3906-k1,384,1,3906,1,1936.5,1953.1,1786.7,0.9915006912088474,0.6750891646154619,1.4459412780656304,0.5631023212938909,1.8641727900244935,0.9148021094670011,Wgpu,0.0,0.008572166279370075,0.008572166279370075,-0.07735605473792928,gpu,cpu
d768-b16-e41-k1,768,16,41,1,471.9,2160.9,194.6,0.2183812300430376,0.16220093479568698,0.28119413657490167,0.13858136960303655,0.34137766654749135,0.4123755032845942,Cpu,0.0,3.5791481246026704,0.0,-0.5876244967154058,cpu,cpu
d768-b16-e61-k10,768,16,61,10,947.0,918.0,771.5,1.0315904139433552,0.41791649777057155,1.441857202973769,0.24230959780209882,1.8454201150231448,0.8146779303062301,Cpu,0.031590413943355156,0.0,0.031590413943355156,-0.15958605664488013,cpu,gpu
d768-b16-e81-k64,768,16,81,64,560.0,820.5,441.9,0.6825106642291285,0.5374924288310116,0.8341255332114564,0.4968088679879073,0.8600150791656195,0.7891071428571429,Cpu,0.0,0.46517857142857144,0.0,-0.2108928571428571,cpu,cpu
d768-b16-e102-k10,768,16,102,10,276.8,572.5,1271.9,0.48349344978165937,0.4455891822279459,0.5951091703056769,0.4249839021249195,0.6471035137701804,2.2216593886462883,Wgpu,0.0,1.068280346820809,1.068280346820809,3.595014450867052,cpu,cpu
d768-b16-e122-k1,768,16,122,1,210.3,550.9,1134.2,0.38173897259030676,0.2997861724875267,0.4427300780540933,0.29508196721311475,0.4539363484087102,2.0588128516972226,Wgpu,0.0,1.619591060389919,1.619591060389919,4.393247741321921,cpu,cpu
all-r1000-d128-b8-k10,128,8,1000,10,174.2,460.8,409.6,0.3780381944444444,0.3057725694444444,0.4806857638888889,0.30294560309610835,0.5280095351609059,0.8888888888888888,Wgpu,0.0,1.6452353616532722,1.6452353616532722,1.3513203214695753,cpu,cpu
