cell,engine,runs,batches_per_run,p95_us,p50_us,minimum_recall,fallback_batches,max_run_p95_over_min,last_run_over_first
d128-b8-e488-k1,cpu,5,80,123.0,107.6,1.0,0,1.4780739466895958,1.4642248722316866
d128-b8-e488-k1,gpu-rows,5,80,406.0,243.0,1.0,0,1.2544179523141654,1.0593596059113302
d128-b8-e488-k1,automatic,5,80,89.4,61.7,1.0,0,1.2725,0.8602150537634409
d128-b8-e733-k10,cpu,5,80,270.2,202.7,1.0,0,1.1759656652360515,1.1091997008227374
d128-b8-e733-k10,gpu-rows,5,80,428.0,285.4,1.0,0,1.252975436819448,1.1620479098168155
d128-b8-e733-k10,automatic,5,80,221.7,131.5,1.0,0,1.3850457782299084,0.8481254781943381
d128-b8-e977-k64,cpu,5,80,505.1,408.8,1.0,0,1.4233295583238958,0.874084339734706
d128-b8-e977-k64,gpu-rows,5,80,715.3,488.8,1.0,0,1.10653073286052,0.9461764294701523
d128-b8-e977-k64,automatic,5,80,1661.3,1466.8,1.0,0,1.7095388333221453,0.834005150599037
d128-b8-e1221-k10,cpu,5,80,468.7,374.0,1.0,0,1.4530751708428247,1.4530751708428247
d128-b8-e1221-k10,gpu-rows,5,80,1573.2,757.2,1.0,0,2.0700088339222615,2.0700088339222615
d128-b8-e1221-k10,automatic,5,80,1884.6,1239.7,1.0,0,1.625116412350455,0.986378664315627
d128-b8-e1465-k1,cpu,5,80,1368.7,632.9,1.0,0,4.879790109715376,0.23291733194304148
d128-b8-e1465-k1,gpu-rows,5,80,628.8,392.8,1.0,0,1.3997310472348294,1.1921259842519685
d128-b8-e1465-k1,automatic,5,80,1505.3,943.3,1.0,0,4.140871592539455,0.3259706793131077
d384-b1-e1302-k1,cpu,5,640,236.7,96.8,1.0,0,2.091040462427746,0.578688524590164
d384-b1-e1302-k1,gpu-rows,5,640,1419.7,443.1,1.0,0,2.862389135254989,0.759522790498609
d384-b1-e1302-k1,automatic,5,640,440.5,150.3,1.0,0,4.6849119466920515,4.6849119466920515
d384-b1-e1953-k10,cpu,5,640,951.0,214.1,1.0,0,4.469636862984437,1.109201060204468
d384-b1-e1953-k10,gpu-rows,5,640,1240.4,637.3,1.0,0,2.712623696175448,0.4198764738910724
d384-b1-e1953-k10,automatic,5,640,1239.1,500.1,1.0,0,5.795437452995738,1.7366286057692308
d384-b1-e2604-k64,cpu,5,640,1547.3,708.4,0.984375,0,3.3688430698739977,1.5260934025203854
d384-b1-e2604-k64,gpu-rows,5,640,2299.9,1057.2,0.984375,0,1.3531639004149378,0.9613246962321285
d384-b1-e2604-k64,automatic,5,640,1779.1,789.7,0.984375,0,2.38523874828575,0.4574012126280577
d384-b1-e3255-k10,cpu,5,640,1806.0,861.9,1.0,0,2.1535989091263272,0.46433901677897876
d384-b1-e3255-k10,gpu-rows,5,640,2188.1,921.4,1.0,0,3.299068100358423,0.9762722176350441
d384-b1-e3255-k10,automatic,5,640,2043.1,1038.4,1.0,0,2.0116418148473008,1.2386572043696675
d384-b1-e3906-k1,cpu,5,640,1936.5,754.5,1.0,0,1.8688890542451075,0.7710224558050645
d384-b1-e3906-k1,gpu-rows,5,640,1953.1,666.8,1.0,0,1.7713946411341202,0.8183608480683818
d384-b1-e3906-k1,automatic,5,640,1786.7,840.7,1.0,0,2.576338400528751,1.3090054290031903
d768-b16-e41-k1,cpu,5,40,471.9,196.8,1.0,0,1.6345221112696149,0.9821019771071801
d768-b16-e41-k1,gpu-rows,5,40,2160.9,1064.5,1.0,0,1.5070909307591467,1.1538352607977342
d768-b16-e41-k1,automatic,5,40,194.6,123.0,1.0,0,2.3069016152716593,1.106310403638431
d768-b16-e61-k10,cpu,5,40,947.0,361.9,1.0,0,2.445353159851301,0.5798038581743722
d768-b16-e61-k10,gpu-rows,5,40,918.0,634.9,1.0,0,3.1144620563893954,0.4920103234308934
d768-b16-e61-k10,automatic,5,40,771.5,320.5,1.0,0,1.75,1.3274141283214518
d768-b16-e81-k64,cpu,5,40,560.0,419.4,1.0,0,1.542483660130719,0.689939356243197
d768-b16-e81-k64,gpu-rows,5,40,820.5,662.6,1.0,0,1.1222669012314652,1.0884826325411334
d768-b16-e81-k64,automatic,5,40,441.9,359.1,1.0,0,1.3122858541360745,0.762029093621783
d768-b16-e102-k10,cpu,5,40,276.8,251.7,1.0,0,1.290530303030303,0.8265336072791312
d768-b16-e102-k10,gpu-rows,5,40,572.5,418.8,1.0,0,1.179867046533713,1.087369420702754
d768-b16-e102-k10,automatic,5,40,1271.9,1069.7,1.0,0,1.0836623889437316,0.9557355137982546
d768-b16-e122-k1,cpu,5,40,210.3,198.7,1.0,0,1.1782608695652175,0.8622386223862238
d768-b16-e122-k1,gpu-rows,5,40,550.9,354.4,1.0,0,1.3056020844965568,0.8316464718460442
d768-b16-e122-k1,automatic,5,40,1134.2,938.8,1.0,0,1.154621546215462,0.8840907319354587
all-r1000-d128-b8-k10,cpu,5,80,174.2,127.8,1.0,0,1.5720369056068133,0.6582392776523702
all-r1000-d128-b8-k10,gpu-rows,5,80,460.8,270.9,1.0,0,1.1087008343265792,0.9907546764136744
all-r1000-d128-b8-k10,automatic,5,80,409.6,271.6,1.0,0,1.1828996282527882,0.9342132830504923
