split,query_index,ids
tuning,0,163;172;101;234;146
tuning,1,146;172;234;163;101
tuning,2,163;146;101;234;172
tuning,3,172;234;146;163;101
tuning,4,146;172;101;163;234
tuning,5,163;146;234;172;101
tuning,6,163;234;146;172;101
tuning,7,163;146;101;234;172
tuning,8,172;101;163;234;146
tuning,9,101;146;234;163;172
tuning,10,163;172;234;101;146
tuning,11,146;163;101;172;234
tuning,12,146;172;163;234;101
tuning,13,234;172;163;101;146
tuning,14,163;101;146;172;234
tuning,15,146;234;172;163;101
tuning,16,234;172;146;101;163
tuning,17,101;146;163;172;234
tuning,18,172;234;146;163;101
tuning,19,101;172;146;234;163
tuning,20,172;234;146;101;163
tuning,21,172;163;146;234;101
tuning,22,146;101;172;234;163
tuning,23,163;234;146;172;101
tuning,24,101;172;163;234;146
tuning,25,101;234;172;163;146
tuning,26,101;172;163;234;146
tuning,27,234;172;163;146;101
tuning,28,163;146;234;101;172
tuning,29,172;234;101;163;146
tuning,30,146;101;163;172;234
tuning,31,101;172;163;234;146
evaluation,0,146;163;172;234;101
evaluation,1,101;146;234;172;163
evaluation,2,163;146;101;172;234
evaluation,3,101;234;163;172;146
evaluation,4,101;163;234;146;172
evaluation,5,234;146;163;101;172
evaluation,6,146;101;172;234;163
evaluation,7,163;234;101;172;146
evaluation,8,146;101;234;172;163
evaluation,9,172;146;234;101;163
evaluation,10,163;101;234;172;146
evaluation,11,234;146;101;163;172
evaluation,12,163;172;146;234;101
evaluation,13,101;146;172;163;234
evaluation,14,172;146;163;234;101
evaluation,15,234;163;172;146;101
evaluation,16,146;234;101;163;172
evaluation,17,234;172;146;101;163
evaluation,18,163;146;172;101;234
evaluation,19,163;172;234;101;146
evaluation,20,146;101;172;234;163
evaluation,21,101;163;234;172;146
evaluation,22,101;234;163;146;172
evaluation,23,101;172;234;163;146
evaluation,24,163;172;146;234;101
evaluation,25,234;163;101;172;146
evaluation,26,163;146;101;172;234
evaluation,27,234;146;172;101;163
evaluation,28,146;163;234;101;172
evaluation,29,163;172;101;234;146
evaluation,30,163;234;172;146;101
evaluation,31,146;101;234;163;172
