engine,E,heater,n,p50,p95,clk_med,mem_med,clk_active,mem_active,high_state,sel,score,mat,min_recall
gpu-predicate,1000,0,3,1.274717,1.322879,1980,2619,1980.0,2619.0,1.0,0.987136,0.028096,0.0,1.0
gpu-predicate,1000,1,3,1.616344,1.688001,1980,2619,1980.0,2619.0,1.0,1.33792,0.028096,0.0,1.0
gpu-predicate,3000,0,3,1.288227,1.334407,1980.0,2619.0,1980.0,2619.0,1.0,0.987776,0.030368,0.0,1.0
gpu-predicate,3000,1,3,1.635892,1.698698,1980.0,2619.0,1980,2619,1.0,1.336416,0.030208,0.0,1.0
gpu-predicate,10000,0,3,1.335839,1.370611,1980.0,2619.0,1980.0,2619.0,1.0,0.976768,0.03824,0.0,1.0
gpu-predicate,10000,1,3,1.666569,1.776515,1980.0,2619.0,1980.0,2619.0,1.0,1.329472,0.03888,0.0,1.0
gpu-rows,1000,0,3,0.214323,0.237279,1680,2619,1605,2619,1.0,0.03888,0.010272,0.021623,1.0
gpu-rows,1000,1,3,0.266953,0.566536,1980,2619,1980,2619,1.0,0.033824,0.009824,0.032149,1.0
gpu-rows,3000,0,3,0.371141,0.388638,1230.0,2619.0,1275.0,2619,1.0,0.094336,0.012224,0.070567,1.0
gpu-rows,3000,1,3,0.406655,0.723414,1980,2619,1980,2619,1.0,0.067168,0.009792,0.0991445,1.0
gpu-rows,10000,0,3,0.6082,1.313084,495,2619,645,2619,1.0,0.204832,0.015808,0.222156,1.0
gpu-rows,10000,1,3,0.732577,0.964288,1980,2619,1980.0,2619.0,1.0,0.165056,0.013088,0.2278495,1.0
