comparison,engine,E,metric,n,ratio,lo,hi,per_block
heater_on/off,gpu-rows,1000,p50,3,1.2396548022440654,1.2059848062071326,1.2455639385413604,"[1.24, 1.246, 1.206]"
heater_on/off,gpu-rows,1000,p95,3,2.3876364954336458,2.307759253255064,2.429494035544956,"[2.429, 2.388, 2.308]"
heater_on/off,gpu-rows,1000,sel,3,0.8633744855967079,0.8607491856677525,0.8803986710963455,"[0.863, 0.88, 0.861]"
heater_on/off,gpu-rows,1000,score,3,0.9314641744548287,0.9246987951807228,0.9684542586750787,"[0.931, 0.968, 0.925]"
heater_on/off,gpu-rows,1000,mat,3,1.482682285661578,1.4514572205041703,1.50668269897794,"[1.483, 1.451, 1.507]"
heater_on/off,gpu-rows,3000,p50,3,1.0986270954963302,1.0298727437820128,1.1739700282626957,"[1.03, 1.099, 1.174]"
heater_on/off,gpu-rows,3000,p95,3,1.7223766075370912,1.493116559590927,2.0007190722861243,"[1.722, 1.493, 2.001]"
heater_on/off,gpu-rows,3000,sel,3,0.7116689280868386,0.6464428703418541,0.7676030645749726,"[0.712, 0.646, 0.768]"
heater_on/off,gpu-rows,3000,score,3,0.7958115183246074,0.7166276346604216,0.8622589531680441,"[0.796, 0.717, 0.862]"
heater_on/off,gpu-rows,3000,mat,3,1.4049697450649736,1.2993197278911566,1.5038848941189764,"[1.299, 1.504, 1.405]"
heater_on/off,gpu-rows,10000,p50,3,1.1818837804194082,1.1405864411371347,1.479052943110819,"[1.141, 1.479, 1.182]"
heater_on/off,gpu-rows,10000,p95,3,0.7371722735788768,0.7343688598749205,1.137807033135561,"[0.734, 0.737, 1.138]"
heater_on/off,gpu-rows,10000,sel,3,0.8067489454772693,0.7993181465984813,0.8764445955132563,"[0.807, 0.799, 0.876]"
heater_on/off,gpu-rows,10000,score,3,0.8279352226720649,0.8243512974051895,0.8920704845814978,"[0.824, 0.828, 0.892]"
heater_on/off,gpu-rows,10000,mat,3,1.0005176542609697,0.9847436786750772,1.568379816672196,"[0.985, 1.568, 1.001]"
heater_on/off,gpu-predicate,1000,p50,3,1.2646626663016183,1.257049176248071,1.2783358153064057,"[1.257, 1.265, 1.278]"
heater_on/off,gpu-predicate,1000,p95,3,1.2810257022751137,1.2239296965917785,1.286038304305654,"[1.224, 1.281, 1.286]"
heater_on/off,gpu-predicate,1000,sel,3,1.3592453319502076,1.354910858995138,1.3620223474606639,"[1.362, 1.359, 1.355]"
heater_on/off,gpu-predicate,1000,score,3,1.0022779043280183,0.9908883826879271,1.0034285714285713,"[1.003, 0.991, 1.002]"
heater_on/off,gpu-predicate,3000,p50,3,1.2672277479046783,1.2614620815514648,1.2765476626164554,"[1.277, 1.267, 1.261]"
heater_on/off,gpu-predicate,3000,p95,3,1.2660784902956896,1.2533843335259123,1.2961667718140348,"[1.253, 1.296, 1.266]"
heater_on/off,gpu-predicate,3000,sel,3,1.3532613978808206,1.3524247627069228,1.354801088505896,"[1.353, 1.355, 1.352]"
heater_on/off,gpu-predicate,3000,score,3,0.9968487394957982,0.9915700737618546,1.005324813631523,"[1.005, 0.992, 0.997]"
heater_on/off,gpu-predicate,10000,p50,3,1.2493892002965725,1.194643965328157,1.2591564175386,"[1.259, 1.195, 1.249]"
heater_on/off,gpu-predicate,10000,p95,3,1.2688414138917334,1.2424342136463227,1.300862450243255,"[1.269, 1.301, 1.242]"
heater_on/off,gpu-predicate,10000,sel,3,1.361048321048321,1.3587341108635826,1.3680935133355285,"[1.368, 1.359, 1.361]"
heater_on/off,gpu-predicate,10000,score,3,1.0218671152228764,1.01673640167364,1.0259414225941423,"[1.022, 1.026, 1.017]"
rows/predicate heater=0,gpu-rows,1000,p50,3,0.16813378969606588,0.16662778109601312,0.1757252752380282,"[0.167, 0.168, 0.176]"
rows/predicate heater=0,gpu-rows,1000,p95,3,0.17936561091377218,0.17693967001772812,0.1814535075897208,"[0.177, 0.179, 0.181]"
rows/predicate heater=1,gpu-rows,1000,p50,3,0.1655946608340617,0.1643220750038358,0.1657796092905624,"[0.164, 0.166, 0.166]"
rows/predicate heater=1,gpu-rows,1000,p95,3,0.3343101374803646,0.32561317168686843,0.35122431799507225,"[0.351, 0.334, 0.326]"
rows/predicate heater=0,gpu-rows,3000,p50,3,0.2896151922322096,0.2669570062602067,0.2915844800644607,"[0.29, 0.292, 0.267]"
rows/predicate heater=0,gpu-rows,3000,p95,3,0.2867565515546868,0.27096455579144896,0.3701349121615064,"[0.287, 0.37, 0.271]"
rows/predicate heater=1,gpu-rows,3000,p50,3,0.2484414940152392,0.23365112122316145,0.25279008525081825,"[0.234, 0.253, 0.248]"
rows/predicate heater=1,gpu-rows,3000,p95,3,0.4263761258573364,0.39405532943466115,0.42819142639322294,"[0.394, 0.426, 0.428]"
rows/predicate heater=0,gpu-rows,10000,p50,3,0.45529438802131095,0.43842936576537944,0.4785185527347068,"[0.479, 0.455, 0.438]"
rows/predicate heater=0,gpu-rows,10000,p95,3,0.9273519545181679,0.49667557023838277,0.9728077009821007,"[0.927, 0.973, 0.497]"
rows/predicate heater=1,gpu-rows,10000,p50,3,0.4334582784787658,0.41474070380524297,0.563686356880212,"[0.433, 0.564, 0.415]"
rows/predicate heater=1,gpu-rows,10000,p95,3,0.5367245977994185,0.45484980274755804,0.5512703242021598,"[0.537, 0.551, 0.455]"
