comparison,engine,E,metric,n,ratio,lo,hi,per_block
heater_on/off,cpu,100,p50,5,1.0107526881720432,0.979381443298969,1.0421052631578949,"[0.99, 1.036, 1.011, 0.979, 1.042]"
heater_on/off,cpu,100,p95,5,0.9857142857142857,0.9112903225806451,1.1965811965811965,"[1.197, 0.986, 0.911, 0.934, 1.178]"
heater_on/off,cpu,1000,p50,5,0.9937106918238994,0.5336505778382052,1.8573155985489722,"[0.534, 0.994, 0.991, 1.036, 1.857]"
heater_on/off,cpu,1000,p95,5,0.8545316070068545,0.484179104477612,1.1352201257861634,"[0.734, 0.484, 0.855, 0.99, 1.135]"
heater_on/off,cpu,3000,p50,5,1.0327922077922078,0.4350453172205438,2.580492743840702,"[0.71, 2.434, 2.58, 1.033, 0.435]"
heater_on/off,cpu,3000,p95,5,1.4821206020515771,0.4665391969407266,1.5413974635080163,"[1.482, 1.532, 1.541, 1.125, 0.467]"
heater_on/off,cpu,10000,p50,5,1.0614445260269738,0.9945111653218238,1.2948767970227197,"[1.295, 0.995, 1.075, 1.061, 1.047]"
heater_on/off,cpu,10000,p95,5,1.0163257386773104,0.8960968459909885,1.2027773986624812,"[0.896, 0.93, 1.203, 1.016, 1.11]"
heater_on/off,cpu,30000,p50,5,1.0079575596816976,0.666042623593182,1.7451545815201244,"[1.745, 1.008, 1.646, 0.666, 0.974]"
heater_on/off,cpu,30000,p95,5,0.9923816852635631,0.6541465439178992,1.902456430824567,"[1.902, 0.986, 1.878, 0.654, 0.992]"
heater_on/off,gpu-rows,100,p50,5,1.1138743455497382,0.7811836115326252,1.8018757327080892,"[1.47, 0.781, 1.114, 1.802, 0.815]"
heater_on/off,gpu-rows,100,p95,5,1.390449438202247,0.6811619412071666,1.549480040254948,"[1.464, 0.681, 1.39, 1.549, 0.847]"
heater_on/off,gpu-rows,100,sel,5,0.9072164948453608,0.8958333333333333,1.1226993865030677,"[0.899, 0.907, 1.017, 1.123, 0.896]"
heater_on/off,gpu-rows,100,score,5,0.9777070063694268,0.9337349397590362,1.0064516129032257,"[0.978, 0.934, 0.98, 1.006, 0.957]"
