block,engine,E,heater,p50,p95,sel,score,mat,backend,clk_med,mem_med,clk_active,mem_active,active_samples,high_state,recall,started
0,cpu,100,0,0.0099,0.0117,0.0,0.0,0.0,0.0082,2130,7001,0,0,0,1.0,1.0,1790343447.331975
0,cpu,100,1,0.0098,0.014,0.0,0.0,0.0,0.0082,2130,7001,2130.0,7001.0,52,1.0,1.0,1790343457.0115845
0,cpu,1000,0,0.1471,0.1902,0.0,0.0,0.0,0.141,2047.5,7001.0,0,0,0,0.975,1.0,1790344387.9959893
0,cpu,1000,1,0.0785,0.1397,0.0,0.0,0.0,0.0763,2130.0,8201.0,2130.0,8201.0,100,1.0,1.0,1790344432.6130579
0,cpu,10000,0,3.3319,5.5263,0.0,0.0,0.0,2.88,2130,7001,0,0,0,0.9926362297496318,1.0,1790343196.2774422
0,cpu,10000,1,4.3144,4.9521,0.0,0.0,0.0,4.32395,210,405,210,405,1765,0.09681029658645775,1.0,1790343956.7885273
0,cpu,3000,0,0.6635,1.0431,0.0,0.0,0.0,0.6726,2130.0,7001.0,0,0,0,0.9753086419753086,1.0,1790344072.0933619
0,cpu,3000,1,0.4712,1.546,0.0,0.0,0.0,0.6064,315,405,300.0,405.0,402,0.43031784841075793,1.0,1790344323.5619836
0,cpu,30000,0,5.7219,7.0061,0.0,0.0,0.0,5.7338,2130,7001,0,0,0,0.9992082343626286,1.0,1790343286.1387117
0,cpu,30000,1,9.9856,13.3288,0.0,0.0,0.0,9.93825,210,405,210.0,405.0,4224,0.04136138028834791,1.0,1790342783.729611
0,gpu-predicate,100,0,1.9971,2.1939,0.92736,0.119616,0.0,2.01975,2670.0,8201.0,2670,8201,569,1.0,1.0,1790343835.2384558
0,gpu-predicate,100,1,2.2397,2.5403,1.11088,0.119744,0.0,2.2206,2655,8201,2655.0,8201.0,668,1.0,1.0,1790344573.3018186
0,gpu-predicate,1000,0,2.0763,2.5383,0.949952,0.12624,0.0,2.04265,2670,8201,2670.0,8201.0,564,1.0,1.0,1790343049.3546884
0,gpu-predicate,1000,1,2.1716,2.3606,1.127456,0.126432,0.0,2.1429,2670,8201,2670.0,8201.0,652,1.0,1.0,1790343532.8489907
