engine,E,heater,n,p50,p95,clk_med,mem_med,clk_active,mem_active,high_state,sel,score,mat,min_recall
cpu,100,0,5,0.007842,0.009093,210,405,0,0,0.0,0.0,0.0,0.0,1.0
cpu,100,1,5,0.008223,0.009594,2550.0,10501.0,2550,10501,0.8333333333333334,0.0,0.0,0.0,1.0
cpu,1000,0,5,0.047702,0.055272,210.0,405.0,0,0,0.0,0.0,0.0,0.0,1.0
cpu,1000,1,5,0.048303,0.054392,2520,10501,2520,10501.0,0.56,0.0,0.0,0.0,1.0
cpu,3000,0,5,0.132829,0.149194,210.0,405.0,0,0,0.0,0.0,0.0,0.0,1.0
cpu,3000,1,5,0.137606,0.155534,315.0,405.0,315,405,0.33816425120772947,0.0,0.0,0.0,1.0
cpu,10000,0,5,1.494843,1.67283,210.0,405.0,0,0,0.0,0.0,0.0,0.0,1.0
cpu,10000,1,5,1.511078,1.698489,210.0,405,210.0,405,0.07567567567567568,0.0,0.0,0.0,1.0
cpu,30000,0,5,4.906616,5.002315,210.0,405.0,0,0,0.0,0.0,0.0,0.0,1.0
cpu,30000,1,5,5.316612,5.985516,210,405.0,210.0,405.0,0.02336448598130841,0.0,0.0,0.0,1.0
gpu-predicate,100,0,5,0.828218,0.837486,2820,10501,2820,10501,0.9142857142857143,0.677376,0.02208,0.0,1.0
gpu-predicate,100,1,5,0.885577,0.896386,2820.0,10501.0,2820,10501,0.9742120343839542,0.677792,0.022016,0.0,1.0
gpu-predicate,1000,0,5,0.834591,0.847722,2820.0,10501.0,2820.0,10501.0,0.9279069767441861,0.680768,0.023136,0.0,1.0
gpu-predicate,1000,1,5,0.890255,0.904521,2820,10501,2820.0,10501.0,0.9762340036563071,0.68064,0.023104,0.0,1.0
gpu-predicate,3000,0,5,0.848516,0.859758,2820.0,10501.0,2820.0,10501.0,0.8353808353808354,0.684704,0.025504,0.0,1.0
gpu-predicate,3000,1,5,0.904571,0.918758,2820.0,10501.0,2820,10501,0.9037199124726477,0.683264,0.025504,0.0,1.0
gpu-predicate,10000,0,5,0.860409,0.870117,2550.0,10501,2820,10501,0.5582089552238806,0.673152,0.032512,0.0,1.0
gpu-predicate,10000,1,5,0.919649,0.937443,2550.0,10501,2550.0,10501.0,0.63579604578564,0.673952,0.032576,0.0,1.0
gpu-predicate,30000,0,5,0.894162,0.9094,210.0,405.0,2820.0,10501.0,0.2506345177664975,0.651648,0.043264,0.0,1.0
gpu-predicate,30000,1,5,0.953293,1.036949,210,405.0,210.0,405.0,0.2937956204379562,0.65376,0.044832,0.0,1.0
gpu-rows,100,0,5,0.103005,0.109785,2550,10501,2550,10501,0.6385542168674698,0.01776,0.005664,0.001272,1.0
gpu-rows,100,1,5,0.0996,0.22695,2550,10501,2550.0,10501.0,0.935672514619883,0.016448,0.005344,0.001202,1.0
gpu-rows,1000,0,5,0.122704,0.130426,2520,10501,2520.0,10501,0.7289719626168224,0.028224,0.005856,0.009044,1.0
gpu-rows,1000,1,5,0.122895,0.2268,2550,10501.0,2550,10501,0.9666666666666667,0.025984,0.005472,0.009785,1.0
gpu-rows,3000,0,5,0.177977,0.193601,2505.0,10501.0,2505,10501,0.5757575757575758,0.054528,0.006944,0.029204,1.0
gpu-rows,3000,1,5,0.175493,0.295963,2550,10501.0,2550,10501.0,0.7901234567901234,0.04768,0.00608,0.032379,1.0
gpu-rows,10000,0,5,0.429575,0.450486,705.0,810,2235,810,0.145985401459854,0.142368,0.011616,0.155093,1.0
gpu-rows,10000,1,5,0.404657,0.525949,2520.0,10501.0,2520,10501,0.5267175572519084,0.119136,0.009568,0.157807,1.0
gpu-rows,30000,0,5,0.779239,0.807632,210.0,405.0,2760.0,10501,0.22355163727959698,0.315168,0.018912,0.291688,1.0
gpu-rows,30000,1,5,0.83268,1.005088,210,405,210,405.0,0.24507658643326038,0.311552,0.019712,0.2855885,1.0
