block,engine,E,heater,p50,p95,sel,score,mat,backend,clk_med,mem_med,clk_active,mem_active,active_samples,high_state,recall,started
0,cpu,100,0,0.007842,0.009093,0.0,0.0,0.0,0.00664,210,405,0,0,0,0.0,1.0,1790344726.3783784
0,cpu,100,1,0.008223,0.009594,0.0,0.0,0.0,0.006941,2550.0,10501.0,2550,10501,63,0.8333333333333334,1.0,1790344735.5612543
0,cpu,1000,0,0.047702,0.055272,0.0,0.0,0.0,0.04648,210,405,0,0,0,0.0,1.0,1790345255.9567652
0,cpu,1000,1,0.048303,0.054392,0.0,0.0,0.0,0.04673,2550,10501,2550.0,10501.0,116,0.56,1.0,1790345289.2498398
0,cpu,10000,0,1.494843,1.67283,0.0,0.0,0.0,1.4896605,210.0,405.0,0,0,0,0.0,1.0,1790344529.5953944
0,cpu,10000,1,1.511078,1.698489,0.0,0.0,0.0,1.508939,225,405,225,405,903,0.07567567567567568,1.0,1790345042.5622756
0,cpu,3000,0,0.132829,0.149194,0.0,0.0,0.0,0.130726,210,405,0,0,0,0.0,1.0,1790345091.9792638
0,cpu,3000,1,0.137606,0.155534,0.0,0.0,0.0,0.134161,390.0,405.0,390,405,205,0.37037037037037035,1.0,1790345227.1322896
0,cpu,30000,0,4.824399,4.988987,0.0,0.0,0.0,4.821265,210,405,0,0,0,0.0,1.0,1790344578.2509491
0,cpu,30000,1,5.825482,6.161546,0.0,0.0,0.0,5.805467,240,405,240,405,3425,0.01741654571843251,1.0,1790344234.5682383
0,gpu-predicate,100,0,0.811858,0.83347,0.677376,0.022656,0.0,0.809354,2775,10501,2775,10501,267,0.9169329073482428,1.0,1790344987.3480217
0,gpu-predicate,100,1,0.874121,0.884027,0.677792,0.022656,0.0,0.8716725,2775,10501,2775,10501,349,0.9889807162534435,1.0,1790345388.9800982
0,gpu-predicate,1000,0,0.828012,0.847722,0.680768,0.02368,0.0,0.822845,2790.0,10501.0,2790,10501,265,0.9285714285714286,1.0,1790344410.3308196
0,gpu-predicate,1000,1,0.876945,0.888494,0.68064,0.02368,0.0,0.872509,2790,10501,2790,10501,389,0.989821882951654,1.0,1790344783.423229
0,gpu-predicate,10000,0,0.835003,0.849995,0.673152,0.032992,0.0,0.811848,2550.0,10501.0,2790,10501,275,0.5582089552238806,1.0,1790344742.80376
0,gpu-predicate,10000,1,0.893,0.914783,0.673952,0.032992,0.0,0.871508,2550.0,10501.0,2550.0,10501.0,720,0.6164383561643836,1.0,1790344808.14847
0,gpu-predicate,3000,0,0.827782,0.845058,0.684704,0.026048,0.0,0.818979,2775,10501,2775,10501,259,0.8353808353808354,1.0,1790345423.3248801
0,gpu-predicate,3000,1,0.884698,0.907352,0.683264,0.025984,0.0,0.8759495,2775.0,10501.0,2775.0,10501.0,460,0.9051724137931034,1.0,1790344934.4469073
0,gpu-predicate,30000,0,0.880661,0.907852,0.651648,0.043872,0.0,0.805008,210.0,405.0,2775.0,10501.0,286,0.2475,1.0,1790345105.7753458
0,gpu-predicate,30000,1,0.93342,0.994042,0.65376,0.045248,0.0,0.8671965,240,405,240.0,405.0,1640,0.29645219482862295,1.0,1790345300.550581
0,gpu-rows,100,0,0.103005,0.109785,0.017792,0.00592,0.001272,0.09968,2550,10501,2550,10501,33,0.6385542168674698,1.0,1790344978.1594796
0,gpu-rows,100,1,0.0996,0.22695,0.016448,0.005344,0.001202,0.096505,2550,10501,2550.0,10501.0,114,0.912,1.0,1790345267.1485207
0,gpu-rows,1000,0,0.122704,0.130426,0.028192,0.005856,0.009044,0.110801,2550,10501,2550,10501,31,0.7739130434782608,1.0,1790345276.4540212
0,gpu-rows,1000,1,0.122895,0.2268,0.025984,0.005472,0.009785,0.110996,2550,10501,2550,10501,151,0.9440993788819876,1.0,1790345412.22038
0,gpu-rows,10000,0,0.429575,0.450486,0.142368,0.011616,0.155093,0.270135,360.0,405.0,2235,810,157,0.145985401459854,1.0,1790345008.0586243
0,gpu-rows,10000,1,0.404657,0.525949,0.116128,0.009568,0.157807,0.233956,2550.0,10501.0,2550,10501,567,0.5293103448275862,1.0,1790345193.0248592
0,gpu-rows,3000,0,0.177977,0.193601,0.054528,0.006944,0.029204,0.147381,2505.0,10501.0,2505,10501,105,0.5757575757575758,1.0,1790345240.9978802
0,gpu-rows,3000,1,0.175493,0.240431,0.04768,0.00608,0.032379,0.140531,2550,10501,2550,10501,229,0.7651821862348178,1.0,1790344962.7509124
0,gpu-rows,30000,0,0.779239,0.807632,0.304192,0.018912,0.291688,0.477657,210.0,405.0,2790,10501,275,0.22355163727959698,1.0,1790344847.7878377
0,gpu-rows,30000,1,0.83268,1.005088,0.303968,0.019712,0.2855885,0.541603,240.0,405.0,240.0,405.0,1814,0.24507658643326038,1.0,1790344434.9122605
1,cpu,100,0,0.007374,0.008276,0.0,0.0,0.0,0.006312,210.0,405.0,0,0,0,0.0,1.0,1790344638.9022565
1,cpu,100,1,0.007454,0.008366,0.0,0.0,0.0,0.006322,2520.0,10501.0,2520,10501,65,0.9146341463414634,1.0,1790345122.2311375
1,cpu,1000,0,0.045295,0.049813,0.0,0.0,0.0,0.044202,210.0,405.0,0,0,0,0.0,1.0,1790345002.0722432
1,cpu,1000,1,0.046457,0.051596,0.0,0.0,0.0,0.045365,2520,10501,2520,10501,113,0.5702479338842975,1.0,1790344301.6475701
1,cpu,10000,0,1.305231,1.433881,0.0,0.0,0.0,1.300948,210.0,405.0,0,0,0,0.0,1.0,1790345011.1045659
1,cpu,10000,1,1.342781,1.458348,0.0,0.0,0.0,1.3391595,210.0,405.0,210,405,817,0.09615384615384616,1.0,1790344463.2857807
1,cpu,3000,0,0.1283,0.136415,0.0,0.0,0.0,0.127128,210.0,405.0,0,0,0,0.0,1.0,1790344234.8640025
1,cpu,3000,1,0.124934,0.133449,0.0,0.0,0.0,0.123671,315.0,405.0,337.5,405.0,200,0.3431372549019608,1.0,1790344946.8582208
1,cpu,30000,0,4.906616,5.002315,0.0,0.0,0.0,4.901742,210,405,0,0,0,0.0,1.0,1790344056.9263513
1,cpu,30000,1,4.883443,4.953404,0.0,0.0,0.0,4.880171,210,405,210,405,2897,0.02411298656562177,1.0,1790344312.736085
1,gpu-predicate,100,0,0.828218,0.837486,0.69104,0.02208,0.0,0.825944,2775,10501,2775.0,10501.0,268,0.9142857142857143,1.0,1790344532.6881814
1,gpu-predicate,100,1,0.885577,0.896386,0.690176,0.022016,0.0,0.883437,2775,10501,2775,10501,349,0.9835616438356164,1.0,1790343994.2363224
1,gpu-predicate,1000,0,0.834591,0.846754,0.695008,0.023136,0.0,0.830744,2775.0,10501.0,2775,10501,275,0.9210526315789473,1.0,1790344817.6894052
1,gpu-predicate,1000,1,0.890255,0.904521,0.693376,0.023104,0.0,0.8862375,2775.0,10501.0,2775.0,10501.0,372,0.9744897959183674,1.0,1790344510.0226269
1,gpu-predicate,10000,0,0.860409,0.870117,0.687232,0.032512,0.0,0.831916,2775,10501,2775,10501,311,0.608424336973479,1.0,1790344262.4971642
1,gpu-predicate,10000,1,0.919649,0.937443,0.69136,0.032576,0.0,0.896947,2520,10501,2520.0,10501.0,692,0.6647482014388489,1.0,1790345056.91552
1,gpu-predicate,3000,0,0.848516,0.859758,0.700448,0.025504,0.0,0.838208,2760.0,10501.0,2760,10501,279,0.8627450980392157,1.0,1790345094.772781
1,gpu-predicate,3000,1,0.904571,0.918758,0.69936,0.025504,0.0,0.89592,2760,10501,2760,10501,443,0.9037199124726477,1.0,1790345131.3654897
1,gpu-predicate,30000,0,0.894162,0.9094,0.664128,0.043264,0.0,0.820143,210.0,405.0,2775.0,10501.0,324,0.26772151898734176,1.0,1790344646.0307515
1,gpu-predicate,30000,1,0.953293,1.036949,0.66512,0.044736,0.0,0.8844435,210.0,405.0,210,405,1629,0.2937956204379562,1.0,1790344732.277883
1,gpu-rows,100,0,0.088725,0.094116,0.017568,0.005312,0.001042,0.086181,2520.0,10501.0,2520.0,10501.0,38,0.631578947368421,1.0,1790344048.097202
1,gpu-rows,100,1,0.084177,0.191448,0.016096,0.004832,0.001042,0.081853,2520.0,10501.0,2520,10501,105,0.9745762711864406,1.0,1790344923.3803656
1,gpu-rows,1000,0,0.109295,0.114694,0.028224,0.005472,0.008566,0.098724,2520,10501,2520.0,10501.0,48,0.7289719626168224,1.0,1790344960.1047788
1,gpu-rows,1000,1,0.106088,0.203911,0.025888,0.00496,0.008716,0.095539,2520.0,10501.0,2520,10501,135,0.9666666666666667,1.0,1790344934.3172421
1,gpu-rows,10000,0,0.372837,0.38499,0.1304,0.00976,0.136936,0.231673,1080,810,2520.0,10501.0,136,0.4282744282744283,1.0,1790344205.7387648
1,gpu-rows,10000,1,0.371876,0.439522,0.119136,0.009056,0.14409,0.220022,2520.0,10501.0,2520,10501,519,0.5660377358490566,1.0,1790344972.4909842
1,gpu-rows,3000,0,0.161311,0.171651,0.050656,0.005952,0.028874,0.130254,2520,10501,2610,10501,49,0.6363636363636364,1.0,1790344248.1055932
1,gpu-rows,3000,1,0.157014,0.295963,0.047456,0.00576,0.0288945,0.126186,2520.0,10501.0,2520.0,10501.0,224,0.8793103448275862,1.0,1790343977.5930202
1,gpu-rows,30000,0,0.735285,0.751285,0.315168,0.018336,0.2563545,0.47065,210.0,405.0,2760.0,10501.0,246,0.24574049803407602,1.0,1790344839.8440826
1,gpu-rows,30000,1,0.798784,0.855941,0.314112,0.019072,0.254226,0.535822,210,405,210.0,405.0,1592,0.2719900187149095,1.0,1790344555.4974923
2,cpu,100,0,0.011421,0.01264,0.0,0.0,0.0,0.00987,210,405,0,0,0,0.0,1.0,1790345633.7219815
2,cpu,100,1,0.0113,0.01254,0.0,0.0,0.0,0.009771,2550.0,10501.0,2550,10501,69,0.75,1.0,1790345691.7616966
