gpu,block,engine,E,sel_off,sel_on,deficit,effect
RTX 4050 Laptop,block-0,gpu-rows,100,0.018048,0.016224,1.1652892561983472,0.8989361702127658
RTX 4050 Laptop,block-0,gpu-rows,1000,0.029632,0.029728,1.0043383947939262,1.0032397408207345
RTX 4050 Laptop,block-0,gpu-rows,3000,0.229568,0.058784,4.156431054461182,0.25606356286590465
RTX 4050 Laptop,block-0,gpu-rows,10000,0.52216,0.263776,1.2277104807764652,0.5051631683775089
RTX 4050 Laptop,block-0,gpu-rows,30000,0.579424,0.344128,1.116062623274162,0.5939139559286463
RTX 4050 Laptop,block-0,gpu-predicate,100,0.92736,1.11088,1.0001725625539257,1.1978951000690132
RTX 4050 Laptop,block-0,gpu-predicate,1000,0.949952,1.127456,1.0009440960280531,1.186855756922455
RTX 4050 Laptop,block-0,gpu-predicate,3000,0.956256,1.128928,1.0055183552609441,1.1805708931499515
RTX 4050 Laptop,block-0,gpu-predicate,10000,0.939968,1.124224,1.0,1.1960236944236398
RTX 4050 Laptop,block-0,gpu-predicate,30000,0.991872,0.994528,1.000451875282422,1.0026777648728868
RTX 4050 Laptop,block-1,gpu-rows,100,0.018624,0.016896,1.2024793388429753,0.9072164948453608
RTX 4050 Laptop,block-1,gpu-rows,1000,0.029568,0.029632,1.002169197396963,1.002164502164502
RTX 4050 Laptop,block-1,gpu-rows,3000,0.055232,0.069184,1.0,1.2526071842410196
RTX 4050 Laptop,block-1,gpu-rows,10000,0.444928,0.200192,1.0461214355578963,0.4499424626006905
RTX 4050 Laptop,block-1,gpu-rows,30000,0.721504,0.4888,1.3897312623274163,0.6774737215594092
RTX 4050 Laptop,block-1,gpu-predicate,100,0.92752,1.109088,1.0003451251078517,1.1957564257374504
RTX 4050 Laptop,block-1,gpu-predicate,1000,0.953952,1.126016,1.0051588104390046,1.1803696622052262
RTX 4050 Laptop,block-1,gpu-predicate,3000,0.952416,1.13008,1.0014805343383022,1.1865403353156603
RTX 4050 Laptop,block-1,gpu-predicate,10000,0.940704,1.125472,1.0007830053789064,1.196414600129265
RTX 4050 Laptop,block-1,gpu-predicate,30000,0.991424,0.995488,1.0,1.0040991543476858
RTX 4050 Laptop,block-2,gpu-rows,100,0.015488,0.015744,1.0,1.0165289256198349
RTX 4050 Laptop,block-2,gpu-rows,1000,0.029568,0.029504,1.002169197396963,0.9978354978354977
RTX 4050 Laptop,block-2,gpu-rows,3000,0.144544,0.06992,2.6170336037079953,0.4837281381447863
RTX 4050 Laptop,block-2,gpu-rows,10000,0.425312,0.228448,1.0,0.5371303889850274
RTX 4050 Laptop,block-2,gpu-rows,30000,0.519168,0.327024,1.0,0.6299001479289941
RTX 4050 Laptop,block-2,gpu-predicate,100,0.9272,0.929248,1.0,1.00220880069025
RTX 4050 Laptop,block-2,gpu-predicate,1000,0.949056,1.124448,1.0,1.1848067974914018
RTX 4050 Laptop,block-2,gpu-predicate,3000,0.951008,1.12864,1.0,1.1867828661798852
RTX 4050 Laptop,block-2,gpu-predicate,10000,0.940512,1.122848,1.0005787431061484,1.1938688714232248
RTX 4050 Laptop,block-2,gpu-predicate,30000,0.992096,0.995904,1.0006778129236331,1.003838338225333
RTX 4050 Laptop,block-3,gpu-rows,100,0.015648,0.017568,1.0103305785123966,1.1226993865030677
RTX 4050 Laptop,block-3,gpu-rows,1000,0.029584,0.029056,1.0027114967462039,0.9821525148729042
RTX 4050 Laptop,block-3,gpu-rows,3000,0.055232,0.067744,1.0,1.2265353418308227
RTX 4050 Laptop,block-3,gpu-rows,10000,0.460736,0.213248,1.0832894439846512,0.4628420613974163
RTX 4050 Laptop,block-3,gpu-rows,30000,0.592384,0.339264,1.1410256410256412,0.5727095937770095
RTX 4050 Laptop,block-3,gpu-predicate,100,0.927264,1.10432,1.0000690250215702,1.1909445422231424
RTX 4050 Laptop,block-3,gpu-predicate,1000,0.949888,1.125376,1.000876660597478,1.1847459911063198
RTX 4050 Laptop,block-3,gpu-predicate,3000,0.952096,1.128704,1.0011440492614154,1.1854938997748126
RTX 4050 Laptop,block-3,gpu-predicate,10000,0.940768,1.122624,1.0008510928031593,1.193305894758325
RTX 4050 Laptop,block-3,gpu-predicate,30000,0.992352,0.995648,1.0009360273707315,1.0033214020831318
RTX 4050 Laptop,block-4,gpu-rows,100,0.018432,0.016512,1.1900826446280992,0.8958333333333333
