host,engine,E,metric,n,ratio,lo,hi
"RTX 4050 Laptop, Windows",gpu-rows,100,p50,5,1.1138743455497382,0.7811836115326252,1.8018757327080892
"RTX 4050 Laptop, Windows",gpu-rows,100,p95,5,1.390449438202247,0.6811619412071666,1.549480040254948
"RTX 4050 Laptop, Windows",gpu-rows,100,sel,5,0.9072164948453608,0.8958333333333333,1.1226993865030677
"RTX 4050 Laptop, Windows",gpu-rows,100,score,5,0.9777070063694268,0.9337349397590362,1.0064516129032257
"RTX 4050 Laptop, Windows",gpu-rows,100,mat,5,1.1250000000000002,0.696969696969697,1.9615384615384617
"RTX 4050 Laptop, Windows",gpu-rows,1000,p50,5,1.1250732278851787,1.0473729543496986,1.63671875
"RTX 4050 Laptop, Windows",gpu-rows,1000,p95,5,1.2862622872212897,1.0036960036960036,1.5757783099555251
"RTX 4050 Laptop, Windows",gpu-rows,1000,sel,5,1.002164502164502,0.9821525148729042,1.0054229934924077
"RTX 4050 Laptop, Windows",gpu-rows,1000,score,5,0.988593155893536,0.9694656488549617,1.0
"RTX 4050 Laptop, Windows",gpu-rows,1000,mat,5,1.188172043010753,1.011661807580175,1.8244680851063828
"RTX 4050 Laptop, Windows",gpu-rows,3000,p50,5,0.9552838109144003,0.4824842655266596,1.560918946824987
"RTX 4050 Laptop, Windows",gpu-rows,3000,p95,5,1.1438704703161142,0.3920689248200165,1.9203501094091904
"RTX 4050 Laptop, Windows",gpu-rows,3000,sel,5,0.6492447129909366,0.25606356286590465,1.2526071842410196
"RTX 4050 Laptop, Windows",gpu-rows,3000,score,5,0.67018779342723,0.2759009009009009,1.2296137339055795
"RTX 4050 Laptop, Windows",gpu-rows,3000,mat,5,1.0138297872340425,0.5783034257748777,1.7274011299435028
"RTX 4050 Laptop, Windows",gpu-rows,10000,p50,5,0.9654536805803305,0.7914654161781947,1.0969925790912642
"RTX 4050 Laptop, Windows",gpu-rows,10000,p95,5,0.9564268711980957,0.7587370031644469,1.2352170266303208
"RTX 4050 Laptop, Windows",gpu-rows,10000,sel,5,0.4628420613974163,0.3875652127144624,0.5371303889850274
"RTX 4050 Laptop, Windows",gpu-rows,10000,score,5,0.43030949839914623,0.3660942016663833,0.4851440235881152
"RTX 4050 Laptop, Windows",gpu-rows,10000,mat,5,1.3029801324503312,0.9550332477450787,1.3926285160038798
"RTX 4050 Laptop, Windows",gpu-rows,30000,p50,5,0.9543020349875043,0.9249797838712049,1.0080439404677533
"RTX 4050 Laptop, Windows",gpu-rows,30000,p95,5,0.9881770373498138,0.8764130054772171,1.343536145327859
"RTX 4050 Laptop, Windows",gpu-rows,30000,sel,5,0.5939139559286463,0.5727095937770095,0.6774737215594092
"RTX 4050 Laptop, Windows",gpu-rows,30000,score,5,0.9657518450184504,0.8953525134366109,0.9970177740665634
"RTX 4050 Laptop, Windows",gpu-rows,30000,mat,5,0.9962251941328731,0.955061559507524,1.1400566097075164
"RTX 4050 Laptop, Windows",gpu-predicate,100,p50,5,1.0877210411285516,1.0187575030012006,1.1214761404035851
"RTX 4050 Laptop, Windows",gpu-predicate,100,p95,5,1.0968068930562593,0.9364397949401908,1.1736252545824848
