host,engine,E,heater,n,p50,p95,clk_med,mem_med,clk_active,mem_active,high_state,sel,score,mat,min_recall
"RTX 4050 Laptop, Windows",cpu,100,0,5,0.0097,0.0122,2130,7001,0,0,1.0,0.0,0.0,0.0,1.0
"RTX 4050 Laptop, Windows",cpu,100,1,5,0.0098,0.0126,2130.0,8201.0,2130,8201,1.0,0.0,0.0,0.0,1.0
"RTX 4050 Laptop, Windows",cpu,1000,0,5,0.0827,0.159,2130,7001,0,0,1.0,0.0,0.0,0.0,1.0
"RTX 4050 Laptop, Windows",cpu,1000,1,5,0.0787,0.1397,2130,8201,2130,8201,1.0,0.0,0.0,0.0,1.0
"RTX 4050 Laptop, Windows",cpu,3000,0,5,0.308,0.8358,2130.0,7001.0,0,0,0.9948186528497409,0.0,0.0,0.0,1.0
"RTX 4050 Laptop, Windows",cpu,3000,1,5,0.4712,1.0793,315,405.0,300.0,405,0.43031784841075793,0.0,0.0,0.0,1.0
"RTX 4050 Laptop, Windows",cpu,10000,0,5,3.3319,5.2886,2130,7001,0,0,0.992797118847539,0.0,0.0,0.0,1.0
"RTX 4050 Laptop, Windows",cpu,10000,1,5,4.2398,4.9521,210.0,405.0,210,405,0.12681159420289856,0.0,0.0,0.0,1.0
"RTX 4050 Laptop, Windows",cpu,30000,0,5,9.1874,10.6016,2130,7001,0,0,0.993483709273183,0.0,0.0,0.0,1.0
"RTX 4050 Laptop, Windows",cpu,30000,1,5,9.766,12.896,210.0,405.0,210.0,405.0,0.046198521647307283,0.0,0.0,0.0,1.0
"RTX 4050 Laptop, Windows",gpu-predicate,100,0,5,1.9992,2.3568,2670,8201,2670,8201,1.0,0.927264,0.119616,0.0,1.0
"RTX 4050 Laptop, Windows",gpu-predicate,100,1,5,2.1898,2.5403,2670.0,8201.0,2670,8201,1.0,1.104608,0.11968,0.0,1.0
"RTX 4050 Laptop, Windows",gpu-predicate,1000,0,5,2.0495,2.3795,2670.0,8201.0,2670,8201,1.0,0.949888,0.126336,0.0,1.0
"RTX 4050 Laptop, Windows",gpu-predicate,1000,1,5,2.1716,2.4105,2670,8201,2670,8201,1.0,1.126016,0.126432,0.0,1.0
"RTX 4050 Laptop, Windows",gpu-predicate,3000,0,5,2.1087,2.4559,2670,7001.0,2670.0,7001.0,0.9782312925170068,0.952096,0.140192,0.0,1.0
"RTX 4050 Laptop, Windows",gpu-predicate,3000,1,5,2.2537,2.561,2670.0,8201.0,2670,8201,0.9582790091264668,1.128928,0.140384,0.0,1.0
"RTX 4050 Laptop, Windows",gpu-predicate,10000,0,5,2.2036,2.4469,2670,8201.0,2670,8201,0.7894736842105263,0.940512,0.1952,0.0,1.0
"RTX 4050 Laptop, Windows",gpu-predicate,10000,1,5,2.3766,2.8098,2670.0,8201.0,2670.0,8201.0,0.690068493150685,1.122848,0.207712,0.0,1.0
"RTX 4050 Laptop, Windows",gpu-predicate,30000,0,5,2.7908,3.4286,270.0,405.0,2670,8201,0.4640638864241349,0.991872,0.449248,0.0,1.0
"RTX 4050 Laptop, Windows",gpu-predicate,30000,1,5,3.0282,3.4936,210.0,405.0,210,405,0.44481054365733114,0.995488,0.45824,0.0,1.0
"RTX 4050 Laptop, Windows",gpu-rows,100,0,5,0.1718,0.2981,2130,8201,2400.0,8201.0,1.0,0.018048,0.005024,0.0026,1.0
"RTX 4050 Laptop, Windows",gpu-rows,100,1,5,0.2532,0.3916,2130,8201,2130,8201.0,1.0,0.016512,0.004928,0.0046,1.0
"RTX 4050 Laptop, Windows",gpu-rows,1000,0,5,0.2304,0.4171,2130.0,8201.0,2130.0,8201.0,1.0,0.029568,0.008384,0.01975,1.0
"RTX 4050 Laptop, Windows",gpu-rows,1000,1,5,0.3743,0.529,2130.0,8201.0,2130,8201,1.0,0.029632,0.00832,0.0341,1.0
"RTX 4050 Laptop, Windows",gpu-rows,3000,0,5,0.5479,0.7333,2130,7001,1080,7001,0.7542087542087542,0.10592,0.027264,0.094,1.0
"RTX 4050 Laptop, Windows",gpu-rows,3000,1,5,0.5587,0.8563,2130.0,8201.0,1912.5,8201,1.0,0.068768,0.018272,0.0973,1.0
"RTX 4050 Laptop, Windows",gpu-rows,10000,0,5,1.6818,2.3474,585,810,585.0,810,0.20704375667022412,0.460736,0.14992,0.55415,1.0
"RTX 4050 Laptop, Windows",gpu-rows,10000,1,5,1.6852,2.3563,1230,8201,1215,8201.0,0.590009425070688,0.228448,0.068448,0.7253,1.0
"RTX 4050 Laptop, Windows",gpu-rows,30000,0,5,2.2649,2.7999,1005,6001,1335,8201,0.4624085163007319,0.592384,0.277504,0.7435,1.0
"RTX 4050 Laptop, Windows",gpu-rows,30000,1,5,2.1384,2.7739,915.0,6001.0,915,6001,0.49272486772486773,0.344128,0.268352,0.7498,1.0
"RTX 4090 pods, Linux",cpu,100,0,5,0.007842,0.009093,210,405,0,0,0.0,0.0,0.0,0.0,1.0
"RTX 4090 pods, Linux",cpu,100,1,5,0.008223,0.009594,2550.0,10501.0,2550,10501,0.8333333333333334,0.0,0.0,0.0,1.0
"RTX 4090 pods, Linux",cpu,1000,0,5,0.047702,0.055272,210.0,405.0,0,0,0.0,0.0,0.0,0.0,1.0
"RTX 4090 pods, Linux",cpu,1000,1,5,0.048303,0.054392,2520,10501,2520,10501.0,0.56,0.0,0.0,0.0,1.0
"RTX 4090 pods, Linux",cpu,3000,0,5,0.132829,0.149194,210.0,405.0,0,0,0.0,0.0,0.0,0.0,1.0
"RTX 4090 pods, Linux",cpu,3000,1,5,0.137606,0.155534,315.0,405.0,315,405,0.33816425120772947,0.0,0.0,0.0,1.0
"RTX 4090 pods, Linux",cpu,10000,0,5,1.494843,1.67283,210.0,405.0,0,0,0.0,0.0,0.0,0.0,1.0
"RTX 4090 pods, Linux",cpu,10000,1,5,1.511078,1.698489,210.0,405,210.0,405,0.07567567567567568,0.0,0.0,0.0,1.0
"RTX 4090 pods, Linux",cpu,30000,0,5,4.906616,5.002315,210.0,405.0,0,0,0.0,0.0,0.0,0.0,1.0
"RTX 4090 pods, Linux",cpu,30000,1,5,5.316612,5.985516,210,405.0,210.0,405.0,0.02336448598130841,0.0,0.0,0.0,1.0
"RTX 4090 pods, Linux",gpu-predicate,100,0,5,0.828218,0.837486,2820,10501,2820,10501,0.9142857142857143,0.677376,0.02208,0.0,1.0
"RTX 4090 pods, Linux",gpu-predicate,100,1,5,0.885577,0.896386,2820.0,10501.0,2820,10501,0.9742120343839542,0.677792,0.022016,0.0,1.0
"RTX 4090 pods, Linux",gpu-predicate,1000,0,5,0.834591,0.847722,2820.0,10501.0,2820.0,10501.0,0.9279069767441861,0.680768,0.023136,0.0,1.0
"RTX 4090 pods, Linux",gpu-predicate,1000,1,5,0.890255,0.904521,2820,10501,2820.0,10501.0,0.9762340036563071,0.68064,0.023104,0.0,1.0
"RTX 4090 pods, Linux",gpu-predicate,3000,0,5,0.848516,0.859758,2820.0,10501.0,2820.0,10501.0,0.8353808353808354,0.684704,0.025504,0.0,1.0
"RTX 4090 pods, Linux",gpu-predicate,3000,1,5,0.904571,0.918758,2820.0,10501.0,2820,10501,0.9037199124726477,0.683264,0.025504,0.0,1.0
"RTX 4090 pods, Linux",gpu-predicate,10000,0,5,0.860409,0.870117,2550.0,10501,2820,10501,0.5582089552238806,0.673152,0.032512,0.0,1.0
"RTX 4090 pods, Linux",gpu-predicate,10000,1,5,0.919649,0.937443,2550.0,10501,2550.0,10501.0,0.63579604578564,0.673952,0.032576,0.0,1.0
"RTX 4090 pods, Linux",gpu-predicate,30000,0,5,0.894162,0.9094,210.0,405.0,2820.0,10501.0,0.2506345177664975,0.651648,0.043264,0.0,1.0
"RTX 4090 pods, Linux",gpu-predicate,30000,1,5,0.953293,1.036949,210,405.0,210.0,405.0,0.2937956204379562,0.65376,0.044832,0.0,1.0
"RTX 4090 pods, Linux",gpu-rows,100,0,5,0.103005,0.109785,2550,10501,2550,10501,0.6385542168674698,0.01776,0.005664,0.001272,1.0
"RTX 4090 pods, Linux",gpu-rows,100,1,5,0.0996,0.22695,2550,10501,2550.0,10501.0,0.935672514619883,0.016448,0.005344,0.001202,1.0
"RTX 4090 pods, Linux",gpu-rows,1000,0,5,0.122704,0.130426,2520,10501,2520.0,10501,0.7289719626168224,0.028224,0.005856,0.009044,1.0
"RTX 4090 pods, Linux",gpu-rows,1000,1,5,0.122895,0.2268,2550,10501.0,2550,10501,0.9666666666666667,0.025984,0.005472,0.009785,1.0
"RTX 4090 pods, Linux",gpu-rows,3000,0,5,0.177977,0.193601,2505.0,10501.0,2505,10501,0.5757575757575758,0.054528,0.006944,0.029204,1.0
"RTX 4090 pods, Linux",gpu-rows,3000,1,5,0.175493,0.295963,2550,10501.0,2550,10501.0,0.7901234567901234,0.04768,0.00608,0.032379,1.0
"RTX 4090 pods, Linux",gpu-rows,10000,0,5,0.429575,0.450486,705.0,810,2235,810,0.145985401459854,0.142368,0.011616,0.155093,1.0
"RTX 4090 pods, Linux",gpu-rows,10000,1,5,0.404657,0.525949,2520.0,10501.0,2520,10501,0.5267175572519084,0.119136,0.009568,0.157807,1.0
"RTX 4090 pods, Linux",gpu-rows,30000,0,5,0.779239,0.807632,210.0,405.0,2760.0,10501,0.22355163727959698,0.315168,0.018912,0.291688,1.0
"RTX 4090 pods, Linux",gpu-rows,30000,1,5,0.83268,1.005088,210,405,210,405.0,0.24507658643326038,0.311552,0.019712,0.2855885,1.0
"H100 SXM, Linux",gpu-predicate,1000,0,3,1.274717,1.322879,1980,2619,1980.0,2619.0,1.0,0.987136,0.028096,0.0,1.0
"H100 SXM, Linux",gpu-predicate,1000,1,3,1.616344,1.688001,1980,2619,1980.0,2619.0,1.0,1.33792,0.028096,0.0,1.0
"H100 SXM, Linux",gpu-predicate,3000,0,3,1.288227,1.334407,1980.0,2619.0,1980.0,2619.0,1.0,0.987776,0.030368,0.0,1.0
