phase,cell,batch,eligible,block,engine,n_samples,started_unix,elapsed_s,clk_before_mhz,clk_end_mhz,temp_end_c,power_end_w,lat_p50_ns,lat_p95_ns,device_selection_med_ns,device_scoring_med_ns,backend_execution_med_ns,row_materialization_med_ns,upload_enqueue_med_ns,readback_completion_med_ns,device_total_med_ns
e0,b1-e3000,1,3000,0,cpu,15000,1790245424.4434035,15.212359189987183,210.0,210.0,24.0,13.3,367159,384680,,,364180.0,,,,
e0,b1-e3000,1,3000,0,gpu-rows,15000,1790245469.6968513,21.490533113479614,210.0,435.0,24.0,15.43,712179,806239,243040.0,20160.0,515960.0,181990.0,20620.0,383139.0,263168.0
e0,b1-e3000,1,3000,1,cpu,15000,1790245572.863624,15.055965900421143,210.0,210.0,24.0,14.97,360830,379520,,,357519.5,,,,
e0,b1-e3000,1,3000,1,gpu-rows,15000,1790245521.2280772,21.595237255096436,210.0,450.0,24.0,15.69,708419,758129,237056.0,19840.0,512104.5,183080.0,21360.0,376920.0,256800.0
e0,b1-e3000,1,3000,2,cpu,15000,1790245669.433567,15.207278490066528,210.0,210.0,24.0,12.45,366880,383340,,,363969.0,,,,
e0,b1-e3000,1,3000,2,gpu-rows,15000,1790245617.9561481,21.436960220336914,210.0,420.0,24.0,15.85,709099,758180,236416.0,20000.0,511169.5,184249.0,20510.0,378060.0,256128.0
e0,b1-e3000,1,3000,3,cpu,15000,1790245766.276156,15.3009192943573,210.0,210.0,24.0,13.31,374090,393489,,,371140.0,,,,
e0,b1-e3000,1,3000,3,gpu-rows,15000,1790245714.681383,21.557573795318604,210.0,405.0,24.0,15.49,706269,806890,235360.0,19584.0,509699.0,182630.0,21400.0,374189.5,255008.0
e0,b1-e3000,1,3000,4,cpu,15000,1790245862.737025,15.73077917098999,210.0,210.0,24.0,12.95,385939,406629,,,382864.5,,,,
e0,b1-e3000,1,3000,4,gpu-rows,15000,1790245811.616727,21.079716205596924,210.0,465.0,24.0,15.5,680029,757539,210464.0,18112.0,483100.0,182189.0,20340.0,348134.5,228512.0
e0,b1-e3000,1,3000,5,cpu,15000,1790245908.5392225,15.592187643051147,210.0,210.0,24.0,12.48,390310,408720,,,387290.0,,,,
e0,b1-e3000,1,3000,5,gpu-rows,15000,1790245954.1703713,16.90066885948181,210.0,840.0,25.0,27.83,422920,549179,102976.0,10304.0,272460.0,138289.5,14850.0,192995.0,113312.0
e0,b1-e3000,1,3000,6,cpu,15000,1790246001.1104455,16.162113189697266,210.0,210.0,24.0,13.06,385189,713959,,,381670.0,,,,
e0,b1-e3000,1,3000,6,gpu-rows,15000,1790246047.3086445,16.112186670303345,210.0,900.0,25.0,28.18,369739,444740,124160.0,11776.0,279370.0,83960.0,10510.0,214580.0,135904.0
e0,b1-e3000,1,3000,7,cpu,15000,1790246093.460525,15.095791339874268,210.0,210.0,24.0,12.28,351050,423580,,,348194.5,,,,
e0,b1-e3000,1,3000,7,gpu-rows,15000,1790246138.5964155,20.540122509002686,210.0,480.0,24.0,14.55,679909,725849,204864.0,17568.0,484369.5,182290.0,20440.0,348929.5,222496.0
e0,b1-e3000,1,3000,8,cpu,15000,1790246189.176564,15.190806865692139,210.0,210.0,24.0,12.55,370900,386550,,,367870.0,,,,
e0,b1-e3000,1,3000,8,gpu-rows,15000,1790246234.4026906,21.68681263923645,210.0,405.0,24.0,16.24,722379,778740,251264.0,20800.0,525149.0,182580.0,21260.0,392180.0,272000.0
e0,b1-e3000,1,3000,9,cpu,15000,1790246286.1305473,14.987373113632202,210.0,210.0,23.0,12.7,355570,384110,,,352540.0,,,,
e0,b1-e3000,1,3000,9,gpu-rows,15000,1790246331.1548772,21.80389904975891,210.0,405.0,24.0,14.63,726719,778579,250560.0,20544.0,528130.0,183040.0,21680.0,393039.5,271264.0
e2,b1-e100,1,100,0,cpu,15000,1790246468.836443,2.376258134841919,210.0,210.0,25.0,14.11,17110,21829,,,14980.0,,,,
e2,b1-e100,1,100,0,gpu-rows,15000,1790246432.7961805,6.001316547393799,210.0,1395.0,26.0,48.88,185799,217940,17888.0,5664.0,174564.5,5430.0,12000.0,98150.0,23488.0
e2,b1-e100,1,100,0,gpu-predicate,15000,1790246501.2517345,19.59937357902527,210.0,2745.0,29.0,81.5,996149,1091469,704352.0,22688.0,980989.0,7450.0,53060.0,815689.5,726976.0
e2,b1-e100,1,100,0,gpu-mask,15000,1790246382.9989862,19.75732445716858,210.0,2745.0,29.0,82.07,1024529,1067429,704352.0,21120.0,1008299.5,7680.0,53370.0,821684.5,725408.0
e2,b1-e100,1,100,1,cpu,15000,1790246586.952265,2.356170415878296,210.0,210.0,25.0,14.56,16570,18440,,,14440.0,,,,
e2,b1-e100,1,100,1,gpu-rows,15000,1790246550.8917544,6.020029783248901,210.0,1260.0,27.0,32.54,192929,220419,17920.0,5696.0,180810.0,5489.5,12260.0,98610.0,23520.0
e2,b1-e100,1,100,1,gpu-predicate,15000,1790246619.3474848,19.084444046020508,210.0,2745.0,30.0,82.35,990439,1053758,704352.0,22688.0,975209.0,7270.0,50960.0,813364.0,726976.0
e2,b1-e100,1,100,1,gpu-mask,15000,1790246668.4686515,19.53152060508728,210.0,2745.0,31.0,82.28,1029719,1070299,704320.0,21088.0,1014488.5,7530.0,52280.0,836009.0,725376.0
e2,b1-e100,1,100,2,cpu,15000,1790246718.0340304,2.35265851020813,210.0,210.0,26.0,13.03,16980,19029,,,14870.0,,,,
e2,b1-e100,1,100,2,gpu-rows,15000,1790246750.4159353,5.971256732940674,210.0,1335.0,27.0,49.19,185310,211439,17888.0,5600.0,174030.0,5470.0,12620.0,95640.0,23360.0
e2,b1-e100,1,100,2,gpu-predicate,15000,1790248022.5877602,19.628625869750977,210.0,2745.0,29.0,82.76,1007229,1053318,704352.0,22688.0,991418.0,7920.0,52970.0,820499.0,726976.0
