eligible,vs,clk_rows,clk_other,p50_rows_us,p50_other_us,dev_rows_us,gap_us,gap_cf_us
100,gpu-mask,1395.0,2745.0,185.31,1024.529,23.392,-836.79,-849.5139344262294
100,gpu-predicate,1395.0,2745.0,185.31,996.149,23.392,-810.35,-821.901475409836
1000,gpu-mask,780.0,2745.0,285.52,1059.026,62.816,-771.487,-816.1103879781422
1000,gpu-predicate,780.0,2745.0,285.52,1047.478,62.816,-762.288,-807.1859234972678
3000,gpu-mask,735.0,2745.0,444.53,1211.298,145.696,-622.11,-741.1734262295082
3000,gpu-predicate,735.0,2745.0,444.53,1159.559,145.696,-663.229,-764.3404316939891
10000,gpu-mask,615.0,2745.0,1467.318,1733.138,468.864,-217.46,-649.7909344262295
10000,gpu-predicate,615.0,2745.0,1467.318,1687.717,468.864,-242.359,-612.8854262295081
30000,gpu-mask,615.0,1470.0,4333.374,3341.435,1288.768,586.129,-244.1008613861385
30000,gpu-predicate,615.0,1260.0,4333.374,4346.924,1288.768,-17.44,-836.1986
100000,gpu-mask,2775.0,2775.0,2549.297,1691.257,1211.104,865.54,865.54
100000,gpu-predicate,2775.0,2775.0,2549.297,1536.918,1211.104,1019.879,1019.879
