cell,eligible,block,vs,clk_rows,clk_other,p50_rows_us,p50_other_us,dev_rows_us,gap_us,gap_cf_us
b1-e100,100,0,gpu-predicate,1395.0,2745.0,185.799,996.149,23.488,-810.35,-821.901475409836
b1-e100,100,0,gpu-mask,1395.0,2745.0,185.799,1024.529,23.488,-838.73,-850.281475409836
b1-e100,100,1,gpu-predicate,1260.0,2745.0,192.929,990.439,23.52,-797.51,-810.2339344262294
b1-e100,100,1,gpu-mask,1260.0,2745.0,192.929,1029.719,23.52,-836.79,-849.5139344262294
b1-e100,100,2,gpu-predicate,1335.0,2745.0,185.31,1007.229,23.36,-821.919,-833.9181256830601
b1-e100,100,2,gpu-mask,1335.0,2745.0,185.31,1027.889,23.36,-842.579,-854.5781256830602
b1-e100,100,3,gpu-predicate,1455.0,2745.0,182.98,1005.118,23.392,-822.138,-833.1309617486339
b1-e100,100,3,gpu-mask,1455.0,2745.0,182.98,1000.168,23.392,-817.188,-828.1809617486339
b1-e100,100,4,gpu-predicate,1440.0,2745.0,183.299,989.038,23.392,-805.739,-816.859786885246
b1-e100,100,4,gpu-mask,1440.0,2745.0,183.299,988.088,23.392,-804.789,-815.9097868852459
b1-e1000,1000,0,gpu-predicate,825.0,2745.0,284.929,1053.958,65.184,-769.029,-814.6221803278688
b1-e1000,1000,0,gpu-mask,825.0,2745.0,284.929,1063.347,65.184,-778.418,-824.0111803278688
b1-e1000,1000,1,gpu-predicate,795.0,2745.0,287.539,1032.587,62.816,-745.048,-789.6713879781421
b1-e1000,1000,1,gpu-mask,795.0,2745.0,287.539,1059.026,62.816,-771.487,-816.1103879781422
b1-e1000,1000,2,gpu-predicate,780.0,2745.0,284.009,1046.297,62.72,-762.288,-807.1859234972678
b1-e1000,1000,2,gpu-mask,780.0,2745.0,284.009,1048.817,62.72,-764.808,-809.7059234972678
b1-e1000,1000,3,gpu-predicate,690.0,2745.0,338.768,1047.478,75.104,-708.71,-764.9353989071038
b1-e1000,1000,3,gpu-mask,690.0,2745.0,338.768,1057.199,75.104,-718.431,-774.6563989071038
b1-e1000,1000,4,gpu-predicate,765.0,2745.0,285.52,1059.588,59.376,-774.068,-816.8965901639344
b1-e1000,1000,4,gpu-mask,765.0,2745.0,285.52,1063.909,59.376,-778.389,-821.2175901639343
b1-e10000,10000,0,gpu-predicate,555.0,2745.0,1377.038,1687.717,450.144,-310.679,-669.8102786885246
b1-e10000,10000,0,gpu-mask,555.0,2745.0,1377.038,1733.138,450.144,-356.1,-715.2312786885246
b1-e10000,10000,1,gpu-predicate,720.0,2745.0,1099.519,1670.928,358.816,-571.409,-836.1093278688525
b1-e10000,10000,1,gpu-mask,720.0,2745.0,1099.519,1741.208,358.816,-641.689,-906.3893278688524
b1-e10000,10000,2,gpu-predicate,630.0,2745.0,1467.318,1709.677,480.896,-242.359,-612.8854262295081
b1-e10000,10000,2,gpu-mask,630.0,2745.0,1467.318,1680.117,480.896,-212.799,-583.3254262295081
b1-e10000,10000,3,gpu-predicate,450.0,2745.0,1567.658,1693.638,546.048,-125.98,-582.5119344262295
b1-e10000,10000,3,gpu-mask,450.0,2745.0,1567.658,1760.917,546.048,-193.259,-649.7909344262295
b1-e10000,10000,4,gpu-predicate,615.0,2745.0,1515.378,1669.117,468.864,-153.739,-517.5569672131147
b1-e10000,10000,4,gpu-mask,615.0,2745.0,1515.378,1732.838,468.864,-217.46,-581.2779672131147
b1-e100000,100000,0,gpu-predicate,2775.0,2775.0,2549.297,1520.448,1221.504,1028.849,1028.849
b1-e100000,100000,0,gpu-mask,2775.0,2775.0,2549.297,1677.497,1221.504,871.8,871.8
b1-e100000,100000,1,gpu-predicate,2775.0,2775.0,1946.018,1542.658,1211.472,403.36,403.36
b1-e100000,100000,1,gpu-mask,2775.0,2775.0,1946.018,1713.987,1211.472,232.031,232.031
b1-e100000,100000,2,gpu-predicate,2775.0,2775.0,2556.797,1536.918,1211.104,1019.879,1019.879
b1-e100000,100000,2,gpu-mask,2775.0,2775.0,2556.797,1691.257,1211.104,865.54,865.54
b1-e100000,100000,3,gpu-predicate,2775.0,2775.0,2570.178,1547.488,1211.104,1022.69,1022.69
b1-e100000,100000,3,gpu-mask,2775.0,2775.0,2570.178,1700.548,1211.104,869.63,869.63
b1-e100000,100000,4,gpu-predicate,2775.0,2775.0,2396.799,1535.089,1210.912,861.71,861.71
b1-e100000,100000,4,gpu-mask,2775.0,2775.0,2396.799,1690.358,1210.912,706.441,706.441
b1-e3000,3000,0,gpu-predicate,495.0,2745.0,646.859,1182.768,215.616,-535.909,-712.6434262295082
b1-e3000,3000,0,gpu-mask,495.0,2745.0,646.859,1211.298,215.616,-564.439,-741.1734262295082
b1-e3000,3000,1,gpu-predicate,840.0,2745.0,421.739,1084.968,145.696,-663.229,-764.3404316939891
b1-e3000,3000,1,gpu-mask,840.0,2745.0,421.739,1043.849,145.696,-622.11,-723.2214316939891
b1-e3000,3000,2,gpu-predicate,765.0,2745.0,437.859,1191.718,108.288,-753.859,-831.9683770491803
b1-e3000,3000,2,gpu-mask,765.0,2745.0,437.859,1228.788,108.288,-790.929,-869.0383770491803
b1-e3000,3000,3,gpu-predicate,600.0,2745.0,718.679,1156.058,263.616,-437.379,-643.3740163934426
b1-e3000,3000,3,gpu-mask,600.0,2745.0,718.679,1090.298,263.616,-371.619,-577.6140163934426
b1-e3000,3000,4,gpu-predicate,735.0,2745.0,444.53,1159.559,112.992,-715.029,-797.7663114754099
