cell,arm,repr,n,run_medians_us,run_maxmin,p10_us,p90_us,bimodality_coef
all-r1000-d128-b8-k10,gpu-rows,SortedRows,400,23.6;23.6;23.6;23.6;23.6,1.0,22.528,23.552,0.9919061607176382
all-r1000-d128-b8-k10,automatic,ShaderPredicate,400,23.6;22.5;23.6;23.6;22.5,1.0454545454545454,22.528,23.552,0.9778143584729345
d128-b8-e1221-k10,gpu-rows,SortedRows,400,25.6;25.6;25.6;25.6;25.6,1.0,24.576,25.6,0.99622601961982
d128-b8-e1221-k10,automatic,ShaderPredicate,400,119.8;119.8;119.8;119.8;119.8,1.0,119.808,120.832,0.21164885302081837
d128-b8-e1465-k1,gpu-rows,SortedRows,400,7.7;8.2;7.2;7.2;7.2,1.1428571428571428,7.168,8.192,0.9780745576250481
d128-b8-e1465-k1,automatic,ShaderPredicate,400,16.4;16.4;16.4;16.4;16.4,1.0,15.36,16.384,0.19598785802461602
d128-b8-e488-k1,gpu-rows,SortedRows,400,6.1;6.1;6.1;6.1;6.1,1.0,6.144,7.168,0.9955414101747773
d128-b8-e733-k10,gpu-rows,SortedRows,400,22.5;22.5;22.5;22.5;22.5,1.0,21.504,22.528,0.9825586971785234
d128-b8-e977-k64,gpu-rows,SortedRows,400,126.0;126.0;126.0;126.0;126.0,1.0,124.928,125.952,0.26514013258148644
d128-b8-e977-k64,automatic,ShaderPredicate,400,744.4;626.7;603.6;601.1;602.1,1.2385008517887564,599.04,745.472,0.9434981134316365
d384-b1-e1302-k1,gpu-rows,SortedRows,3200,7.2;7.2;7.2;7.2;7.2,1.0,7.168,8.192,0.9815342590621755
d384-b1-e1953-k10,gpu-rows,SortedRows,3200,35.8;35.8;35.8;35.8;35.8,1.0,34.816,36.864,0.2982420921798375
d384-b1-e2604-k64,gpu-rows,SortedRows,3200,277.5;277.5;277.5;277.5;277.5,1.0,272.384,281.6,0.46697418999624957
d384-b1-e3255-k10,gpu-rows,SortedRows,3200,56.3;56.3;56.3;56.3;56.3,1.0,55.296,57.344,0.5429772217975886
d384-b1-e3255-k10,automatic,ShaderPredicate,3200,115.7;115.7;115.7;115.7;115.7,1.0,113.664,116.736,0.5343417637247017
d384-b1-e3906-k1,gpu-rows,SortedRows,3200,10.2;10.2;10.2;10.2;10.2,1.0,10.24,11.264,0.8495543402190965
d384-b1-e3906-k1,automatic,ShaderPredicate,3200,15.4;15.4;15.4;15.4;15.4,1.0,15.36,16.384,0.9696064588197668
d768-b16-e102-k10,gpu-rows,SortedRows,200,19.5;18.4;18.4;19.5;18.4,1.0555555555555556,18.432,19.456,0.9562403471353973
d768-b16-e102-k10,automatic,ShaderPredicate,200,116.7;116.7;116.7;116.7;102.4,1.14,102.2976,117.76,0.9470529374179526
d768-b16-e122-k1,gpu-rows,SortedRows,200,6.1;6.1;6.1;6.1;6.1,1.0,5.12,6.144,0.9796002069667159
d768-b16-e122-k1,automatic,ShaderPredicate,200,16.4;15.4;16.4;15.4;14.3,1.1428571428571428,15.155200000000004,16.384,0.16769134363391924
d768-b16-e41-k1,gpu-rows,TinyRows,200,6.1;6.1;6.1;6.1;6.1,1.0,5.12,6.144,0.9695343254631597
d768-b16-e61-k10,gpu-rows,TinyRows,200,19.5;19.5;19.5;19.5;19.5,1.0,18.432,19.456,0.9628040490499825
d768-b16-e81-k64,gpu-rows,SortedRows,200,99.3;99.3;99.3;99.3;99.3,1.0,99.328,100.352,0.562192221975451
